Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Adolfo Carabelli,Orquesta Adolfo Carabelli,11/2/1927,El Aeroplano,,Vals,Instrumental,,78rpm,Pedro Datta,,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Adolfo Carabelli,5/14/1928,Remembrance,,Vals,Instrumental,,78rpm,M.l.g. De Michaelsen,,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,1/7/1930,Engrupido,,Tango,Juan Carlos Delson,,78rpm,Adolfo Mondino,Adolfo Mondino,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,1/7/1930,Esponjita,,Tango,Instrumental,,78rpm,René Cóspito,Armando Tagini,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,2/5/1930,Recóndita,,Tango,Jaime Moreno,,78rpm,"Fausto Frontera, Tito Ruedo","Fausto Frontera, Tito Ruedo",,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,6/12/1930,El Neura,,Tango,Instrumental,,78rpm,Juan Rodríguez,,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,6/19/1930,El Cuatrero,El Tigre,Tango,Instrumental,,78rpm,Agustín Bardi,,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,6/19/1930,El Flete,,Tango,Ernesto Famá,,78rpm,Vicente Greco,Gerónimo Gradito,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,9/16/1930,El Cuatrero,El Tigre,Tango,Instrumental,,78rpm,Agustín Bardi,,,27-31 Other Orchestras,,,,,
Adolfo Carabelli,Orquesta Típica Porteña,9/16/1930,El Flete,,Tango,Ernesto Famá,,78rpm,Vicente Greco,Gerónimo Gradito,,27-31 Other Orchestras,,,,,
