Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Alfredo Gobbi,Orquesta Alfredo Gobbi,5/16/1947,La Entrerriana,,Vals,Carlos Heredia y Hugo Soler,Víctor,78rpm,Alfredo Gobbi,Alfredo Gobbi,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,5/16/1947,La Viruta,,Tango,Instrumental,Víctor,78rpm,Vicente Greco,,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,7/30/1947,Amor de Forastero,,Tango,Carlos Heredia y Hugo Soler,Víctor,78rpm,"Domingo Roldán, Guillermo López","Domingo Roldán, Guillermo López",Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,7/30/1947,Jueves,,Tango,Instrumental,Víctor,78rpm,"Rafael Rossi, Udelino Toranzo",,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,11/4/1947,Adoración,,Vals,Carlos Heredia y Hugo Soler,Víctor,78rpm,Ramón Argüello,Pedro Pidoto,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,11/4/1947,Barcarola Triste,,Tango,Hugo Soler,Víctor,78rpm,Alberto Nery,Pedro Blasco,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1/31/1948,Amémonos,,Vals,Carlos Heredia y Hugo Soler,Víctor,78rpm,Carlos Ocampo,Manuel Flores,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1/31/1948,El Incendio,,Tango,Instrumental,Víctor,78rpm,Arturo De Bassi,,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,5/12/1948,Muchachos Yo Tengo un Tango,,Tango,Pablo Lozano,Víctor,78rpm,Natty Paredes,Natty Paredes,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,5/12/1948,Tierrita,,Tango,Héctor Maciel,Víctor,78rpm,Agustín Bardi,Jesús Blanco,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,9/8/1948,Independiente Club,,Tango,Instrumental,Víctor,78rpm,Agustín Bardi,,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,9/8/1948,Remembranza,Remembranzas,Tango,Jorge Maciel,BMG ARIOLA ARGENTINA S.A. / EURO RECORDS S..A.,78rpm,Mario Melfi,Mario Battistella,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1/31/1949,La Vieja Serenata,,Vals,Jorge Maciel,Víctor,Micro,Teófilo Ibáñez,Sandalio Gómez,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1/31/1949,Puro Apronte,,Tango,Instrumental,BMG Ariola Argentina S.A.,Micro,Domingo Plateroti,Félix Lipesker,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,3/24/1949,El Pollero,,Tango,Jorge Maciel,Víctor,Micro,Héctor Marcó,Héctor Marcó,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,3/24/1949,Orlando Goñi,A Orlando Goñi,Tango,Instrumental,"EURO RECORDS SA, SONY MUSIC ENTERTAINMENT SA",Micro,Alfredo Gobbi,,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,7/25/1949,No la Traigas,,Tango,Ángel Díaz,Víctor,Micro,Héctor Gentile,Reinaldo Yiso,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,7/25/1949,Tu Amargura,Amargura,Vals,Jorge Maciel y Ángel Díaz,Víctor,Micro,Laureano Smart,Laureano Smart,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,10/13/1949,Porque Soy Reo,Por Qué Soy Reo,Tango,Ángel Díaz,BMG ARIOLA ARGENTINA S.A. / EURO RECORDS S..A.,Micro,"Herminia De Rossano, Juan Velich, Manuel Meaños","Herminia De Rossano, Juan Velich, Manuel Meaños",Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
