Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/13/1940,No Aflojés,,Tango,Ángel Vargas,Víctor,78rpm,"Pedro Maffía, Sebastián Piana",Mario Battistella,,40-43 Initial Orquesta,Ángel D'Agostino,UNNAMED STUDENT,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/13/1940,Muchacho,,Tango,Ángel Vargas,Víctor,78rpm,Edgardo Donato,Celedonio Flores,,40-43 Initial Orquesta,Ángel D'Agostino,UNNAMED STUDENT,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,7/24/1941,Tres Esquinas,,Tango,Ángel Vargas,Víctor,78rpm,"Ángel D'Agostino, Alfredo Attadía",Enrique Cadícamo,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,7/24/1941,Un Copetín,,Tango,Ángel Vargas,Víctor,78rpm,Juan Maglio,José Fernández,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,9/9/1941,Adiós Arrabal,,Tango,Ángel Vargas,Víctor,78rpm,"Juan Baüer, Carlos Lenzi",Carlos Lenzi,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,9/9/1941,Ahora No Me Conocés,,Tango,Ángel Vargas,Víctor,78rpm,Armando Baliotti,Carlos Giampé,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/20/1941,Compadreando,,Milonga,Ángel Vargas,Víctor,78rpm,Alfredo Attadía,Mario Soto,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/20/1941,Sólo Compasión,,Tango,Ángel Vargas,Víctor,78rpm,Benjamín Barrio,Luis Castiñeira,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/5/1941,Una Pena,,Tango,Ángel Vargas,Víctor,78rpm,Adolfo Rosquellas,Arturo Albert,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/12/1941,Traiga Otra Caña,,Tango,Ángel Vargas,Víctor,78rpm,Antonio Scatasso,Antonio Scatasso,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
