Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Desilusión,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,El travieso,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,El Último Cariño,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Maldita Visión,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,El Cofrecito,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Adiós Carmencita,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Buen Amigo,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Mimosa,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Rosalía,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Corazón de Oro,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Sonsa,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Palabras cruzadas,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,Triste,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1926,La Monjita,,Tango,Instrumental,Electra,,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Cómo Se Pianta La Vida,,Tango,Instrumental,Columbia,,Carlos Viván,Carlos Viván,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Deschavate Hermano,,Tango,Luis Scalón,Columbia,,M. Scarone,Máximo Orsi,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Pa' Qué Volvés,,Tango,Luis Scalón,Columbia,,Raúl Lynch,Armando Tagini,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Sandía Calada,,Tango,Luis Scalón,Columbia,,Arturo Aieta,Jorge Curí,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Tan Grande y Tan Sonso,,Tango,Luis Scalón,Columbia,,Anselmo Aieta,Enrique Dizeo,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Yo Tengo la Culpa,,Tango,Luis Scalón,Columbia,,Rosendo Mendizábal,Juan Mateo,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Orquesta Anselmo Aieta,1931,Pasó a la Historia,,Tango,Instrumental,Columbia,,P. Padula,Arturo Bustamante,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins"
Anselmo Aieta,Quinteto Anselmo Aieta,1953,La Cumparsita,Si Supieras,Tango,Instrumental,TK,,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
Anselmo Aieta,Quinteto Anselmo Aieta,1953,La Maleva,,Tango,Instrumental,TK,,Antonio Buglione,Mario Pardo,,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
Anselmo Aieta,Quinteto Anselmo Aieta,1953,La Sonámbula,,Tango,Instrumental,TK,,Pascual Cardarópoli,,,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
Anselmo Aieta,Quinteto Anselmo Aieta,1953,Milonga De Mis Amores,,Milonga,Instrumental,TK,,Pedro Laurenz,José Contursi,,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
Anselmo Aieta,Anselmo Aieta solo de bandoneón,1953,Palomita Blanca,,Vals,Instrumental,TK,,Anselmo Aieta,Francisco Jiménez,,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
Anselmo Aieta,Quinteto Anselmo Aieta,1953,Pampa,,Tango,Instrumental,TK,,Francisco Pracáníco,,,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
Anselmo Aieta,Quinteto Anselmo Aieta,1953,Siga El Corso,,Tango,Instrumental,TK,,Anselmo Aieta,Francisco Jiménez,,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
Anselmo Aieta,Quinteto Anselmo Aieta,1953,Taconeando,,Tango,Instrumental,TK,,Pedro Maffía,José Staffolani,,53 TK,Armando Baliotti,Luis Adesso,Anselmo Aieta,"Raúl Kaplún, Orestes Zungri","Piano, Bass, Bandoneon, 2 Violins"
