Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Domingo Federico,Orquesta Domingo Federico,4/10/1944,La Culpa la Tuve Yo,,Tango,Ignacio Díaz,Víctor,45rpm,Adolfo Avilés,Andrés Domenech,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/10/1944,Saludos,,Tango,Instrumental,Víctor,45rpm,"Domingo Federico, Francisco Federico",,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/12/1944,Y Así Nacío Este Tango,Y Así Nació Este Tango,Tango,Carlos Vidal,Víctor,45rpm,Isaac Garcés,Isusi,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/12/1944,Yuyo Verde,Callejón,Tango,Carlos Vidal,Víctor,45rpm,Domingo Federico,Homero Expósito,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/27/1944,Ella Me Dio Esta Pena,,Tango,Carlos Vidal,Víctor,45rpm,Enrique Cantore,Manuel Campos,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/27/1944,Tu Melodía,,Tango,Carlos Vidal,Víctor,45rpm,Alberto Villanueva,Oscar Rubens,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,2/22/1945,A Martín Fierro,,Tango,Instrumental,Víctor,45rpm,Francisco Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,2/22/1945,Senda Florida,,Tango,Carlos Vidal,Víctor,45rpm,Rafael Rossi,Eugenio Cárdenas,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/20/1945,Déjame Volver Para Mi Pueblo,,Tango,Carlos Vidal,Víctor,45rpm,"Domingo Federico, Francisco Federico",Homero Expósito,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/20/1945,Yo,,Tango,Carlos Vidal,Víctor,45rpm,Juan Guichandut,Juan Guichandut,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/15/1945,El Huérfano,,Tango,Carlos Vidal,Víctor,45rpm,Anselmo Aieta,Francisco Jiménez,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/15/1945,Quiéreme Como Soy,,Tango,Carlos Vidal,Víctor,45rpm,Elías Randal,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/19/1945,Futuro,,Tango,Instrumental,Víctor,45rpm,"Domingo Federico, Francisco Federico",,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,6/19/1945,Un Pasaje de Mi Vida,,Tango,Carlos Vidal y Oscar Larroca,Víctor,45rpm,Luis Rubistein,Luis Rubistein,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/19/1945,Para Qué Te Quiero Tanto,,Tango,Carlos Vidal,Víctor,45rpm,Juan Larenza,Cátulo Castillo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/19/1945,Zapatos,,Milonga,Carlos Vidal y Oscar Larroca,Víctor,45rpm,Juan Guichandut,Horacio Sanguinetti,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/6/1945,Donde Todos Olvidan,,Tango,Carlos Vidal,Víctor,45rpm,Isaac Garcés,Isus,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,9/6/1945,Tango del Querer,,Tango,Carlos Vidal y Oscar Larroca,Víctor,45rpm,Andrés Doménech,Ricardo Lleras,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/22/1945,Honda Tristeza,,Tango,Instrumental,Víctor,45rpm,Roberto Firpo,Vicente Del Campo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,10/22/1945,Voz de Barrio,,Tango,Oscar Larroca,Víctor,45rpm,Víctor Braña,Enrique Gaudino,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/26/1945,Canción Desesperada,,Tango,Carlos Vidal,Víctor,45rpm,Enrique Discépolo,Enrique Discépolo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/26/1945,María,,Tango,Oscar Larroca,Víctor,45rpm,Aníbal Troilo,Cátulo Castillo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/24/1946,El Mayoral,,Milonga,Oscar Larroca,Víctor,45rpm,José Vigo,Joaquín Bas,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,4/24/1946,Música en Tu Corazón,,Tango,Carlos Vidal,Víctor,45rpm,Gabriel Clausi,Alberto Leiva,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/23/1946,La Noche y Marfil,,Tango,Carlos Vidal,Víctor,45rpm,Domingo Federico,Domingo Federico,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,5/23/1946,Un Tal Medina,,Tango,Oscar Larroca,Víctor,45rpm,Roberto Garza,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/22/1946,En Carne Propia,,Tango,Carlos Vidal,Víctor,45rpm,Manuel Sucher,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,7/22/1946,Esa Noche,,Vals,Carlos Vidal y Oscar Larroca,Víctor,45rpm,Tito Ribero,Carlos Waiss,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/21/1946,El Inca,,Tango,Instrumental,Víctor,45rpm,Francisco Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,8/21/1946,Remolino,,Tango,Oscar Larroca,Víctor,45rpm,Alfredo De Ángelis,José Rótulo,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/14/1946,Palabra,,Vals,Carlos Vidal,Víctor,45rpm,Juan Guichandut,Horacio Sanguinetti,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,11/14/1946,Tropical,,Tango,Instrumental,Víctor,45rpm,Domingo Federico,,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/3/1946,Con Alma De Tango,,Tango,Oscar Larroca,Víctor,45rpm,Juan D'Arienzo,Carlos Waiss,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,12/3/1946,Te Espero en Rodríguez Peña,,Tango,Oscar Larroca,Víctor,45rpm,Héctor Varela,Carlos Waiss,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,1/31/1947,Mar,,Tango,Carlos Vidal,Víctor,45rpm,Alberto Villanueva,Oscar Rubens,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
Domingo Federico,Orquesta Domingo Federico,1/31/1947,Quisiera Pedirle a Dios,,Milonga,Carlos Vidal,Víctor,45rpm,Francisco Trópoli,Carlos Bahr,,43-48 / Vidal Larroca,Mario Garcés,Francisco Federico,"Domingo Federico, Eduardo Cortti, Priori, Thompson","Enrique Cantore, Pedro Pandolfi, Tallaferro, Ternaski","Piano, Bass, 4 Bandoneons, 4 Violins"
