Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/3/1937,Ilusión,,Vals,Roberto Flores,Odeón,,V. Acosta,V. Acosta,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/18/1937,Clavelito en Flor,,Vals,Roberto Flores,Odeón,,Enrique Rodríguez,José Casais,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,11/18/1937,Mi Muñequita,,Tango,Roberto Flores,Odeón,,Enrique Rodríguez,Alfredo Bigeschi,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/21/1938,Qué Lejos Estoy,,Vals,Roberto Flores,Odeón,,Ángel Del Valle,Ángel Del Valle,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,3/23/1938,Dejame Ser Así,,Tango,Roberto Flores,Odeón,,Enrique Rodríguez,Francisco Gorrindo,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,5/28/1938,La Maja Aristocrática,,Vals,Roberto Flores,Odeón,,"Fermín Gema, Manuel Aniesa, Antonio Ruiz","Fermín Gema, Manuel Aniesa, Antonio Ruiz",,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/27/1938,Siempre Fiel,,Vals,Instrumental,Odeón,,Émile Waldteufel,,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,8/18/1938,Mi Verdad,,Tango,Roberto Flores,Odeón,,Enrique Rodríguez,Arsenio Mármol,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/27/1938,Las Espigadoras,,Vals,Roberto Flores,Odeón,,"Guerrero, Romero, Fernández Shaw","Guerrero, Romero, Fernández Shaw",,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,12/27/1938,Vendrás Alguna Vez,,Tango,Roberto Flores,Odeón,,Alfredo Malerba,Luis Amadori,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/1/1939,Los Piconeros,,Vals,Roberto Flores,Odeón,,"Juan Mostazo, J. Molleda, Ramón Perelló, Enrique Rodríguez","Juan Mostazo, Ramón Perelló",,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/1/1939,Te Quiero Ver Escopeta,,Tango,Roberto Flores,Odeón,,Enrique Rodríguez,Alfredo Bigeschi,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,2/24/1939,Son Cosas Del Bandoneón,Son Cosas de Bandoneón,Tango,Roberto Flores,Odeón,,Enrique Rodríguez,Enrique Cadícamo,,37-39 Flores,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,6/5/1939,Fru Fru,Frou Frou,Vals,Roberto Flores,Odeón,,Henri Chatau,"Homero Manzi, Héctor Monréal, Henri Blondeau",,37-39 Flores,,,,,
