Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Gotan Project,Gotan Project,2001,Chunga's Revenge,,Tango,Instrumental,Ya Basta,,Frank Zappa,,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,El Capitalismo Foráneo,,Tango,Instrumental,Ya Basta,,"Philippe Solal, Christoph Mueller, Avelino Flores",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,La del Ruso,,Tango,Instrumental,Ya Basta,,"Philippe Cohen-Solal, Christoph Müller, Eduardo Makaroff",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,Last Tango in Paris,,Tango,Instrumental,Ya Basta,,Gato Barbieri,,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,Queremos Paz,,Tango,Instrumental,Ya Basta,,"Philippe Solal, Eduardo Makaroff, Christoph Mueller",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,Santa María,Del Buen Ayre,Tango,Instrumental,Ya Basta,,"Philippe Solal, Eduardo Makaroff, Christoph Mueller",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,Tríptico,,Tango,Instrumental,Ya Basta,,"Philippe Solal, Eduardo Makaroff, Christoph Mueller",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,Una Música Brutal,,Tango,Instrumental,Ya Basta,,"Philippe Solal, Eduardo Makaroff, Christoph Mueller",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,Vuelvo al Sur,,Tango,Instrumental,Ya Basta,,Astor Piazzolla,Fernando Solanas,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2001,Época,,Tango,Instrumental,Ya Basta,,"Philippe Solal, Eduardo Makaroff, Christoph Mueller",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2003,Chunga's Revenge,,Tango,Instrumental,Ya Basta,,Frank Zappa,,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2003,El Capitalismo Foráneo,,Tango,Instrumental,Ya Basta,,"Philippe Solal, Christoph Mueller, Avelino Flores",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2003,La Cruz del Sur,,Tango,Instrumental,Ya Basta,,"Philippe Cohen-Solal, Christoph Müller, Eduardo Makaroff",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2003,La del Ruso,,Tango,Instrumental,Ya Basta,,"Philippe Solal, Eduardo Makaroff, Christoph Mueller",,,2001-2003 La Revancha,,,,,
Gotan Project,Gotan Project,2003,Last Tango in Paris,,Tango,Instrumental,Ya Basta,,Gato Barbieri,,,2001-2003 La Revancha,,,,,
