Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
José Basso,Orquesta José Basso,1949,Se Han Sentado las Carretas,,Tango,Instrumental,Odeón,,Agustín Bardi,Enrique Cadícamo,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,3/10/1949,Dos Que Se Aman,,Vals,Francisco Fiorentino y Ricardo Ruiz,Odeón,,Antonio Tormo,Manuel Flores,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,3/10/1949,Mi Noche Triste,,Tango,Francisco Fiorentino,Odeón,,Samuel Castriota,Pascual Contursi,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,3/10/1949,Sentimiento Gaucho,,Tango,Ricardo Ruiz,Odeón,,"Francisco Canaro, Rafael Canaro",Juan Caruso,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,4/7/1949,Claveles Blancos,,Tango,Ricardo Ruiz,Odeón,,Armando Pontier,José Contursi,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,4/7/1949,El Bulín De La Calle Ayacucho,,Tango,Francisco Fiorentino,Odeón,,"José Servidio, Luis Servidio",Celedonio Flores,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,5/27/1949,Tabernero,El Tabernero,Tango,Francisco Fiorentino,Odeón,,"Miguel Cafre, Fausto Frontera",Raúl Olivieri,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,5/27/1949,Una Lágrima Tuya,,Tango,Francisco Fiorentino y Ricardo Ruiz,Odeón,,Mariano Mores,Homero Manzi,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,8/4/1949,Perdón Viejita,,Tango,Ricardo Ruiz,Odeón,,Osvaldo Fresedo,José Saldías,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,8/4/1949,Un Placer,,Vals,Francisco Fiorentino y Ricardo Ruiz,Odeón,,Vicente Romeo,Juan Caruso,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,9/16/1949,A Media Luz,,Tango,Francisco Fiorentino,Odeón,,Edgardo Donato,Carlos Lenzi,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,9/16/1949,Se Han Sentado las Carretas,,Tango,Instrumental,Odeón,,Agustín Bardi,Enrique Cadícamo,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,11/25/1949,Patotero Sentimental,Bailarín Porteño | Patotero,Tango,Oscar Ferrari,Odeón,,Manuel Jovés,Manuel Romero,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,11/25/1949,Triste Comedia,,Tango,Francisco Fiorentino,Odeón,,Héctor Stamponi,Oscar Rubens,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,1/20/1950,Entrada Prohibida,,Tango,Instrumental,Odeón,,Luis Teisseire,,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,1/20/1950,Venganza,,Tango,Oscar Ferrari,Odeón,,Luis Rubistein,Luis Rubistein,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,3/31/1950,Anoche A Las Dos,,Tango,Jorge Durán,Odeón,,Raúl Hoyos,Roberto Cayol,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,3/31/1950,El Estagiario,,Tango,Instrumental,Odeón,,Martín Álvarez,Martín Álvarez,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,6/27/1950,Galleguita,,Tango,Oscar Ferrari,Odeón,,Horacio Pettorossi,Alfredo Navarrine,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,6/27/1950,Martirio,,Tango,Jorge Durán,Odeón,,Enrique Discépolo,Enrique Discépolo,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,8/29/1950,Mamboretá,,Tango,Jorge Durán,Odeón,,María Godard,Francisco Jiménez,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,8/29/1950,Para Lucirse,Show Off,Tango,Instrumental,Odeón,,Astor Piazzolla,,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,11/17/1950,Mi Vieja Viola,,Tango,Oscar Ferrari,Odeón,,Humberto Correa,"Humberto Correa, Salvador Frías",,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,11/17/1950,Payada Criolla,,Milonga,Jorge Durán y Oscar Ferrari,Odeón,,José Basso,Enrique Maroni,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,5/17/1951,El Patio De La Morocha,,Tango,Jorge Durán y Oscar Ferrari,Odeón,,Mariano Mores,Cátulo Castillo,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,5/17/1951,Prepárense,,Tango,Instrumental,Odeón,,Astor Piazzolla,,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,7/24/1951,En la Vía,,Tango,Jorge Durán,Odeón,,Nicolás Vaccaro,Eduardo Méndez,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,7/26/1951,En la Vía,,Tango,Jorge Durán,Odeón,,Nicolás Vaccaro,Eduardo Méndez,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,7/26/1951,Será Una Noche,,Tango,Oscar Ferrari,Odeón,,José Tinelli,Manuel Campos,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,9/11/1951,Te Odio,,Tango,Oscar Ferrari,Odeón,,Francisco Pracáníco,Celedonio Flores,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,9/11/1951,Tomo y Obligo,,Tango,Jorge Durán,Odeón,,Carlos Gardel,Manuel Romero,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,1/10/1952,Hágame el Favor,,Tango,Jorge Durán,Odeón,,José Rial,José Rial,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,1/10/1952,Nuestro Vals,,Vals,Instrumental,Odeón,,José Basso,,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,5/6/1952,Contratiempo,Countepoint,Tango,Instrumental,Odeón,,Astor Piazzolla,,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,5/6/1952,Ronda de Ensueño,,Vals,Jorge Durán y Oscar Ferrari,Odeón,,Josef Ivanovici,Raúl Capablanca,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
José Basso,Orquesta José Basso,7/1/1952,Anteayer,,Tango,Jorge Durán,Odeón,,José Basso,Francisco Jiménez,,49-61 Odeón,José Basso,Rafael Del Bagno,"Julio Ahumada, Eduardo Rovira, Adolfo Francia, Andrés Natale","Mauricio Mise, Francisco Oréfice, Rodolfo Fernández, Domingo Serra, Leopoldo Marafiotti","Piano, Bass, 4 Bandoneons, 5 Violins"
