Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Ricardo Malerba,Orquesta Ricardo Malerba,9/25/1941,Noches de Montmartre,,Tango,Orlando Medina,Odeón,,Manuel Pizarro,Carlos Lenzi,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,9/25/1941,Salí del Paso Manolo,,Milonga,Orlando Medina,Odeón,,Héctor Marcó,Héctor Marcó,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,10/5/1942,Gitana Rusa,,Tango,Orlando Medina,Odeón,,Juan Gorio,Horacio Sanguinetti,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,10/5/1942,Mariana,,Milonga,Orlando Medina,Odeón,,"Ricardo Malerba, Francisco Caso",Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,11/19/1942,Ninguna,,Tango,Orlando Medina,Odeón,,Raúl Siro,Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,11/19/1942,Oiga Mozo,,Tango,Orlando Medina,Odeón,,Héctor Varela,Alberto Nery,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1/18/1943,Corazón De Artista,,Vals,Instrumental,Odeón,,Francisco Gullo,Francisco Gullo,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1/18/1943,La Piba de los Jazmines,,Tango,Orlando Medina,Odeón,,"Ricardo Malerba, Dante Smurra",Julio Navarrine,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,2/12/1943,Embrujamiento,,Tango,Orlando Medina,Odeón,,"Ricardo Malerba, Dante Smurra",Manuel Campos,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,2/12/1943,Remembranza,Remembranzas,Tango,Orlando Medina,Odeón,,Mario Melfi,Mario Battistella,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,4/12/1943,Mamita,Flor de Angustia,Tango,Orlando Medina,Odeón,,Ángel Danesi,Francisco Bohígas,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,4/12/1943,Ropa Blanca,,Milonga,Orlando Medina,Odeón,,Alfredo Malerba,Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,6/10/1943,Veinticuatro de Agosto,24 De Agosto,Tango,Orlando Medina,Odeón,,Pedro Laurenz,Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,6/10/1943,Cuando Florezcan las Rosas,,Vals,Orlando Medina,Odeón,,"Ricardo Malerba, Dante Smurra",Julio Nelson,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,8/10/1943,Magdalena,,Tango,Orlando Medina,Odeón,,Del Cisne,Luis Caruso,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,8/16/1943,Charamusca,,Tango,Instrumental,Odeón,,Francisco Canaro,,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,11/8/1943,A Bailar,,Tango,Orlando Medina,Odeón,,Domingo Federico,Homero Expósito,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,11/8/1943,Mi Taza de Café,,Tango,Orlando Medina,Odeón,,Alfredo Malerba,Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,3/16/1944,Sollozos,,Tango,Instrumental,Odeón,,Osvaldo Fresedo,Emilio Fresedo,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,3/16/1944,Violín,,Tango,Orlando Medina,Odeón,,"Ricardo Malerba, Dante Smurra",Horacio Sanguinetti,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,3/23/1944,Guardia Vieja,,Tango,Instrumental,Odeón,,Julio De Caro,José De Grandis,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,4/18/1944,Tres Amigos,,Tango,Orlando Medina,Odeón,,Rosendo Luna,Enrique Cadícamo,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,6/30/1944,Amor con Amor se Paga,,Milonga,Orlando Medina,Odeón,,Rodolfo Sciammarella,"Rodolfo Sciammarella, Carlos Petit",,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,6/30/1944,Triste Revelación,,Tango,Orlando Medina,Odeón,,Nicolás Vaccaro,Carmelo D'Aiello,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,9/8/1944,Media Noche,Medianoche,Tango,Antonio Maida,Odeón,,Pichuco,Héctor Gagliardi,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,9/8/1944,Palais de Glace,Palacio de Hielo,Tango,Orlando Medina,Odeón,,Rosendo Luna,Rosendo Luna,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,10/16/1944,Encuentro,,Tango,Antonio Maida,Odeón,,Miguel Bucino,Miguel Bucino,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,10/16/1944,Una Copa Más,,Tango,Antonio Maida,Odeón,,"Manuel Flores, Fidel Pintos",Carlos Bahr,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,4/4/1945,Pasado Florido,,Tango,Antonio Maida,Odeón,,Rosendo Luna,Rosendo Luna,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,4/4/1945,Siglo Veinte,Siglo 20,Tango,Antonio Maida,Odeón,,César De Pardo,José García,,41-45 Shellac,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1956,Bailarina,,Milonga,Instrumental,Odeón,,"Ricardo Malerba, José Pilato",,,56-58 Tape,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,3/16/1956,Historia De Un Amor,,Tango,Alberto Sánchez,Odeón,,Carlos Almarán,Carlos Almarán,,56-58 Tape,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,3/16/1956,Quejas de Montmartre,,Vals,Alberto Sánchez,Odeón,,"Georges Van Parys, Jean Renoir, Ver. Martínez","Georges Van Parys, Jean Renoir",,56-58 Tape,Dante Smurra,Francisco de Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
