Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Ada Falcón,Orquesta Víctor,1925-12-23,Risas de Cabaret,,Tango,Ada Falcón,Víctor,Acoustic,BA 731-1,79622-A,José María Rizzuti,José María Ruffet,,,,,,,,,,,
Ada Falcón,Orquesta Víctor,1925-12-23,Casquivana,,Tango,Ada Falcón,Víctor,Acoustic,BA 732-3,79622-B,Ferrari,Jerónimo Martinelli Massa,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-03-05,Entre Sueños,,Tango,Ada Falcón,Odeón,78rpm,3799 e,11170-A,"Anselmo A. Aieta, Juan Polito",Francisco García Jiménez,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-03-05,Venite Conmigo,A Ella,Tango,Ada Falcón,Odeón,78rpm,3800-1e,11170-B,Edgardo Donato,Celedonio Flores,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-03-05,Gomina,,Tango,Ada Falcón,Odeón,78rpm,3801 e,11169-B,Enrique Delfino,Luis Vicente Roldán,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-04-26,Sería Seriola,,Tango,Ada Falcón,Odeón,78rpm,4019 e,11173-A,Luis Riccardi,Tomás Simari,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-05-02,Atorrante,,Tango,Ada Falcón,Odeón,78rpm,4031 e,11171-A,Raúl Joaquín de los Hoyos,Alberto Vaccarezza,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-05-02,Aquel Tapado de Armiño,,Tango,Ada Falcón,Odeón,78rpm,4032 e,11171-B,Enrique Delfino,Manuel Romero,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-06-04,Soy un Arlequín,,Tango,Ada Falcón,Odeón,78rpm,4171 e,11172-A,Enrique Santos Discépolo,Enrique Santos Discépolo,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-06-04,Gilito,,Tango,Ada Falcón,Odeón,78rpm,4172-1e,11173-B,Manuel Parada,Luis Rubistein,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-07-02,Dequera,,Tango,Ada Falcón,Odeón,78rpm,4298 e,11177-B,Domingo Scarpino,José Eneas Riú,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-07-20,Mi Gaucha Se Jue con Dios,,Zamba,Ada Falcón,Odeón,78rpm,4384 e,11174-B,Raimundo Marotti,Roberto Duque,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-07-20,Te Tira la Milonga,,Tango,Ada Falcón,Odeón,78rpm,4385 e,11177-A,Horacio Susena,Horacio Susena,,,,,,,,,,,
Ada Falcón,Trío Enrique Delfino,1929-07-20,La Divina Dama,,Vals,Ada Falcón,Odeón,78rpm,4389 e,11174-A,Nathaniel Shilkret,"Carlos Alberto Sánchez, Federico Saniez",,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1929-11-20,Muñequita de Trapo,,Foxtrot,Ada Falcón,Odeón,78rpm,4925 e,11180-A,Bernardino Terés,Pascual Contursi,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1929-12-10,De Todo Te Olvidas,Cabeza de Novia,Tango,Ada Falcón,Odeón,78rpm,5024 e,11182-A,Salvador Merico,Enrique Cadícamo,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1929-12-17,Margarita Silvestre,,Ranchera,Ada Falcón,Odeón,78rpm,5093 e,11181-B,Juan Canaro,Juan Andrés Caruso,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-03-21,"Yo Nací para Ti, Tú Serás para Mí",,Foxtrot,Ada Falcón,Odeón,78rpm,5273 e,11185-B,Nacio Herb Brown,Manuel Andrés Meaños,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-03-21,Vos También Tenés Tu Historia,,Tango,Ada Falcón,Odeón,78rpm,5274 e,11186-A,Francisco Canaro,"Juan Andrés Caruso, Francisco Canaro",,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-03-22,La Chica del 17,,Pasodoble,Ada Falcón,Odeón,78rpm,5276 e,11186-B,J. R. de Azagra Sanz,"J. D. Vila, N. F. Boixader",,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-03-22,Como Anillo al Dedo,,Ranchera,Ada Falcón,Odeón,78rpm,5277 e,,Adolfo Rafael Avilés,Francisco Brancatti,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-04-11,Santos Vega el Payador,,Ranchera,Ada Falcón,Odeón,78rpm,5412 e,11189-A,Ricardo Luis Brignolo,"Máximo Vago, Antonio Miguel",,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-04-11,Los Claveles de Sevilla,,Pasodoble,Ada Falcón,Odeón,78rpm,5414 e,11187-B,Jacinto Guerrero Torres,,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-05-21,Amante Soñador,,Vals,Ada Falcón,Odeón,78rpm,5609 e,11190-A,Victor Schertzinger,"Carlos Alberto Sánchez, Federico Saniez",,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-05-28,El Desfile del Amor,Adiós a París,Foxtrot,Ada Falcón,Odeón,78rpm,5638 e,11192-A,Victor Schertzinger,"Carlos Alberto Sánchez, Federico Saniez",,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-07-04,Mirasol,,Ranchera,Ada Falcón,Odeón,78rpm,5846 e,,Juan Canaro,Jesús Fernández Blanco,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-09-24,Flor del Campo,,Ranchera,Ada Falcón,Odeón,78rpm,6089 e,11198-B,Francisco Canaro,Jesús Fernández Blanco,,,,,,,,,,,
Ada Falcón,Orquesta Típica Francisco Canaro,1930-10-22,Virgencita del Carmen,,Tango,Ada Falcón,Odeón,78rpm,6206 e,11199-B,Ítalo Goyeche,Osvaldo Cruz Montenegro,,,,,,,,,,,
