Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Agesilao Ferrazzano,Agesilao Ferrazzano,1922-05-18,Alhambra,,Tango,Instrumental,Victor,Acoustic,BA-46-12,73413,C. V. G. Flores,,,,C. V. G. Flores,,,Agesilao Ferrazzano,,,,,
Agesilao Ferrazzano,Agesilao Ferrazzano,1922-05-18,Flores,,Tango,Instrumental,Victor,Acoustic,BA-47-11,73414,Enrique Maciel,,,,C. V. G. Flores,,,Agesilao Ferrazzano,,,,,
Agesilao Ferrazzano,Agesilao Ferrazzano,1923-08-08,Los Dopados,,Tango,Roberto Díaz,Victor,Acoustic,BA-355-1,77222,Juan Carlos Cobián,"Raúl Doblas, Alberto T. Weisbach",,,Juan Carlos Cobián,,,Agesilao Ferrazzano,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1926,Vivorita,,Tango,Instrumental,Victor,78rpm,BAVE-1115-2,79806,Eduardo Arolas,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927,Caa-guazú,,Tango,Instrumental,Victor,78rpm,BAVE-1238-2,79858,José A. Severino,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927,Sos Mía,,Tango,Instrumental,Victor,78rpm,BAVE-1599-2,79973,Demofilo Fernandez,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-02-05,A Media Luz,,Tango,Instrumental,Victor,78rpm,BAVE-1090-4,79336,Edgardo Donato,Carlos Cesar Lenzi,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-02-05,Anoche a las Dos,,Tango,Instrumental,Victor,78rpm,BAVE-1091-2,79336,Raul de los Hoyos,Roberto Lino Cayol,,,,,,,,,,,
Agesilao Ferrazzano,Agesilao Ferrazzano,1927-02-22,Cuando Tú Me Quieras,,Tango,Instrumental,Victor,78rpm,BAVE-1111-2,79801,"Julio Pollero, Agesilao Ferrazzano",,,,,,,Agesilao Ferrazzano,"Rafael Iriarte (guitar), Rosendo Pesoa (guitar)",,,,
Agesilao Ferrazzano,Agesilao Ferrazzano,1927-02-22,Don Esteban,,Tango,Instrumental,Victor,78rpm,BAVE-1110-2,79801,Augusto Pedro Berto,,,,,,,Agesilao Ferrazzano,"Rafael Iriarte (guitar), Rosendo Pesoa (guitar)",,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-02-23,Marchéta,,Vals,Instrumental,Victor,78rpm,BAVE-1114-1,79806,Victor Schertzinger,Benjamin Tagle Lara,,,,,,,,,,,
Agesilao Ferrazzano,Agesilao Ferrazzano y su OT,1927-02-23,Viborita,,Tango,Instrumental,Victor,78rpm,BAVE 1115-2,79806-B,Eduardo Arolas,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-03-24,Amoríos,,Tango,Instrumental,Victor,78rpm,BAVE-1152-2,79825,E. de Leonardi Sito,Luis Alberto Zeballos,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-03-24,Perversa,,Tango,Instrumental,Victor,78rpm,BAVE-1153-2,79825,P. Castellanos,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-04-08,Horas que Pasan,,Vals,Instrumental,Victor,78rpm,BAVE-1167-2,79832,Nicolás S. Blois,Francisco Alfredo Filiberto Marino,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-04-08,La Torre en Guardia,,Tango,Instrumental,Victor,78rpm,BAVE-1166-2,79832,M. G. Servetto,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-04-26,La Cachorra,,Tango,Instrumental,Victor,78rpm,BAVE-1178-2,79838,Luis Mottolesse,Ismael R. Aguilar,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-04-26,No Te Aflijas,,Tango,Instrumental,Victor,78rpm,BAVE-1179-2,79838,Raúl Ruiz Moreno,Geronimo Gradito,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-03,A Su Memoria,,Tango,Instrumental,Victor,78rpm,BAVE-1190-2,79844,Antonio Sureda,Homero Manzi,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-03,La Musa Mistonga,,Tango,Instrumental,Victor,78rpm,BAVE-1191-2,79844,Antonio Polito,Celedonio Esteban Flores,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-11,El Morito,,Tango,Instrumental,Victor,78rpm,BAVE-1200-2,79849,Oscar Roma,Eugenio Cardenas,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-11,Pedacito de Cielo,,Tango,Instrumental,Victor,78rpm,BAVE-1201-2,79849,José Martínez,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-28,Alacrán,,Tango,Instrumental,Victor,78rpm,BAVE-1236-2,79858,Alfredo Marengo,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-28,Alma que Llora,,Tango,Instrumental,Victor,78rpm,BAVE-1235-2,79857,Carlos Martinoli,,,,,,,,,,,,
Agesilao Ferrazzano,Agesilao Ferrazzano y su OT,1927-05-28,Caaguazu,,Tango,Instrumental,Victor,78rpm,BAVE 1238-2,79858-,Jose Arturo Severino,,,,,,,,,,,,
Agesilao Ferrazzano,Agesilao Ferrazzano,1927-05-28,Gloria,,Tango,Instrumental,Victor,78rpm,BAVE-1240-1,79859,Eduardo Pereyra,Celedonio Esteban Flores,,,C. V. G. Flores,,,Agesilao Ferrazzano,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-28,Mis Recuerdos,,Tango,Instrumental,Victor,78rpm,BAVE-1237-2,79857,Clemente Guiol,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-05-28,Rodolfo Valentino,,Tango,Instrumental,Victor,78rpm,BAVE-1234-2,80016,Tomás Munos Leiva,,,,,,,,,,,,
Agesilao Ferrazzano,Agesilao Ferrazzano,1927-05-28,Sueño Azul,,Tango,Instrumental,Victor,78rpm,BAVE-1239-1,79859,Francisco de Caro,Mario Cesar Gomila,,,C. V. G. Flores,,,Agesilao Ferrazzano,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-07-20,De Tarde en Tarde,,Tango,Instrumental,Victor,78rpm,BAVE-1341-2,79887,Raúl Ruiz Moreno,G. Gallucci,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-07-20,La Misa del Tango,,Tango,Instrumental,Victor,78rpm,BAVE-1340-4,79887,Julio de Caro,Ricardo Marceau,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-12-09,Abran Cancha,,Tango,Instrumental,Victor,78rpm,BAVE-1600-2,79974,Jose Maria Mendizabal,,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-12-09,Cotorro Azul,,Tango,Instrumental,Victor,78rpm,BAVE-1598-2,79973,José Rodríguez,Juan Miguel Velich,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-12-09,Mueble Viejo,,Tango,Instrumental,Victor,78rpm,BAVE-1601-2,79974,Raul de los Hoyos,Agapito Crespo,,,,,,,,,,,
Agesilao Ferrazzano,Orquesta Típica A. Ferrazzano,1927-12-09,Pizpireta,,Tango,Instrumental,Victor,78rpm,BAVE-1597-2,79972,Juan Trombino,Andres Gaos,,,,,,,,,,,
