Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Agustín Magaldi,Guitarras,,El Carretero,,Canción,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,,Inedita,Arturo de Navas,,,,,,,,,,,,
Agustín Magaldi,Guitarras,,Sanjuanina de Mi Amor,,Cueca,"Agustín Magaldi, Pedro Noda",Films,,,,,,,,,,,,,,,,
Agustín Magaldi,Guitarras,,Sonsa,,Tango,Agustín Magaldi,Víctor,Acoustic,,Inedita,Raul de los Hoyos,Emilio Fresedo,,,,,,,,,,,
Agustín Magaldi,Guitarras,1924,La Jachallera,,Zamba,"Rosita Quiroga, Agustín Magaldi",Víctor,Acoustic,BA 534-1,79518-B,Luis Conde,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1924-08-11,Virgencita de Lujan,,Tonada,"Rosita Quiroga, Agustín Magaldi",Víctor,Acoustic,BA 504-1,79511-A,Francisco Alvarez,Juan Miguel Velich,,,,,,,,,,,
Agustín Magaldi,Guitarras,1924-12-01,El Amor de los Amores,,Gato,"Rosita Quiroga, Agustín Magaldi",Víctor,Acoustic,BA 535-2,79518-A,Juan Miguel Velich,Francisco Alvarez,,,,,,,,,,,
Agustín Magaldi,Guitarras,1924-12-01,La Jachalera,,Zamba,"Agustín Magaldi, Rosita Quiroga",Víctor,Acoustic,534,79518,A Luis Conde,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1924-12-01,La Jachayera,,Zamba,"Rosita Quiroga, Agustín Magaldi",Víctor,Acoustic,534,,A.Luis Conde,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-01-06,Chilena Ingrata,,Cueca,"Rosita Quiroga, Agustín Magaldi",Víctor,Acoustic,BA 500-2,79511-B,Rodriguez-Orlando N. Urruspuru,Rosita Quiroga,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-05-05,Cuando,,Jachallayera,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 586-2,79547,Benjamin Tagle Lara,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-05-05,No Me Despiertes Nunca,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 585-1,79547,Juan Miguel Velich,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-06-30,Desprecio,,Milonga,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 626-2,79568-B,Agustín Magaldi-Enrique Maciel-Pedro Noda,A Magaldi y P Noda,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-06-30,Flor Serrana,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 625-2,79568-A,Arturo C. Schianca,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-07-31,Blanca Flor,,Vals,Agustín Magaldi,Víctor,Acoustic,BA 606-1,79557-B,Agustín Magaldi,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-07-31,La Santita,,Tango,Agustín Magaldi,Víctor,Acoustic,BA 605-1,79557-A,Enrique Maciel,Francisco Brancatti,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-09-18,Corazon Bohemio,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 661-2,79589-B,Enrique Maciel,Francisco Brancatti,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-09-18,Juraste por Tu Madre,,Tango,Agustín Magaldi,Víctor,Acoustic,BA 660-3,79589-A,Eduardo Pereyra,Juan Miguel Velich,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-10-16,Amaneciendo,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 678-3,79596-B,Agustín Magaldi,Pedro Noda,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-10-16,El Vagabundo,,Tango,Agustín Magaldi,Víctor,Acoustic,BA 679-1,79596-A,Alejandro Spinardi,Agustín Magaldi,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-11-03,El Carretero,,Canción,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 697-1,79605-B,Arturo Navas,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-11-03,El Carrretero,,Canción,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,697,,Arturo de Nava,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-11-03,Sonsa,,Tango,Agustín Magaldi,Víctor,Acoustic,BA 696-1,79605-A,Raul de los Hoyos,Emilio Fresedo,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-12-29,Canillita,,Tango,Agustín Magaldi,Víctor,Acoustic,BA 735-2,79624-A,Tomas de Bassi,Antonio Botta,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-12-29,Mal de Amor,,Chacayalera,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,BA 736-2,79624-B,Alfonso Maria Rafael y Benjamin Tagle Lara,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1925-12-29,Mal de Amores,,Jachayalera,"Agustín Magaldi, Pedro Noda",Víctor,Acoustic,736,79624,A Tagle Lara,Benjamin Tagle Lara,,,,,,,,,,,
Agustín Magaldi,Guitarras,1926-04-14,Donde Estas?,,Shimmy,Agustín Magaldi,Víctor,78rpm,BAVE 773-1,79642-A,Agustín Magaldi,Alejandro Spinardi,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-04-14,Hilos de Plata,,Tango,Agustín Magaldi,Víctor,78rpm,BAVE 774-2,79643-B,Fausto Frontera-I. Aguilar-G. Martinelli Massa,Martinelli Mazza,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-04-14,Lirio Azul,,Vals,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,BAVE 775-2,79642-B,Ricardo Arancibia Rodriguez,,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-04-14,Sauces de Chorrillo,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,776,79643,Ricardo Arancibia Rodriguez,,,,,,,,,,,,
Agustín Magaldi,Guitarras,1926-04-14,Sauces del Chorrillo,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,BAVE 776-1,79643-A,Ricardo Arancibia Rodriguez,,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-06-02,"Dejame, Hermano",,Tango,Agustín Magaldi,Víctor,78rpm,BAVE 826-2,79669-A,J. M. Gonzalez,Jacinto Font,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-06-02,El Amor en un Bichito,,Chacarera,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,825,79669,Genaro Veiga,A Magaldi & P Noda,,,,,,,,,,,
Agustín Magaldi,Guitarras,1926-06-02,El Amor Es un Bichito,,Chacarera,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,BAVE 825-1,79669-B,Agustín Magaldi-Pedro Noda-Genaro Veiga,,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-06-15,Alla en el Bajo,,Tango,Agustín Magaldi,Víctor,78rpm,BAVE 842-1,79676-A,A. Magaldi-P. Noda-I. Aguilar-G. Martinelli Massa,A Magaldi & P Noda,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-06-15,Las Margaritas,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,BAVE 841-1,79676-B,Jose Maria Aguilar,,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-07-26,Triste Payaso,,Tango,Agustín Magaldi,Víctor,78rpm,BAVE 886-1,79698-A,Pedro Vergez,,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-07-26,Tucumana Mia,,Zamba,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,BAVE 885-1,79698-B,Luis Viapiana,,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-09-16,Aura y Se Fue,,Triunfo,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,BAVE 933-1,79722-B,Agustín Magaldi-Pedro Noda-B. Tagle Lara,A Magaldi & P Noda,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-09-16,Trapo Viejo,,Tango,Agustín Magaldi,Víctor,78rpm,BAVE 934-2,79722-A,Agustín Magaldi-Pedro Noda-B. Tagle Lara,A Magaldi & P Noda,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-10-05,De Mis Pagos,,Tonada,"Agustín Magaldi, Pedro Noda",Víctor,78rpm,BAVE 960-1,79735-B,Agustin Cipriano Irusta-Graciadio,G Graciado,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
Agustín Magaldi,Guitarras,1926-10-05,Puesta de Sol,,Tango,Agustín Magaldi,Víctor,78rpm,BAVE 961-1,79735-A,Fausto Frontera,Enrique Domingo Cadicamo,,,,,,,Guitarras: Jose Maria Aguilar-Genaro Veiga,,,,
