Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Alberto Castillo,Alberto Castillo y su Orquesta Típica,12/7/1943,Luna de Arrabal,,Vals,Alberto Castillo,Odeón,78rpm,13422,7700-B,Julio Sanders,Enrique Cadícamo,Emilio Balcarce,Odeón,,,,,,Single,Odeón,B,1943-12-07_Luna-De-Arrabal_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,12/7/1943,Mano Blanca,Manoblanca,Tango,Alberto Castillo,Odeón,78rpm,13421,7700-A,Arturo De Bassi,Homero Manzi,Emilio Balcarce,Odeón,,,,,,Single,Odeón,A,1943-12-07_Mano-Blanca_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,1/9/1944,Anclado en París,,Tango,Alberto Castillo,Odeón,78rpm,13522,7701-A,Guillermo Barbieri,Enrique Cadícamo,,Odeón,,,,,,Single,Odeón,A,1944-01-09_Anclado-En-Paris_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,1/9/1944,Pincelada,,Tango,Alberto Castillo,Odeón,78rpm,13521,7701-B,Emilio Balcarce,Isusi,Emilio Balcarce,Odeón,,,,,,Single,Odeón,B,1944-01-09_Pincelada_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,1/19/1944,Anclado en París,,Tango,Alberto Castillo,Odeón,78rpm,13522,7701-A,Guillermo Barbieri,Enrique Cadícamo,Emilio Balcarce,Odeón,,,,,,Single,Odeón,A,1944-01-19_Anclado-En-Paris_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,2/3/1944,Con un Tango Así,,Tango,Alberto Castillo,Odeón,78rpm,13596,7702-B,Cristóbal Herreros,Leopoldo Vélez,Emilio Balcarce,Odeón,,,,,,Single,Odeón,B,1944-02-03_Con-Un-Tango-Asi_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,2/3/1944,La Que Murió en París,,Tango,Alberto Castillo,Odeón,78rpm,13560,7702-A,Enrique Maciel,Héctor Blomberg,Emilio Balcarce,Odeón,,,,,,Single,Odeón,A,1944-02-03_La-Que-Murio-En-Paris_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,3/3/1944,Charol,,Candombe,Alberto Castillo,Odeón,78rpm,13614,7703-A,José Cordero,José Cordero,Emilio Balcarce,Odeón,,,,,,Single,Odeón,A,1944-03-03_Charol_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,3/3/1944,Y Sonó el Despertador,,Tango,Alberto Castillo,Odeón,78rpm,13615,7703-B,Marvil,Marvil,Emilio Balcarce,Odeón,,,,,,Single,Odeón,B,1944-03-03_Y-Sono-El-Despertador_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,3/29/1944,Y Siempre Igual,,Tango,Alberto Castillo,Odeón,78rpm,13668,7704-A,Arturo Gallucci,Luis Caruso,Emilio Balcarce,Odeón,,,,,,Single,Odeón,A,1944-03-29_Y-Siempre-Igual_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,6/9/1944,A Suerte y Verdad,,Tango,Alberto Castillo,Odeón,78rpm,13856,7707-B,Carlos Parodi,Carlos Waiss,Emilio Balcarce,Odeón,,,,,,Single,Odeón,B,1944-06-09_A-Suerte-Y-Verdad_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,6/9/1944,Amarras,,Tango,Alberto Castillo,Odeón,78rpm,13854,7706-A,Carlos Marchisio,Carmelo Santiago,Emilio Balcarce,Odeón,,,,,,Single,Odeón,A,1944-06-09_Amarras_Castillo
Alberto Castillo,Alberto Castillo y su Orquesta Típica,6/9/1944,Nubes de Humo,Fume Compadre,Tango,Alberto Castillo,Odeón,78rpm,13853,7704-B,Manuel Jovés,Manuel Romero,Emilio Balcarce,Odeón,,,,,,Single,Odeón,B,1944-06-09_Nubes-De-Humo_Castillo
