Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Alfredo De Angelis,Orquesta Alfredo De Angelis,1943-07-23,Marioneta,,Tango,Floreal Ruiz,Odeón,78rpm,12956,3770-A,Juan Guichandut,Armando Tagini,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1943-07-23,Qué Buena Es,,Tango,Julio Martel y Nestor Rodi,Odeón,78rpm,12955,3770-B,Armando Ferreiro,Hipólito Oneca,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1943-08-10,Buenos Aires de Ayer,,Milonga,Julio Martel y Nestor Rodi,Odeón,78rpm,13020,3171-B,Alfredo De Angelis,Ricardo Olcese,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1943-08-10,Dejame Así,,Tango,Floreal Ruiz,Odeón,78rpm,13019,3771-A,Víctor Braña,Oscar Rubens,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1943-11-04,Como Se Muere de Amor,,Tango,Floreal Ruiz y Nestor Rodi,Odeón,78rpm,13340,3772-A,Daniel Álvarez,Daniel Álvarez,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1943-11-04,Pura Maña,,Tango,Instrumental,Odeón,78rpm,13341,3772-B,Pedro Maffía,,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1944-02-29,Bajo el Cono Azul,,Tango,Floreal Ruiz y Nestor Rodi,Odeón,78rpm,13606,3773-A,Alfredo De Angelis,Carmelo Volpe,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1944-02-29,Ya Sé Que Siguen Hablando,,Tango,Julio Martel,Odeón,78rpm,13607,3773-B,Héctor Palacios,Iván Diez,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1944-04-28,Cero Al As,,Tango,Floreal Ruiz,Odeón,78rpm,13731,3774-A,Arturo Gallucci,Francisco Bohígas,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1944-04-28,Mi Novia de Ayer,,Vals,Floreal Ruiz,Odeón,78rpm,13730,3774-B,Arturo Gallucci,José Bazán,,43-44 Before Dante,Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Carón","Piano, Bass, 5 Bandoneons, 4 Violins"
