Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Alfredo Gobbi,Orquesta Alfredo Gobbi,1947-05-16,La Entrerriana,,Vals,Carlos Heredia Y Hugo Soler,Víctor,78rpm,83435,60-1328,Alfredo Gobbi,Alfredo Gobbi,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1947-05-16,La Viruta,,Tango,Instrumental,Víctor,78rpm,83434,60-1328,Vicente Greco,,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1947-07-30,Amor de Forastero,,Tango,Carlos Heredia Y Hugo Soler,Víctor,78rpm,83555,60-1393,"Domingo Roldán, Guillermo López","Domingo Roldán, Guillermo López",Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1947-07-30,Jueves,,Tango,Instrumental,Víctor,78rpm,83554,60-1393,"Rafael Rossi, Udelino Toranzo",,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1947-11-04,Adoración,,Vals,Carlos Heredia Y Hugo Soler,Víctor,78rpm,83744,60-1485,Ramón Argüello,Pedro Pidoto,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1947-11-04,Barcarola Triste,,Tango,Hugo Soler,Víctor,78rpm,83745,60-1485,Alberto Nery,Pedro Blasco,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1948-01-31,Amémonos,,Vals,Carlos Heredia Y Hugo Soler,Víctor,78rpm,83816,68-1527,Carlos Ocampo,Manuel Flores,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1948-01-31,El Incendio,,Tango,Instrumental,Víctor,78rpm,83817,60-1527,Arturo De Bassi,,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1948-05-12,Muchachos Yo Tengo un Tango,,Tango,Pablo Lozano,Víctor,78rpm,83918,60-1594,Natty Paredes,Natty Paredes,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
Alfredo Gobbi,Orquesta Alfredo Gobbi,1948-05-12,Tierrita,,Tango,Héctor Maciel,Víctor,78rpm,83917,60-1594,Agustín Bardi,Jesús Blanco,Alfredo Gobbi,47-51 Romero Piano,Ernesto Romero,Juan Pecci,"Alberto Garralda, Mario Demarco, Mauricio Shulman, Ernesto Rodríguez, Ricardo Varela","Alfredo Gobbi, Antonio Blanco, Bernardo Germino, Luis Piersantelli, Miguel Silvestre, Osvaldo Monteverde","Piano, Bass, 5 Bandoneons, 6 Violins"
