Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disk,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/13/1940,No Aflojés,,Tango,Ángel Vargas,Víctor,78rpm,BAVE-039631,39136,"Pedro Maffía, Sebastián Piana",Mario Battistella,,40-43 Initial Orquesta,Ángel D'Agostino,UNNAMED STUDENT,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/13/1940,Muchacho,,Tango,Ángel Vargas,Víctor,78rpm,BAVE-039632,39136,Edgardo Donato,Celedonio Flores,,40-43 Initial Orquesta,Ángel D'Agostino,UNNAMED STUDENT,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,7/24/1941,Tres Esquinas,,Tango,Ángel Vargas,Víctor,78rpm,BAVE-059594,39359,"Ángel D'Agostino, Alfredo Attadía",Enrique Cadícamo,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,7/24/1941,Un Copetín,,Tango,Ángel Vargas,Víctor,78rpm,BAVE-059593,39359,Juan Maglio,José Fernández,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,9/9/1941,Adiós Arrabal,,Tango,Ángel Vargas,Víctor,78rpm,59771,39404,"Juan Baüer, Carlos Lenzi",Carlos Lenzi,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,9/9/1941,Ahora No Me Conocés,,Tango,Ángel Vargas,Víctor,78rpm,BAVE-059770,39404,Armando Baliotti,Carlos Giampé,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/20/1941,Compadreando,,Milonga,Ángel Vargas,Víctor,78rpm,59835,39437,Alfredo Attadía,Mario Soto,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,10/20/1941,Sólo Compasión,,Tango,Ángel Vargas,Víctor,78rpm,59834,39437,Benjamín Barrio,Luis Castiñeira,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/5/1941,Una Pena,,Tango,Ángel Vargas,Víctor,78rpm,59861,39479,Adolfo Rosquellas,Arturo Albert,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
Ángel D'Agostino,Orquesta Ángel D'Agostino,11/12/1941,Traiga Otra Caña,,Tango,Ángel Vargas,Víctor,78rpm,59862,39432,Antonio Scatasso,Antonio Scatasso,,40-43 Initial Orquesta,Ángel D'Agostino,Francisco De Lorenzo,"Alfredo Attadía, Ismael Spitalnik, Miguel Bonano","Benjamin Holgado Barrios, Bernardo Weber, Vicente Russo","Piano, Bass, 3 Bandoneons, 3 Violins"
