Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Ángel Vargas,Ángel Vargas con José Luis Padula,1935-11-04,Brindemos Compañeros,,Tango,Ángel Vargas,,,,,José Padula,Enrique Cadícamo,,Other Groups,,,,,,,,,
Ángel Vargas,Ángel Vargas con Guitarras,1939-04-11,La Bruja,,Tango,Ángel Vargas,,,,,Juan Polito,Francisco Gorrindo,,Other Groups,,,,,,,,,
Ángel Vargas,Ángel Vargas con Guitarras,1939-04-11,Milongón,,Milonga,Ángel Vargas,,,,,Francisco Canaro,Homero Manzi,,Other Groups,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1947-11-03,Milonga Para Gardel,,Milonga,Ángel Vargas,,,,,Carlos Viván,Horacio Sanguinetti,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1947-11-03,Se Lustra Señor,,Tango,Ángel Vargas,,,,,"Enrique Alessio, Eduardo Del Piano",Marvil,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1948-06-17,Color de Barro,,Tango,Ángel Vargas,,,,,Anselmo Aieta,Cátulo Castillo,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1948-06-17,Perdón Viejita,,Tango,Ángel Vargas,,,,,Osvaldo Fresedo,José Saldías,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1948-09-27,Mil Novecientos Diez,1910,Tango,Ángel Vargas,,,,,Benigno Calvelo,Leopoldo Vélez,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1948-09-27,Pa'los Muchachos,A los Muchachos,Tango,Ángel Vargas,,,,,José Ranieri,Julián Centeya,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-02-07,La Mariposa,Gorjeos,Tango,Ángel Vargas,,,,,Pedro Maffía,Celedonio Flores,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-02-07,Tanto,,Tango,Ángel Vargas,,,,,Elías Randal,Carlos Bahr,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-03-29,Del Buenos Aires de Ayer,,Milonga,Ángel Vargas,,,,,Eduardo Del Piano,Eduardo Del Piano,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-03-29,Embrujo de Mi Ciudad,,Tango,Ángel Vargas,,,,,Emilio Balcarce,Leopoldo Vélez,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-07-04,Quién Hubiera Dicho,,Tango,Ángel Vargas,,,,,Rodolfo Sciammarella,Luis Amadori,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-07-04,Se Llamaba Eduardo Arolas,Adiós Arolas,Tango,Ángel Vargas,,,,,Ángel D'Agostino,Enrique Cadícamo,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-12-28,El Motivo,Pobre Paica,Tango,Ángel Vargas,,,,,Juan Cobián,Pascual Contursi,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1949-12-28,Que Se Vayan,,Tango,Ángel Vargas,,,,,Francisco Canosa,Enrique Dizeo,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1950-05-10,Amigaso,Amigazo,Tango,Ángel Vargas,,,,,Juan Filiberto,"Francisco Brancatti, Juan Velich",,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1950-05-10,Apología Tanguera,,Milonga,Ángel Vargas,,,,,Rosita Quiroga,Enrique Cadícamo,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1950-05-10,Bandoneón Arrabalero,,Tango,Ángel Vargas,,,,,Juan Deambroggio,Pascual Contursi,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1950-05-10,Fondín de Pedro Mendoza,,Tango,Ángel Vargas,,,,,Raúl De Los Hoyos,"Ivo Pelay, Luis Amadori",,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1950-10-20,Mi Vieja Viola,,Tango,Ángel Vargas,,,,,Humberto Correa,"Humberto Correa, Salvador Frías",,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1950-10-20,Ventanita de Arrabal,,Tango,Ángel Vargas,,,,,Antonio Scatasso,Pascual Contursi,,47-50 Del Piano Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1951-06-19,Cascabelito,,Tango,Ángel Vargas,,,,,José Bohr,Juan Caruso,,51-54 Lacava Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1951-06-19,No Salgas de Tu Barrio,,Tango,Ángel Vargas,,,,,Enrique Delfino,Arturo Bustamante,,51-54 Lacava Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1951-07-05,De Vuelta Al Bulín,,Tango,Ángel Vargas,,,,,José Martínez,Pascual Contursi,,51-54 Lacava Director,,,,,,,,,
Ángel Vargas,Ángel Vargas con su Orquesta,1951-07-05,Naipe Marcado,,Tango,Ángel Vargas,,,,,Ángel Greco,Ángel Greco,,51-54 Lacava Director,,,,,,,,,
