Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Angel Villoldo,Angel Villoldo,,La Moral y los $50,,,Instrumental,Victor,,[Vi cat 62139-B],62139,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,A la Bandera Argentina,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55046,55046,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Al General Aparicio Saravia,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55076,55076,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Aventuras de un Tenorio,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55172,55172,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Batifondo en un Café Cantante,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55175-1,55175,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,"Bohemia Criolla: ""Sinforoso""",,,Angel Villoldo,Columbia 1 Faz,Acoustic,5 5053,55053,Antonio Reynoso,Enrique de Maria,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Cancion del Pio-pio,,Cancion,Angel Villoldo,Columbia 1 Faz,Acoustic,55154,55154,Angel Gregorio Villoldo,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Carcajada Callejera,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55079,55079,Angel Gregorio Villoldo,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo-Jose M. Silva,1905,Contrapunto de Martin Fierro,,,Angel Villoldo-Jose M. Silva,Columbia 1 Faz,Acoustic,55202,55202,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Contrapunto de Martin Fierro,,,"José María Silva, Angel Gregorio Villoldo",Columbia,Acoustic,55204,55204,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Contrapunto Entre un Gallego y un Napolitano,,Milonga,Angel Villoldo,Columbia 1 Faz,Acoustic,55071-1,55071,Angel Gregorio Villoldo,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Declaracion de un Mudo,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55082,55082,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,"Deja 'e Jugar, Che!",,Tango,Angel Villoldo,Columbia 1 Faz,Acoustic,55074,55074,Angel Gregorio Villoldo,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,Desgracias de un Marido,,Milonga,Angel Villoldo,Columbia 1 Faz,Acoustic,55159,55159,Angel Gregorio Villoldo,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,El Carbonero Macarronico,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55084,55084,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,El Cochero de Tranvia,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55155,55155,Angel Gregorio Villoldo,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,El Cojo Enamorado,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55086,55086,Angel Gregorio Villoldo,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,El Criollito,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55170,55170,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,El Gran Capitan,,Cancion Picaresca,Angel Villoldo,Columbia 1 Faz,Acoustic,55043,55043,,,,,,,,,,,,,
Angel Villoldo,Angel Villoldo,1905,El Pimpollo,,,Angel Villoldo,Columbia 1 Faz,Acoustic,55075,55075,,,,,,,,,,,,,
