Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Desilusión,,Tango,Instrumental,Electra,,123,707,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,El Travieso,,Tango,Instrumental,Electra,,124,707,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,El Último Cariño,,Tango,Instrumental,Electra,,,708,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Maldita Visión,,Tango,Instrumental,Electra,,,708,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,El Cofrecito,,Tango,Instrumental,Electra,,133,711,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Adiós Carmencita,,Tango,Instrumental,Electra,,132,711,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Buen Amigo,,Tango,Instrumental,Electra,,136,712,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Mimosa,,Tango,Instrumental,Electra,,139,712,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Rosalía,,Tango,Instrumental,Electra,,137,713,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Corazón de Oro,,Tango,Instrumental,Electra,,138,713,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Sonsa,,Tango,Instrumental,Electra,,142,714,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Palabras Cruzadas,,Tango,Instrumental,Electra,,144,714,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,Triste,,Tango,Instrumental,Electra,,,715,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1925,La Monjita,,Tango,Instrumental,Electra,,,715,,,,26-31 Electra + Columbia,Luis Nicolás Visca,Luis Adesso,"Anselmo Aieta, Luis Moresco","Juan D'Arienzo, José Cacopardo","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Cómo Se Pianta la Vida,,Tango,Instrumental,Columbia,,370152-1,5308-B,Carlos Viván,Carlos Viván,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Deschavate Hermano,,Tango,Luis Scalón,Columbia,,370065-1,5304-B,M. Scarone,Máximo Orsi,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Pa' Qué Volvés,,Tango,Luis Scalón,Columbia,,370135-1,5308-A,Raúl Lynch,Armando Tagini,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Sandía Calada,,Tango,Luis Scalón,Columbia,,370064-1,5304-A,Arturo Aieta,Jorge Curí,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Tan Grande y Tan Zonzo,,Tango,Luis Scalón,Columbia,,370055-1,5302-,Anselmo Aieta,Enrique Dizeo,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,Yo Tengo la Culpa,,Tango,Luis Scalón,Columbia,,370042-1,5302-,Rosendo Mendizábal,Juan Mateo,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,La Montonera,,Vals,Luis Scalón,Columbia,,370069-1,5305-B,Enrique Delfino,Manuel Romero,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1930,No Es Por Hablar Mal,,Tango,Instrumental,Columbia,,370056-1,5303-A,Enrique Delfino,Julio Romero,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1931,Pasó a la Historia,,Tango,Instrumental,Columbia,,370512-1,5402-A,P. Padula,Arturo Bustamante,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1931,El Taura,,Tango,Luis Scalón,Columbia,,370330-1,5310-A,José Domínguez,Rogelio Ferreyra,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Anselmo Aieta,Orquesta Anselmo Aieta,1931,Ojos Azules,,Vals,Luis Scalón,Columbia,,,5310-B,Ricardo Aieta,Francisco Jiménez,,26-31 Electra + Columbia,Gulderico Fernández,Juan Tuegols,"Anselmo Aieta, Gabriel Clausi","Juan Pedro Castillo, José Domínguez Salghes","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
