Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1957-06-07,Nochera,,Tango,Argentino Ledesma,Odeón,,,,Benjamín García,Carlos Waiss,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-07-16,Cantinera,,Vals,Argentino Ledesma,Odeón,,,,Marsil Robles,Marsil Robles,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-08-20,Cuartito Azul,,Tango,Argentino Ledesma,Odeón,,,,Mariano Mores,Mario Battistella,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-08-20,Pa' que Sientas Lo que Siento,,Tango,Argentino Ledesma,Odeón,,,,Marcelo Salazar Bonilla,Marcelo Salazar Bonilla,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-08-27,Fondín de Pedro Mendoza,,Tango,Argentino Ledesma,Odeón,,,,Raúl De Los Hoyos,"Luis Cesar Amadori, Ivo Pelay",,,,,,,,,,,
Argentino Ledesma,Orquesta Jorge Dragone con Argentino Ledesma,1957-08-27,Zapatitos de Raso,,Milonga,Argentino Ledesma,Odeón,,,,Jorge Dragone,Fernando Caprio,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-10-08,En el Cielo,,Tango,Argentino Ledesma,Odeón,,,,Enrique Alessio,Enrique Lary,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1957-10-08,Hablame de Amor,,Tango,Argentino Ledesma,Odeón,,,,Alfonso Casini,"Alfonso Casini, Oscar Roma",,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-11-14,Baldosa Floja,,Milonga,Argentino Ledesma,Odeón,,,,"Julio Boccazzi, Florindo Sassone",Dante Gilardoni,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-11-14,Pobre Mulatita,,Tango,Argentino Ledesma,Odeón,,,,José Montes,Roberto Mendoza,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-11-27,Llámame Amor Mío,,Tango,Argentino Ledesma,Odeón,,,,Miguel Ángel Pepe,Agustín Minotti,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1957-11-27,Que Seas Muy Feliz,Lita,Vals,Argentino Ledesma,Odeón,,,,Roberto Rufino,Alejandro Romay,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1958-03-21,Por Qué Dejé de Quererte,,Tango,Argentino Ledesma,Odeón,,,,Antonio Langelotti,Arnaldo Medialdea,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1958-03-21,Tomá la Llave,,Tango,Argentino Ledesma,Odeón,,,,Jorge Dragone,Mario Battistella,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1958-05-23,Encadenados,,Tango,Argentino Ledesma,Odeón,,,,Carlos Arturo Briz,Carlos Arturo Briz,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1958-05-23,Yo Tengo un Pecado Nuevo,,Tango,Argentino Ledesma,Odeón,,,,Mariano Mores,Alberto Laureano Martínez,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1958-07-23,La Misma Mentira,,Tango,Argentino Ledesma,Odeón,,,,Héctor Varela,Abel Aznar,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1958-07-23,Qué Será Corazón,,Tango,Argentino Ledesma,Odeón,,,,Jorge Dragone,Edgardo Blanco,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1958-08-29,Madre de los Cabellos de Plata,,Tango,Argentino Ledesma,Odeón,,,,Alejo Montoro,Juan Solano Pedrero,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1958-08-29,Y Así Nació Este Tango,Tango Vagabundo,Tango,Argentino Ledesma,Odeón,,,,Isaac Garcés,Isusi,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1958-11-18,Indiferente,,Vals,Argentino Ledesma,Odeón,,,,Jorge Dragone,Jorge Dragone,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1958-11-18,No Sueñes Más,,Tango,Argentino Ledesma,Odeón,,,,Juan Pablo Marín,Juan Pablo Marín,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma y su orquesta,1958-11-25,Todo Es Amor,,Tango,Argentino Ledesma,Odeón,,,,Leo Lipesker,Alejandro Romay,,,,,,,,,,,
Argentino Ledesma,Argentino Ledesma con acomp. de la Orquesta de Jorge Dragone,1958-11-25,Y No Puedo Comprender,,Tango,Argentino Ledesma,Odeón,,,,Enrique Alessio,Reinaldo Yiso,,,,,,,,,,,
