Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Acuerdate de Mi,,Mazurca,Instrumental,Atlanta,Acoustic,,893,Juan Canavesi,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Buon Vicenzo,,Tango,Instrumental,Atlanta,Acoustic,,910,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Cadena de Flores,,Vals,Instrumental,Atlanta,Acoustic,,896,Ezio Dall'Ovo,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Club Pentagrama,,Tango,Instrumental,Atlanta,Acoustic,,910,Alberico Spatola,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Don Pacifico,,Tango,Instrumental,Atlanta,Acoustic,,867,Arturo Vicente de Bassi,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Apache,,Tango,Instrumental,Atlanta,Acoustic,,911,Mauricio Mignot,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Apache Porteño,,Tango,Instrumental,Atlanta,Acoustic,,912,Arturo Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Bacilo,,Tango,Instrumental,Atlanta,Acoustic,,909,Alberico Spatola,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Cabure,,Tango,Instrumental,Atlanta,Acoustic,,866,Arturo Vicente de Bassi,Roberto Lino Cayol,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Carnet y las Señoras,,Schottisch,Instrumental,Atlanta,Acoustic,,895,Ezio Dall'Ovo,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Chinero,,Tango,Instrumental,Atlanta,Acoustic,,869,Arturo Vicente de Bassi,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Conquistador,,Tango,Instrumental,Atlanta,Acoustic,,869,Arturo Vicente de Bassi,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Forastero,,Tango,Instrumental,Atlanta,Acoustic,906z,842,Agustin Bardi,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Indiscreto,,Tango,Instrumental,Atlanta,Acoustic,,914,Alberico Spatola,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El... Me Gusta,,Polca,Instrumental,Atlanta,Acoustic,884z,840,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Orejudo,,Tango,Instrumental,Atlanta,Acoustic,,913,Luis Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,El Rezagao,,Tango,Instrumental,Atlanta,Acoustic,,843,Agustin Bardi,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,La Chicharra,,Polca,Instrumental,Atlanta,Acoustic,,866,G. Jose Citanna,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,La Cosquillosa,,Tango,Instrumental,Atlanta,Acoustic,912z,892,Bernardo Francisco Scalea,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,La Entrerriana,,Zamacueca,Instrumental,Atlanta,Acoustic,998z,897,Silvestre Arturo Carelli,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,La Petisa,,Tango,Instrumental,Atlanta,Acoustic,,913,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,La Redomona y el Pichinango,,Chacarera,Instrumental,Atlanta,Acoustic,997z,897,Silvestre Arturo Carelli,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Mi Delirio,,Skating,Instrumental,Atlanta,Acoustic,,893,Mauricio Mignot,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Mirandote,,Schottisch,Instrumental,Atlanta,Acoustic,871z,842,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Mundo Bribon,,Two Step,Instrumental,Atlanta,Acoustic,936z,892,G. Jose Citanna,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,No Hay Partido sin Revancha,,Tango,Instrumental,Atlanta,Acoustic,883z,839,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,No Puedo Mas,,Schottisch,Instrumental,Atlanta,Acoustic,930z,841,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Nostalgia,,Tango,Instrumental,Atlanta,Acoustic,,894,Arturo Vicente de Bassi,L. Gonzalez Calderon,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Novela Amorosa,,Vals,Instrumental,Atlanta,Acoustic,,895,Ezio Dall'Ovo,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Pa' las Suegras,,Tango,Instrumental,Atlanta,Acoustic,1020z,909,Mauricio Mignot,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Parrita,,Tango,Instrumental,Atlanta,Acoustic,900z,840,Pedro Miramonte,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Pastora,,Polca,Instrumental,Atlanta,Acoustic,,865,G. Jose Citanna,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Pensando en Ti,,Vals,Instrumental,Atlanta,Acoustic,880z,839,Vicente Pepe,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Polca de las Damas,,Polca,Instrumental,Atlanta,Acoustic,,867,Mateo Sammartino,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Queridas Memorias,,Mazurca,Instrumental,Atlanta,Acoustic,,894,G. Jose Citanna,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Quo Vadis?,,Schottisch,Instrumental,Atlanta,Acoustic,,896,Ezio Dall'Ovo,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Region Campera,,Tango,Instrumental,Atlanta,Acoustic,870z,843,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Rosarina,,Polca,Instrumental,Atlanta,Acoustic,,912,Arturo Hernan Bernstein,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Secret D'amour,,Vals,Instrumental,Atlanta,Acoustic,,911,G. Jose Citanna,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Tarantella Nº 1,,Tarantella,Instrumental,Atlanta,Acoustic,869z,841,Vicente Pepe,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Tarantella Nº 6,,Tarantella,Instrumental,Atlanta,Acoustic,,865,Vicente Pepe,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1913,Zanzur,,Two Step,Instrumental,Atlanta,Acoustic,,868,G. Jose Citanna,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1915,Idilio Campestre,,Tango,Instrumental,Atlanta,Acoustic,16,3009,Pedro Miramonte,,,,,,,,,,,,
Arturo Bernstein,"Quinteto Criollo ""El Aleman""",1915,Mañana de Mañanita,,Chacarera,Instrumental,Atlanta,Acoustic,18,3009,Andres Chazarreta-Rene Ruiz-Alberto Hilarion Acuña,,,,,,,,,,,,
