Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,13,,Tango,Instrumental,Atlanta,Acoustic,3,3003,Alberico Spatola,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,14,,Tango,Instrumental,Atlanta,Acoustic,7,3004,Alberico Spatola,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,15,,Tango,Instrumental,Atlanta,Acoustic,12,3005,Alberico Spatola,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,Expresion Campera,,Tango,Instrumental,Atlanta,Acoustic,6,3008,Jose Martinez,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,Kiko,,Tango,Instrumental,Atlanta,Acoustic,17,3003,Augusto Gentile,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,La Borrega,,Tango,Instrumental,Atlanta,Acoustic,15,3004,Augusto Gentile,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,La Llamada,,Tango,Instrumental,Atlanta,Acoustic,13,3005,Francisco Canaro,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,Matasano,,Tango,Instrumental,Atlanta,Acoustic,14,3006,Francisco Canaro,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1915,Tinta Verde,,Tango,Instrumental,Atlanta,Acoustic,19,3006,Agustin Bardi,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Bob,,,Instrumental,Atlanta,Acoustic,73,3071,,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Cruz Diablo,,Tango,Instrumental,Atlanta,Acoustic,39,3052,,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Destiny,,Vals,Instrumental,Atlanta,Acoustic,69,3071,Sydney Baynes,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,El Estagiario,,Tango,Instrumental,Atlanta,Acoustic,12,3048,Martin Lasala Alvarez,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,El Pollo Ricardo,,Tango,Instrumental,Atlanta,Acoustic,67,3089,Luis Alberto Fernandez,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,El Soldadito,,Two Step,Instrumental,Atlanta,Acoustic,74,3073,,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Gallo Ciego,,Tango,Instrumental,Atlanta,Acoustic,43z,3052,Agustin Bardi,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Geraldine,,Vals Hesitation,Instrumental,Atlanta,Acoustic,71,3073,Lodge,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,I'm Only Dreaming,,One Step,Instrumental,Atlanta,Acoustic,72,3072,Rudolph Friml,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Lo que Esta Bien... Ta Bien!,,Tango,Instrumental,Atlanta,Acoustic,11,3048,Roberto Firpo,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Overo Rosao,,Tango,Instrumental,Atlanta,Acoustic,95,3089,Augusto Gentile,,,,,,,,,,,,
Astor Bolognini,"Quinteto Criollo ""Bolognini""",1917,Sans Souci,,Tango,Instrumental,Atlanta,Acoustic,70,3072,Enrique Pedro Delfino,,,,,,,,,,,,
