Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-05-19,Corrientes y Esmeralda,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Francisco Pracánico,Celedonio Flores,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-05-19,Si Se Salva el Pibe,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Francisco Pracánico,Celedonio Flores,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-06-07,Diez Años Pasan,,Tango,Francisco Fiorentino,Odeón,78rpm,,,José Razzano,Cátulo Castillo,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-06-07,Nos Encontramos Al Pasar,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Raúl Kaplún,José Suñé,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-07-19,Cotorrita de la Suerte,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Alfredo De Franco,José De Grandis,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-07-19,Rosa de Otoño,,Vals,Francisco Fiorentino,Odeón,78rpm,,,Guillermo Barbieri,José Rial,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-07-30,En las Noches,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Francisco Fiorentino,Enrique Cadícamo,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-07-30,El Silbido,La Chiflada,Tango,Francisco Fiorentino,Odeón,78rpm,,,Anselmo Aieta,,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-09-25,Seis Días,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Manuel Sucher,Carlos Bahr,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-09-25,Soy una Fiera,,Milonga,Francisco Fiorentino,Odeón,78rpm,,,Francisco Martino,,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-10-16,Fruta Amarga,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Hugo Gutiérrez,Homero Manzi,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-10-16,María,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Aníbal Troilo,Cátulo Castillo,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-11-23,Dolor de Tango,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Carlos Viván,Yaraví,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-11-23,Oro Falso,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Virgilio Expósito,,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-12-19,Amigasos,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Juan De Dios Filiberto,Francisco Brancatti,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1945-11-23,Color de Rosa,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Antonio Polito,,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-01-10,El Trovero,Yo Te Imploro,Vals,Francisco Fiorentino,Odeón,78rpm,,,Agustín Irusta,Rafael Tuegols,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-01-10,Viejo Ciego,,Tango,Francisco Fiorentino,Odeón,78rpm,,,"Sebastián Piana, Cátulo Castillo, Homero Manzi",,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-01-30,Burbujas,,Tango,Francisco Fiorentino,Odeón,78rpm,,,"Carlos Figari, Cátulo Castillo",,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-01-30,Quién Te Ha Traído,,Tango,Francisco Fiorentino,Odeón,78rpm,,,"Francisco Fiorentino, Astor Piazzolla, Victorino Velázquez",,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-03-20,De Vuelta Al Bulín,,Tango,Francisco Fiorentino,Odeón,78rpm,,,José Martínez,Pascual Contursi,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-03-20,Volvió una Noche,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Carlos Gardel,Alfredo Le Pera,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-05-21,En Carne Propia,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Manuel Sucher,Carlos Bahr,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Fiorentino y su Orquesta Típica,1946-05-21,Otros Tiempos y Otros Hombres,,Tango,Francisco Fiorentino,Odeón,78rpm,,,Ciriaco Ortiz,Enrique Cadícamo,Astor Piazzolla,,Carlos Figari,Pepe Díaz,"Astor Piazzolla, Ángel Genta, Roberto Di Filippo, Fernando Tell","Hugo Baralis, Ernesto Gianni, Juan Bibiloni, Oscar Lucero, Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Astor Piazzolla,Astor Piazzolla y su Orquesta Típica,1946-09-22,El Recodo,,Milonga,Instrumental,Odeón,78rpm,,,Alejandro Junnissi,,Astor Piazzolla,,Atilio Stampone,Valentín Andreotta,"Astor Piazzolla, Roberto Di Filippo, Isidoro Sallago, Vicente Toppi","Hugo Baralis, Andrés Rivas, Rodolfo Fernández, Victorio Casagrande (Viola), Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 3 Violins, Viola, Cello"
Astor Piazzolla,Astor Piazzolla y su Orquesta Típica,1946-09-22,Solo Se Quiere una Vez,,Tango,Aldo Campoamor,Odeón,78rpm,,,Carlos Flores,Claudio Frollo,Astor Piazzolla,,Atilio Stampone,Valentín Andreotta,"Astor Piazzolla, Roberto Di Filippo, Isidoro Sallago, Vicente Toppi","Hugo Baralis, Andrés Rivas, Rodolfo Fernández, Victorio Casagrande (Viola), Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 3 Violins, Viola, Cello"
Astor Piazzolla,Astor Piazzolla y su Orquesta Típica,1946-10-07,Orgullo Criollo,,Tango,Instrumental,Odeón,78rpm,,,Julio De Caro,Pedro Laurenz,Astor Piazzolla,,Atilio Stampone,Valentín Andreotta,"Astor Piazzolla, Roberto Di Filippo, Isidoro Sallago, Vicente Toppi","Hugo Baralis, Andrés Rivas, Rodolfo Fernández, Victorio Casagrande (Viola), Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 3 Violins, Viola, Cello"
Astor Piazzolla,Astor Piazzolla y su Orquesta Típica,1946-10-07,Adiós Marineros,,Tango,Aldo Campoamor y Héctor Insúa,Odeón,78rpm,,,Arturo Gallucci,Reinaldo Yiso,Astor Piazzolla,,Atilio Stampone,Valentín Andreotta,"Astor Piazzolla, Roberto Di Filippo, Isidoro Sallago, Vicente Toppi","Hugo Baralis, Andrés Rivas, Rodolfo Fernández, Victorio Casagrande (Viola), Angel Molo (Cello)","Piano, Bass, 4 Bandoneons, 3 Violins, Viola, Cello"
