Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Augusto Berto,Quinteto Criollo,1912,Amores Privados,,Vals,,Atlanta,Acoustic,405z,194,Carlos J. Busnelli,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,El Fulero,,Tango,,Atlanta,Acoustic,406z,197,Ricardo Gonzalez,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,La Cocota,,Polca,,Atlanta,Acoustic,404z,193,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,La Porota,,Tango,,Atlanta,Acoustic,408z,195,Augusto Gentile,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,La Torcacita,,Tango,,Atlanta,Acoustic,400z,193,Jose Martinez,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,Ladiate,,Tango,,Atlanta,Acoustic,402z,196,Carlos Macchi,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,Penas de Amor,,Vals,,Atlanta,Acoustic,,194,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,Que Dique!,,Tango,,Atlanta,Acoustic,401z,196,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,Reponse a L'amoreuse,,Vals,,Atlanta,Acoustic,,195,Rodolfo Berger,,,,,,,,,,,,
Augusto Berto,Quinteto Criollo,1912,Sarmiento,,Marcha Polca,,Atlanta,Acoustic,407z,197,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,43,,Tango,,Atlanta,Acoustic,838z,790,E. Boedo,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Aflojale que Colea,,Tango,,Atlanta,Acoustic,,804,Oreste Metetieri,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Amelia,,Mazurca,,Atlanta,Acoustic,782z,738,Bernardo Francisco Scalea,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Amor Puro,,Vals,,Atlanta,Acoustic,,752,Pedro Sofia,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Angelita,,Polca,,Atlanta,Acoustic,915?z,830,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,As de Bastos,,Tango,,Atlanta,Acoustic,,741,Jose Guarelo,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,As de Copas,,Tango Criollo,,Atlanta,Acoustic,,742,Jose Guarelo,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,As de Espadas,,Tango Criollo,,Atlanta,Acoustic,782z,742,Jose Guarelo,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,As de Oro,,Tango,,Atlanta,Acoustic,,741,Jose Guarelo,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Asi Fue,,Tango,,Atlanta,Acoustic,767z,790,Jose Dionisio Fuster,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Ausencia,,Mazurca,,Atlanta,Acoustic,,792,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Azucena,,Tango,,Atlanta,Acoustic,,831,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Balparda,,Tango,,Atlanta,Acoustic,,793,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Besos de Amor,,Vals,,Atlanta,Acoustic,,863,Domingo Branda,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Bordoniando,,Tango,,Atlanta,Acoustic,,798,Pedro Sofia,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Cabaña Laura,,Polca Marcha,,Atlanta,Acoustic,721z,736,Mateo Sammartino,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Celestina,,Mazurca,,Atlanta,Acoustic,,838,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Charito,,Vals,,Atlanta,Acoustic,,737,Domingo Branda,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Como Brilla!,,Tango,,Atlanta,Acoustic,670z,735,Samuel Castriota,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Como Quiera,,Tango,,Atlanta,Acoustic,,788,Samuel Castriota,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,Corazon de Madre,,Vals,,Atlanta,Acoustic,,789,Augusto Pedro Berto,,,,,,,,,,,,
Augusto Berto,"Quinteto Criollo ""Augusto""",1913,De Pura Yerba,,Tango,,Atlanta,Acoustic,,797,Augusto Pedro Berto,,,,,,,,,,,,
