Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Azucena Maizani,Orquesta Típica Francisco Canaro,1923,Padre Nuestro,,Tango,Azucena Maizani,Odeón,Acoustic,1637,11001 B,Enrique Delfino,Alberto Vaccarezza,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1923,Yo Tuve un Cariño,,Tango,Azucena Maizani,Odeón,Acoustic,1636,11001 A,Ricardo Hicken,,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Cascabelito,,Tango,Azucena Maizani,Odeón,Acoustic,1916,11002 B,José Bohr,Juan Andrés Caruso,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,China Ingrata,,Vals,Azucena Maizani,Odeón,Acoustic,2456,11015 B,Francisco Canaro,Juan Andrés Caruso,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,China Ingrata,,Vals,Azucena Maizani,Odeón,Acoustic,2456-1,11015 B,Francisco Canaro,Juan Andrés Caruso,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Chrysantheme,,Shimmy,Azucena Maizani,Odeón,Acoustic,2123,11008 A,Adolfo Avilés,Viera,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,El Besito,,Tango,Azucena Maizani,Odeón,Acoustic,2029,Inedita,Juan de Dios Filiberto,Gabino Coria Peñaloza,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,El Besito,,Tango,Azucena Maizani,Odeón,Acoustic,2029-1,Inedita,Juan de Dios Filiberto,Gabino Coria Peñaloza,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,La Cabeza del Italiano,,Tango,Azucena Maizani,Odeón,Acoustic,1918,11003 A,Antonio Scatasso,Francisco Antonio Bastardi,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,La Mina del Ford,,Tango,Azucena Maizani,Odeón,Acoustic,2338,11010 A,"Antonio Scatasso, Fidel Del Negro",Pascual Contursi,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,La Sulamita,,Shimmy,Azucena Maizani,Odeón,Acoustic,1915,11006 B,Francisco Canaro,Juan Andrés Caruso,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Mala,,Tango,Azucena Maizani,Odeón,Acoustic,2457,11011 B,"Emilio Iribarne, Víctor Troysi",Juan Andrés Caruso,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Mano Mora,,Tango,Azucena Maizani,Odeón,Acoustic,2459,11012 B,Luis Teisseire,Pedro Lloret,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Melodía de Amor,,Shimmy,Azucena Maizani,Odeón,Acoustic,2028,11004 B,"José Bohr, Lucio Demare",C. Millán,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Mi Rosal Ha Florecido,,Zamba,Azucena Maizani,Odeón,Acoustic,2125,11009 A,Daniel Cauvilla Prim,Neira,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Mía,,Tango,Azucena Maizani,Odeón,Acoustic,2069,11007 A,José Bohr,Juan Andrés Caruso,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Muchachita Loca,,Tango,Azucena Maizani,Odeón,Acoustic,1919,11003 B,Antonio Scatasso,Francisco Antonio Bastardi,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,No Sé Porqué,,Zamba,Azucena Maizani,Odeón,Acoustic,2106,11008 B,José Bohr,,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Qué Será,,Zamba,Azucena Maizani,Odeón,Acoustic,2336,11011 A,Elio Rietti,,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Volvé Negro,,Tango,Azucena Maizani,Odeón,Acoustic,2104,11007 B,Azucena Maizani,Francisco Antonio Bastardi,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1924,Zazá,,Shimmy,Azucena Maizani,Odeón,Acoustic,2070,11005 B,René de Buxeuil,,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1925,Acuarelita de Arrabal,,Tango,Azucena Maizani,Odeón,Acoustic,2883,11016 B,Cátulo Castillo,José González Castillo,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1925,"Ay, Zamba",,Zamba,Azucena Maizani,Odeón,Acoustic,2928,11017 A,Juan de Dios Filiberto,Puigdengolas,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1925,Callecita de Mi Barrio,,Tango,Azucena Maizani,Odeón,Acoustic,3163,11021 A,"Alberto Laporte, Otelo Gasparini",Enrique Maroni,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1925,El Alma del Cotorro,,Tango,Azucena Maizani,Odeón,Acoustic,3197,11023 A,Guido Vanzina Pacheco,Lix Fe,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1925,La Nieve,,Yaraví,Azucena Maizani,Odeón,Acoustic,2929,11017 B / 11025 B,Félix Scolatti Almeyda,,,,,,,,,,,,
Azucena Maizani,Orquesta Típica Francisco Canaro,1925,Organito de la Tarde,,Tango,Azucena Maizani,Odeón,Acoustic,2664,Inedita,Cátulo Castillo,José González Castillo,,,,,,,,,,,
