Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Bajofondo,Bajofondo Tango Club,2002-12-10,Montserrat,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,En Mi / Soledad,En Mí,Tango,Instrumental,Surco Records,Digital,,,Astor Piazzolla; Juan Campodónico,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Los Tangueros,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Mi Corazón,,Tango,Adriana Varela,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Maroma,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Perfume,,Tango,Adriana Varela,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Vacío,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Esperándote,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Naranjo en Flor,,Tango,,Surco Records,Digital,,,Virgilio Expósito,Homero Expósito,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Bruma,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Éxodo II,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Duro y Parejo,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Forma,,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,El Sonido de la Milonga,,Milonga,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Av. de Mayo,Avenida de Mayo,Tango,Instrumental,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club,2002-12-10,Ese Cielo Azul,,Tango,,Surco Records,Digital,,,,,,2002 Bajofondo Tango Club,,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,No Quiero Otro,,Tango,Instrumental,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Decollage,,Tango,Instrumental,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Centroja,,Tango,,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Fandango,,Tango,Instrumental,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,3000 Ans,,Tango,,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Miles de Pasajeros,,Tango,,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Perfume,,Tango,Adriana Varela,Surco Records,Digital,,,,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Mateo y Cabrera,,Tango,,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Air Concert,,Tango,Instrumental,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,"Leonel, el Feo",,Tango,Instrumental,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Ese Cielo Azul,,Tango,,Surco Records,Digital,,,,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Pulso (1000 Mares),,Tango,,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Tangodrome,,Tango,Instrumental,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,Forma,,Tango,Instrumental,Surco Records,Digital,,,,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo Tango Club presenta Supervielle,2004,332,,Tango,Instrumental,Surco Records,Digital,,,Luciano Supervielle,,,2004 Supervielle,Luciano Supervielle,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Grand Guignol,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Cristal,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Ya No Duele,,Tango,Fernando Santullo,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Hoy,,Tango,Juan Subirá,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Pa' Bailar,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,Ryōta Komatsu,,,,,,
Bajofondo,Bajofondo,2007-09-03,Pulmón,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Fairly Right,,Tango,Elvis Costello,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,El Mareo,,Tango,Gustavo Cerati,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,El Andén,,Tango,Mala Rodríguez,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Infiltrado,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Borges y Paraguay,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Tuve Sol,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,No Pregunto Cuántos Son,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Slippery Sidewalks,,Tango,Nelly Furtado,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Zitarrosa,,Tango,Instrumental,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
Bajofondo,Bajofondo,2007-09-03,Chiquilines,,Tango,Lágrima Ríos,Surco Records,Digital,,,,,,2007 Mar Dulce,,,,,,,,,
