Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Angustia,,Tango,"Pettorossi, Raggi",Odeón,,KI 980,74.357,Horacio Pettorossi,Horacio Pettorossi,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Congojas,,Tango,Juan Raggi,Columbia,,C 7-1,D 2019,Eduardo Bianco,,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Cuando Tú Me Quieras,,Tango,Asprella,Odeón,,KI 1497x,165.239 A,"Julio Fava Pollero, Agesilao Ferrazzano",Francisco Bohigas,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Désillusion,,Tango,Juan Raggi,Columbia,,C 6-2,D 2019,Eduardo Bianco,,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Fea,,Tango,Instrumental,Odeón,,KL 979,74.356,Alberto Pettorossi,Alfredo Navarrine,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,La Rayuela,,Tango,Instrumental,Odeón,,KI 1498x,165.239 B,Julio De Caro,,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Lo Han Visto con Otra...,,Tango,Teresa Asprella,Odeón,,KI 1499,165 240,Horacio Pettorossi,Horacio Pettorossi,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Negro,,Tango,Instrumental,Odeón,,KI 1.190,165.100 A,Adolfo Antonio María Mondino,Víctor Soliño,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,No Te Quiero Mas,,Tango,César Alberu,Odeón,,KI 1371x,165.198,J F Bauer,J F Bauer,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,,Pato,,Tango,Instrumental,Odeón,,KI 1381x,165.201 A,Ramón Collazo,Ramón Collazo,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Perjura,,Tango,Instrumental,Odeón,,KI 1.191,165.100 B,Eduardo Bianco,,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,,Primavera,,Tango,Instrumental,Odeón,,KI 1380 x,165.201 B,Eduardo Bianco,,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,,Samitier,,Tango,Instrumental,Odeón,,KI 1369x,165.198,Bachicha,,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,,Siempre,,Tango,Instrumental,Odeón,,KI 1186x,165.098,Eduardo Bianco,,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,1926-10-23,Crépuscule,,Tango,"Eduardo Bianco, J Raggi",Odeón,Acoustic,KI 975,74 352,Eduardo Bianco,Eduardo Bianco,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha.,1926-10-23,Désillusion,,Tango,Juan Raggi,Odeón,Acoustic,KI 978,74 355,Eduardo Bianco,,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,1926-10-23,La Yeguesita,,Tango,"Bachicha, Mario Melfi",Odeón,Acoustic,KI 976,74 354,Bachicha,,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,1926-10-23,Vidalita,,Tango,Juan Raggi,Odeón,Acoustic,KI 977,74 353,Bachicha,Julio Navarrine,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha.,1926-12-03,Congojas,,Tango,Juan Raggi,Odeón,78rpm,KI 985,165 002,Eduardo Bianco,,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,1927,A Media Luz,,Tango,Cesar Alberu,Odeón,78rpm,KI 1370.1,165 200,Edgardo Donato,"Carlos César Lenzi, Pierre Chaffange",,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,1927,Angustia,,Tango,"Eduardo Bianco, Horacio Pettorossi",Odeón,78rpm,KI 1195,165 102 B,Horacio Pettorossi,Horacio Pettorossi,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,1927-04-22,Crépuscule,,Tango,"Raggi, Bianco",Odeón,78rpm,KI 1195,165 102 B,Eduardo Bianco,Eduardo Bianco,,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,1927-04-22,Paso Lento,,Tango,Instrumental,Odeón,78rpm,KI-1194/1,165.101. B,Mario Melfi,,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,1927-04-22,Plegaria,,Tango,Juan Raggi,Odeón,78rpm,KI 1187.2,165.098,Eduardo Bianco,Eduardo Bianco,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,1928,Bandoneón Arrabalero,,Tango,Juan Raggi,Odeón,78rpm,SO 4.715,165.365,Juan Bautista (Bachicha) Deambroggio,"Pascual Contursi, Jean Roder",,,,,,,,,,,
Bianco-Bachicha,Bianco- Bachicha,1928,Esclavas Blancas,,Tango,Teresa Asprella,Odeón,78rpm,KI 1503,165 240,Horacio Pettorossi,,,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,1928,La Cumparsita,,Tango,Instrumental,Odeón,78rpm,1507-1,165 242,Gerardo Hernán Matos Rodríguez,"Matos Rodriguez, Pascual Contursi, Enrique P Maroni",,,,,,,,,,,
Bianco-Bachicha,Orchestre Argentin Bianco-Bachicha,1928,Tanita de la Proa,,Tango,Juan Raggi,Odeón,78rpm,SO 4.706,165.365,Salvador Merico,Vicente Martinez Cuitaño,,,,,,,,,,,
