Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Carlos Di Sarli,Sexteto Di Sarli,11/26/1928,La Guitarrita,,Tango,Instrumental,Víctor,78rpm,44387,47003,Eduardo Arolas,Gabriel Clausi,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","José Pécora, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,B,1928-11-26_La-Guitarrita_Sarli
Carlos Di Sarli,Sexteto Di Sarli,11/26/1928,T.B.C.,,Tango,Instrumental,Víctor,78rpm,44386,47003,Ascanio Donato,"Roberto Fontaina, Víctor Soliño",,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","José Pécora, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,A,1928-11-26_T-B-C_Sarli
Carlos Di Sarli,Sexteto Di Sarli,1/8/1929,Arlequín,,Tango,Instrumental,Víctor,78rpm,44421,47020,Pedro Vérgez,Mario Battistella,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,B,1929-01-08_Arlequin_Sarli
Carlos Di Sarli,Sexteto Di Sarli,1/8/1929,Ufa Qué Secante,,Tango,Instrumental,Víctor,78rpm,44420,47020,Manuel Buzón,Celedonio Flores,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,A,1929-01-08_Ufa-Que-Secante_Sarli
Carlos Di Sarli,Sexteto Di Sarli,3/1/1929,Cuando Bronca el Temporal,,Tango,Instrumental,Víctor,78rpm,44447,47033,Gerardo Rodríguez,Ernesto Marsili,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,B,1929-03-01_Cuando-Bronca-El-Temporal_Sarli
Carlos Di Sarli,Sexteto Di Sarli,3/1/1929,Soy un Arlequín,,Tango,Instrumental,Víctor,78rpm,44446,47033,Enrique Discépolo,Enrique Discépolo,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,A,1929-03-01_Soy-Un-Arlequin_Sarli
Carlos Di Sarli,Sexteto Di Sarli,3/27/1929,Carnaval de Antaño,,Tango,Instrumental,Víctor,78rpm,44488,47054,Sebastián Piana,Manuel Romero,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,A,1929-03-27_Carnaval-De-Antano_Sarli
Carlos Di Sarli,Sexteto Di Sarli,3/27/1929,Un Lamento,,Tango,Instrumental,Víctor,78rpm,44489,47054,Graciano De Leone,Pedro C.,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,B,1929-03-27_Un-Lamento_Sarli
Carlos Di Sarli,Sexteto Di Sarli,7/11/1929,El Paladín,,Tango,Instrumental,Víctor,78rpm,44645,47138,Agustín Bardi,,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,,1929-07-11_El-Paladin_Sarli
Carlos Di Sarli,Sexteto Di Sarli,7/11/1929,Sos una Fiera,,Tango,Roberto Deirene,Víctor,78rpm,44644,47138,José Laina,"Roberto Fontaina, Víctor Seminario",,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,A,1929-07-11_Sos-Una-Fiera_Sarli
Carlos Di Sarli,Sexteto Di Sarli,7/11/1929,Sos una Fiera,,Tango,Instrumental,Víctor,78rpm,44644,47138,José Laina,"Roberto Fontaina, Víctor Seminario",,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,B,1929-07-11_Sos-Una-Fiera_Sarli
Carlos Di Sarli,Sexteto Di Sarli,8/14/1929,Flor Marchita,,Tango,Instrumental,Víctor,78rpm,44704,47156,Juan Feliú,Carlos Lopettini,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,A,1929-08-14_Flor-Marchita_Sarli
Carlos Di Sarli,Sexteto Di Sarli,8/14/1929,Mi Pibe,La Chance,Tango,Instrumental,Víctor,78rpm,44705,47156,Enrique Delfino,Manuel Romero,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,B,1929-08-14_Mi-Pibe_Sarli
Carlos Di Sarli,Sexteto Di Sarli,10/9/1929,Barrilete,,Tango,Instrumental,Víctor,78rpm,44837,47205,Alfonso Lacueva,,,28-31 Sexteto,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle","Piano, Bass, 2 Bandoneons, 2 Violins",Single,28-31 Sexteto,A,1929-10-09_Barrilete_Sarli
