Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-04-25,La Cumparsita,,Tango,Instrumental,Victor,,,,Gerardo Matos Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Matos Rodríguez",,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-04-25,La Milonga Azul,,Tango,Instrumental,Victor,,,,Gerardo Matos Rodríguez,,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-06-13,Criolla Linda,,Tango,Instrumental,Victor,,,,"Vicente Gorrese, Bernardo Germino",Luis Rubistein,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-06-13,Sueño Florido,,Vals,Instrumental,Victor,,,,Roberto Firpo,,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-08-02,"Disfrazate, Muchachita",,Tango,Instrumental,Victor,,,,Armando Suárez,Lito Más,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-08-02,La Tablada,,Tango,Instrumental,Victor,,,,Francisco Canaro,,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-08-05,Bendición,,Tango,Instrumental,Victor,,,,"Federico Scorticati, Pascual Storti",,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-08-05,Victoria,,Tango,Luis Díaz,Victor,,,,Enrique Santos Discépolo,Enrique Santos Discépolo,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-09-21,Arrabal,,Tango,Instrumental,Victor,,,,Hugo Galli,Carlos Deamici,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-09-21,Rezongona,,Tango,Instrumental,Victor,,,,"José Pedro de Grandis, Alcides Palavecino","José Pedro de Grandis, Alcides Palavecino",,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
Cayetano Puglisi,Cayetano Puglisi y su Sexteto Típico,1929-09-26,Así Es la Vida,,Tango,Instrumental,Victor,,,,N. C. Menvielle,,,,Armando Federico,José Puglisi,"Federico Scorticati, Horacio Golino","Cayetano Puglisi, Mauricio Misé","Piano, Bass, 2 Bandoneons, 2 Violins",,,,
