Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-04-22,Didí,,Tango,Instrumental,Victor,Acoustic,B-15926/1,67602 B,Roberto Firpo,,,,,,,,"2 violins, flute, accordion, and piano",,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-04-22,El Inquieto,,Tango,Instrumental,Victor,Acoustic,B-15928/1,67603 A,Francisco Lomuto,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-04-22,Marejada,,Tango,Instrumental,Victor,Acoustic,B-15933/1,67607,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-04-22,Matasano,,Tango,Instrumental,Victor,Acoustic,B-15929/1,67611 B,Francisco Canaro,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-04-22,Una Partida,,Tango,Instrumental,Victor,Acoustic,B-15931/1,67602 A,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-06-25,Alma de Bohemio,,Tango,Instrumental,Victor,Acoustic,B-16133/1,67608,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-06-25,De Mi Flor,,Tango,Instrumental,Victor,Acoustic,B-15927/2,67605 B,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-06-25,El Bisturí,,Tango,Instrumental,Victor,Acoustic,B-16134/1,67608,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-06-25,¡Meta Nomás!,,Tango,Instrumental,Victor,Acoustic,B-16140/1,67600 B,Manuel Lema,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-06-25,Sentimiento Criollo,,Tango,Instrumental,Victor,Acoustic,B-15930/2,67610,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-09,Curda Completa,,Tango,Instrumental,Victor,Acoustic,B-16132/2,67609 B,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-09,El Apronte,,Tango,Instrumental,Victor,Acoustic,B-16193/1,67607,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-09,El Gallito,,Tango,Instrumental,Victor,Acoustic,B-16192/1,67610,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-09,El Pollito,,Tango,Instrumental,Victor,Acoustic,B-15925/3,67611 A,Francisco Canaro,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-09,La Rezongona,,Tango,Instrumental,Victor,Acoustic,B-15934/3,67603 B,Francisco Lomuto,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-09,Los Guevara,,Tango,Instrumental,Victor,Acoustic,B-15936/3,67605 A,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-09,Noche de Farra,,Tango,Instrumental,Victor,Acoustic,B-15935/3,67609 A,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-16,De Madrugada,,Tango,Instrumental,Victor,Acoustic,B-16211/1,67606,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-16,Indiecita,,Tango,Instrumental,Victor,Acoustic,B-16139/3,67604,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-16,Mi Vida,,Vals,Instrumental,Victor,Acoustic,B-16213/1,67604,Francisco Lomuto,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-16,Recordando el Pasado,,Vals,Instrumental,Victor,Acoustic,B-16214/1,67601,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-07-16,Toda la Vida,,Tango,Instrumental,Victor,Acoustic,B-15932/5,67601,Roberto Firpo,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-10-13,Amé con Delirio,,Mazurca,Instrumental,Victor,Acoustic,B-16657/1,67689 B,C. Donnauro,,,,,,,,,,,,
Celestino Ferrer,Orquesta Argentina de Ferrer,1915-10-13,Clínicas,,Tango,Instrumental,Victor,Acoustic,B-16655/1,67689 A,Alberto López Buchardo,,,,,,,,,,,,
