Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Charlo,Charlo con Guitarras,1925,Adiós,,Tango,Charlo,Electra,Acoustic,642,258,Charlo,,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,Añoranzas,,Tango,Charlo,Electra,Acoustic,624,256,Luis Petrucelli,Daniel López Barreto,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,Buen Amigo,,Tango,Charlo,Electra,Acoustic,620,251,Julio de Caro,Juan Carlos Marambio Catán,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,Callecita de Mi Barrio,,Tango,Charlo,Electra,Acoustic,640,258,"Alberto Laporte, Otelo Gasparini",Enrique Maroni,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,Carlito,,Tango,Charlo,Electra,Acoustic,,257,Julio de Caro,Carlos Marambio Catán,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,Con Alma y Vida,,Tango,Charlo,Electra,Acoustic,614,252,Raúl Joaquín de los Hoyos,Emilio Augusto Oscar Fresedo,,,,,,"Vicente Spina, Miguel Correa",3 Guitars,,,,
Charlo,Charlo con Guitarras,1925,Cuyana Ingrata,,,Charlo,Electra,Acoustic,,260,Vicente Spina,Miguel Correa,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,El Abrojito,,Tango,Charlo,Electra,Acoustic,,255,Luis Bernstein,Jesús Fernández Blanco,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,El Cofrecito,,Tango,Charlo,Electra,Acoustic,,257,Ricardo S. Alfaro,Barros,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,El Matrero,,Estilo,Charlo,Electra,Acoustic,,253,Miguel Correa,,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,El Monito,,Tango,Charlo,Electra,Acoustic,,260,Julio de Caro,Juan Carlos Marambio Catán,,,,,,"Vicente Spina, Miguel Correa",,,,,
Charlo,Charlo con Guitarras,1925,El Último Cariño,,Tango,Charlo,Electra,Acoustic,,259,Alfredo Raúl Marengo,Barros,,,,,,"Vicente Spina, Miguel Correa",,,,,
