Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Color Tango,Color Tango,1990,Maypa,,Tango,Instrumental,,CD,,,Roberto Álvarez,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Meridional,,Tango,Instrumental,,CD,,,Víctor Lavallén,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Milonga Triste,,Milonga,Instrumental,,CD,,,Sebastián Piana,Homero Manzi,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,El Abrojito,,Tango,Instrumental,,CD,,,Luis Bernstein,Jesús Fernández Blanco,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Don Goyo,,Tango,Instrumental,,CD,,,Luis Bernstein,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Negracha,,Tango,Instrumental,,CD,,,Osvaldo Pugliese,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Camandulaje,,Tango,Instrumental,,CD,,,Alfredo Gobbi,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Sentimiento Gaucho,,Tango,Instrumental,,CD,,,Francisco Canaro; Rafael Canaro,Juan Andrés Caruso,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,A los Tríos Milongueros,,,Instrumental,,CD,,,Luis Spitalnik,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Contrapunto,,Tango,Instrumental,,CD,,,Emilio Balcarce,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Clavel Rojo,,Tango,Instrumental,,CD,,,Carel Kraayenhoff,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1990,Danzarín,,Tango,Instrumental,,CD,,,Julián Plaza,,,1990 Color Tango,,,,,,,,,
Color Tango,Color Tango,1994,Sentimiento Gaucho,,Tango,Instrumental,,CD,,,Francisco Canaro; Rafael Canaro,Juan Andrés Caruso,,1994 A Toda Orquesta,,,,,,,,,
Color Tango,Color Tango,1994,Meridional,,Tango,Instrumental,,CD,,,Víctor Lavallén,,,1994 A Toda Orquesta,,,,,,,,,
Color Tango,Color Tango,1994,Maypa,,Tango,Instrumental,,CD,,,Roberto Álvarez,,,1994 A Toda Orquesta,,,,,,,,,
Color Tango,Color Tango,1994,Don Goyo,,Tango,Instrumental,,CD,,,Luis Bernstein,,,1994 A Toda Orquesta,,,,,,,,,
Color Tango,Color Tango,1994,Negracha,,Tango,Instrumental,,CD,,,Osvaldo Pugliese,,,1994 A Toda Orquesta,,,,,,,,,
Color Tango,Color Tango,1994,Camandulaje,,Tango,Instrumental,,CD,,,Alfredo Gobbi,,,1994 A Toda Orquesta,,,,,,,,,
