Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Disk,Matrix,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Domingo Federico,Domingo Federico y su Trío Saludos,1958,Andrajos,,Tango,Rubén Maciel y Rubén Sánchez,Trío,Tape,,,Enrique Santos Discépolo,Alberto Laureano Martínez,,58-71 / Small Groups,,Miguel Sánchez,Domingo Federico,"José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)",Bandoneon
Domingo Federico,Orquesta Domingo Federico,1958,El Choclo,Kiss of Fire,Tango,Rubén Maciel y Rubén Sánchez,Trío,Tape,T-079 B,,Angel Villoldo,Enrique Santos Discépolo; Carlos Márambio Catán,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Domingo Federico y su Trío Saludos,1958,Orilla,,Milonga,Rubén Maciel y Rubén Sánchez,Trío,Tape,,,Domingo S. Federico; Prada,José Delgado,,58-71 / Small Groups,,Miguel Sánchez,Domingo Federico,"José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)",Bandoneon
Domingo Federico,Orquesta Domingo Federico,1958,Quiéreme,Te Esperaré,Tango,Rubén Sánchez,Trío,Tape,T-079 A,,D.R.,José Luaces,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Domingo Federico y su Trío Saludos,1958,Yuyo Verde,Callejón,Tango,Rubén Maciel y Rubén Sánchez,Trío,Tape,,,Domingo S. Federico,Homero A. Expósito,,58-71 / Small Groups,,Miguel Sánchez,Domingo Federico,"José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)",Bandoneon
Domingo Federico,Orquesta Domingo Federico,1960,Rodríguez Peña,Rodríguez Peña,Tango,instrumental,Víctor,Tape,,,Vicente Greco,Juan Velich,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1960,Yo Tengo Un Pecado Nuevo,,Tango,Rubén Maciel y Rubén Sánchez,Víctor,Tape,,,Mariano Mores,Alberto Laureano Martínez,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Domingo Federico (bandoneon),1960,La Canción del Jardín,,Vals,instrumental,Trío,Tape,,,Teddy Green; Pepe Chardi,,,58-71 / Small Groups,Abel Pizzicatti,Ernesto Deniel,Domingo Federico,Ricardo Francia (cello),"Piano, Bass, Bandoneon, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Cualquier Cosa,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Herminia Velich,Juan Miguel Velich,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,El Sueño Del Pibe,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Juan Puey,Reinaldo Yiso,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Frente A Una Copa,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Francisco Amor,Santiago Elías Wainer,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,La Casa Vacía,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Arturo Gallucci,Julio Jorge Nelson; Reinaldo Yiso,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Motivo Sentimental,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Emilio J. Brameri,Carlos Bahr,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Vos Y Yo Corazón,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Luis Stazo,Federico Silva,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Y No Llores Más,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Santiago Adamini; J. Calderón,Santiago Adamini,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1962,Ya No Vale la Pena,,Tango,Rubén Sánchez,Fuentes,Tape,134,(Colombia),Roberto Giménez; Angel Mayo,Roberto Giménez,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Al Compás de Tu Mentira,,Tango,Rubén Sánchez,Víctor,Tape,,,Rodolfo Sciammarella,Héctor Canziani,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Carta Brava,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Rosita Quiroga,Celedonio Flores,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Cualquier Cosa,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Herminia Velich,Juan Miguel Velich,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
Domingo Federico,Orquesta Domingo Federico,1965,Cómo Nos Cambian los Años,,Tango,Rubén Sánchez,Víctor,Tape,134,(Colombia),Armando Baliotti; Santiago Damini,Santiago Adamini,,58-65 / Later Orchestra,Osvaldo Fumale,Miguel Sánchez,"Domingo Federico, Heraldo Colombetti, Reinaldo Cassano, Víctor Piuma","José Eduardo Malaguarnera, Manuel Silveyra, Maximino Dante Alvarez (viola), Guido Nozzi (cello)","Piano, Bass, 4 Bandoneons, 2 Violins, Viola, Cello"
