Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1950,Lágrimas y Sonrisas,,Vals,Instrumental,Sondor,,,,Pascual De Gullo,Francisco Gullo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1951,"Adiós, Muchachos",,Tango,Carlos Roldán,Sondor,,,,Julio César Alberto Sanders,César Felipe Vedani,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1952,De Tardecita,,Tango,Nina Miranda,Sondor,,,,Nicolas Messuti,Carlos Álvarez Pintos,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1952,Gloria,,Tango,Nina Miranda,Sondor,,,,Humberto Canaro,Armando Tagini,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1952,Mano a Mano,,Tango,Carlos Roldán y Olga Delgrossi,Sondor,,,,"Carlos Gardel, José Razzano",Celedonio Flores,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1952,Re Fa Si,,Tango,Instrumental,Sondor,,,,Enrique Delfino,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1952-04-02,Lunes,,Tango,Instrumental,Sondor,,,,José Luis Padula,Francisco García Jiménez,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1952-04-16,Jueves,,Tango,Instrumental,Sondor,,,,"Rafael Rossi, Udelino Toranzo",,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1952-10-24,El Caburé,,Tango,Instrumental,Sondor,,,,Arturo De Bassi,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1953,Esta Noche Me Emborracho,,Tango,Carlos Roldán,Sondor,,,,Enrique Santos Discépolo,Enrique Santos Discépolo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1953,No Te Vayas Mascarita,,Tango,Carlos Roldán,Sondor,,,,Donato Racciatti,Carmelo Imperio,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1953,Venganza,,Tango,Nina Miranda,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1953,"Yira, Yira",,Tango,Carlos Roldán,Sondor,,,,Enrique Santos Discépolo,Enrique Santos Discépolo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1953-11-09,El Apache Argentino,,Tango,Instrumental,Sondor,,,,Manuel Gregorio Aróztegui,Arturo Mathon,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1953-12-16,Chiqué,,Tango,Instrumental,Sondor,,,,Ricardo Luis Brignolo,Ricardo Luis Brignolo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1954,Así Era Mi Barrio,,Tango,Víctor Ruiz,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1954,El Porteñito,,Milonga,Instrumental,Sondor,,,,Ángel Villoldo,"Carlos Pesce, Antonio Polito",,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1955,Fumando Espero,,Tango,Olga Delgrossi,Sondor,,,,Juan Viladomat Masanas,Felix Garzo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1955,Queriéndote,,Tango,Olga Delgrossi,Sondor,,,,Donato Racciatti,Enrique Soriano,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1955,Rodríguez Peña,,Tango,Instrumental,Sondor,,,,Vicente Greco,Ernesto Temes,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1956,Limosna de Amor,,Tango,Olga Delgrossi,Sondor,,,,Donato Racciatti,Enrique Soriano,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1956,Muchachos que Peinan Canas,,Tango,Víctor Ruiz,Sondor,,,,Donato Racciatti,Mario Rivero,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1956,Por la Misma Senda,,Tango,Carlos Roldán,Sondor,,,,Donato Racciatti,Mario Battistella,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1956,Sus Ojos Se Cerraron,,Tango,Olga Delgrossi,Sondor,,,,Carlos Gardel,Alfredo Le Pera,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1957,El Fin de Nuestro Amor,,Tango,Instrumental,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1957,Lindo Tiempo Aquel de Ayer,,Tango,Carlos Roldán,Sondor,,,,Donato Racciatti,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1957,Milonga del Uruguay,,Milonga,Instrumental,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1958,Cambalache,,Tango,Víctor Ruiz,Sondor,,,,Enrique Santos Discépolo,Enrique Santos Discépolo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1958-09-17,El Patriota,,Tango,Instrumental,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1958-09-17,"Hasta Siempre, Amor",,Tango,Olga Delgrossi,Sondor,,,,Donato Racciatti,Federico Silva,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1959,En Blanco y Negro,,Milonga,Víctor Ruiz,Sondor,,,,Néstor Feria,Fernando Silva Valdés,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1959-03-23,A Media Luz,,Tango,Instrumental,Sondor,,,,Edgardo Donato,Carlos César Lenzi,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1959-03-23,Champagne Tango,,Tango,Instrumental,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1959-03-23,El Choclo,,Tango,Instrumental,Sondor,,,,Ángel Villoldo,"Enrique Santos Discépolo, Juan Carlos Marambio Catán",,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1959-03-23,La Payanca,,Tango,Instrumental,Sondor,,,,Augusto Pedro Berto,Jesús Fernández Blanco,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1959-03-23,Rodríguez Peña,,Tango,Instrumental,Sondor,,,,Vicente Greco,Ernesto Temes,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1959-03-23,Tangueros del 900,,Tango,Instrumental,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,El Amor Es Siempre Amor,,Polca,Carlos Roldán,Sondor,,,,Donato Racciatti,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,La Cumparsita,,Tango,Instrumental,Sondor,,,,Gerardo Matos Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Matos Rodríguez",,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,No Quiero ni Acordarme,,Tango,Nina Miranda,Sondor,,,,"Donato Racciatti, Carlos Alberto Podesta García",Gerónimo Yorio,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,Papas Calientes,,Milonga,Instrumental,Sondor,,,,Eduardo Arolas,Héctor Polito,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,Por una Cabeza,,Tango,Carlos Roldán,Sondor,,,,Carlos Gardel,Alfredo Le Pera,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,Sin Estrellas,,Tango,Nina Miranda,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,Tu Corazón,,Tango,Nina Miranda,Sondor,,,,Donato Racciatti,Enrique Soriano,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1960,Vencida,,Tango,Nina Miranda,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1961-08-23,La Cumparsita,,Tango,Instrumental,Sondor,,,,Gerardo Matos Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Matos Rodríguez",,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1963-11-07,Maula,,Tango,Rita Marín,Sondor,,,,Adolfo Mondino,Víctor Soliño,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1963-11-07,Por la Vuelta,,Tango,Instrumental,Sondor,,,,José Tinelli,Enrique Cadícamo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1968,A la Gran Muñeca,,Tango,Instrumental,Sondor,,,,Jesús Ventura,Miguel Osés,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1968,Re Fa Si,,Tango,Instrumental,Sondor,,,,Enrique Delfino,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1968,Rodríguez Peña,,Tango,Instrumental,Sondor,,,,Vicente Greco,Ernesto Temes,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1970,Chiqué,,Tango,Instrumental,Sondor,,,,Ricardo Luis Brignolo,Ricardo Luis Brignolo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1970,Gallo Ciego,,Tango,Instrumental,Sondor,,,,Agustín Bardi,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1971,El Firulete,,Tango Milonga,Instrumental,Sondor,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1971,La Puñalada,,Milonga,Instrumental,Sondor,,,,Pintín Castellanos,Celedonio Flores,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1971,Milonga con Variaciones,,Tango,Instrumental,Sondor,,,,Francisco Canaro,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1972,El Once (a Divertirse),,Tango,Instrumental,Sondor,,,,Osvaldo Fresedo,Emilio Augusto Oscar Fresedo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1972,Lágrimas y Sonrisas,,Vals,Instrumental,Sondor,,,,Pascual De Gullo,Francisco Gullo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1972,Papas Calientes,,Milonga,Instrumental,Sondor,,,,Eduardo Arolas,Héctor Polito,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1973,Palomita Blanca,,Vals,Instrumental,Sondor,,,,Anselmo A. Aieta,Francisco García Jiménez,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,1984,Al Compás del Corazón,,Tango,Instrumental,Sondor,,,,Domingo Federico,Homero Expósito,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,A Media Luz,,Tango,Nina Miranda,Sondor,,,,Edgardo Donato,Carlos César Lenzi,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,A Media Luz,,Tango,Olga Delgrossi,Sondor,,,,Edgardo Donato,Carlos César Lenzi,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,"Adiós, Muchachos",,Tango,Instrumental,Sondor,,,,Julio César Alberto Sanders,César Felipe Vedani,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Alboroto,,Candombe,Olga Delgrossi y Víctor Ruiz,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Amor y Tango Soy Yo,,Tango,Miguel Ángel Maidana,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Ancestros de Candombe,,Candombe,Marlene Otero y Félix Romero,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Andate con la Otra,,Tango,Nina Miranda,Sondor,,,,Carlos Vicente Geroni Flores,Enrique Dizeo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Barrio Pobre,,Tango,Félix Romero,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Bien Jugoso,,Tango,Instrumental,Sondor,,,,Lorenzo Barbero,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Brasil,,Vals,Carlos Navarro,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Buen Amigo,,Tango,Instrumental,Sondor,,,,Julio De Caro,Juan Carlos Marambio Catán,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Calle de la Ausencia,,Tango,Carlos Navarro,Sondor,,,,Oldimar Cáceres,Oldimar Cáceres,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Cambalache,,Tango,Instrumental,Sondor,,,,Enrique Santos Discépolo,Enrique Santos Discépolo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Cariño Mio,,Tango,Luis Luján,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,"Che, Fanfarrón",,Tango,Félix Romero,Sondor,,,,Donato Racciatti,Alfredo Gago,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,"Che, Papusa, Oí",,Tango,Instrumental,Sondor,,,,Gerardo Matos Rodríguez,Enrique Cadícamo,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Chica Viola,,Tango,Víctor Ruiz,Sondor,,,,,,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Chirusa,,Tango,Instrumental,Sondor,,,,Juan D'Arienzo,Nolo López,,,,,,,,,,,
Donato Racciatti,Donato Racciatti y su Orquesta Típica,,Como un Cascabel,,Tango,Instrumental,Sondor,,,,,,,,,,,,,,,,
