Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Edmundo Rivero,Los Cantores del Valle,1946,Castigo,,,"Edmundo Rivero, Carlos Bermúdez",Odeón,78rpm,,70377,,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946,Mal Pagado,,Tango,Edmundo Rivero,,,,,,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-01-04,Implorándote,,Pasillo,"Edmundo Rivero, Carlos Bermúdez",Odeón,78rpm,,70359,,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-01-04,La Ingrata,,Tango,Edmundo Rivero,Odeón,78rpm,,70359,C. W. Andrade,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-03-07,No Hay Porque Culparlos,,Tango,Edmundo Rivero,Odeón,78rpm,,70377,,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-03-07,Separación,,Pasillo,Edmundo Rivero,Odeón,78rpm,,70377,,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-04-16,Carta Infame,,Tango,Edmundo Rivero,Odeón,78rpm,,70399,,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-05-29,Dolor Profundo,,Tango,Edmundo Rivero,Odeón,78rpm,,70410,A. Ruiz,H. Fernández,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-05-29,Quiero que Sufras,,Tango,Edmundo Rivero,Odeón,78rpm,,70410,,,,,,,,,,,,,
Edmundo Rivero,Los Cantores del Valle,1946-06,Sin Ilusión,,Tango,Edmundo Rivero,Odeón,78rpm,,,,,,,,,,,,,,,
Edmundo Rivero,Edmundo Rivero con Guitarras,1950-06-26,Audacia,,Tango,Edmundo Rivero,Víctor,78rpm,,63-0016,Hugo la Rocca,Celedonio Flores,,,,,,,,,,,
Edmundo Rivero,Edmundo Rivero con Guitarras,1950-06-26,"Para Vos, Hermano Tango",,Tango,Edmundo Rivero,Víctor,78rpm,,63-0016,Edmundo Rivero,Mario Battistella,,,,,,,,,,,
