Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,25 de Mayo,,Tango,,Odeón,,,533-B,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Eduardo Arolas,1913,A Mi Madre,,Vals,,Odeón,,,,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Aclamacion,,Vals,,Odeón,,,,Emil Waldteufel,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Aires y Bailes Populares Criollos,,,,Odeón,,,538-B,,,,,,,,,,,,,
Eduardo Arolas,Eduardo Arolas,1913,Arancetti,,Vals,,Odeón,,,900-,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Delia,,Tango,,Odeón,,,530-B,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Desalojo de Bulin,,Tango,,Odeón,,,534-B,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El 14 de Suipacha,,Tango,,JBT,,8738c,,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Alba,,Vals,,Odeón,,,,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Atareado,,Tango,,Odeón,,,535-A,Stockle,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Compadrito,,Tango,,Odeón,,,537-B,Angel Di Girolamo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Contrapunto,,Tango,,Odeón,,,536-B,Francisco Famiglietti,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Entrerriano,,Tango,,Odeón,,,534-A,Rosendo Mendizabal,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Maizal,,Tango,,Odeón,,,535-B,Angel Riganti,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Pito de Parra,,Tango,,Odeón,,,538-A,Verona,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Ratero,,Tango,,Odeón,,,,Angel Di Girolamo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Elisa,,Tango,,Odeón,,,,Marino Garcia,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Eres Fiel,,Vals,,Odeón,,,,Nn,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Estoy Penando,,Tango,,Odeón,,,531-B,Vicente Greco,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Gran Muñeca,,Tango,,Odeón,,,532-A,Alfredo Bevilacqua,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Hermosa Primavera,,Vals,,Odeón,,,580-,Pedro Assereto,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Jeanne,,Tango,,Odeón,,,,Juan Pujol,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,La Viruta,,Tango,,JBT,,8740c,,Vicente Greco,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Lagrimas y Sonrisas,,Vals,,Odeón,,,582-,Pascual De Gullo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Las Siete Palabras,,Tango,,Odeón,,,532-B,Prudencio Aragón,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Loca de Amor,,Vals,,JBT,,,,Enrique Caviglia,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Mefistofeles,,Tango,,Odeón,,,,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Mi Pensamiento,,Vals,,Odeón,,,580-,Pedro Assereto,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Muy Agradecido,,Tango,,JBT,,8736c,,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Naju,,Tango,,Odeón,,,536-A,Juan Pujol,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Noche de Farra,,Tango,,JBT,,8744c,,Roberto Firpo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Noche de Farra,,Tango,,JBT,,8744c,,Roberto Firpo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Pabellon De Las Rosas,,Vals,,Odeón,,,5 82-,José Felipetti,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Poupee,,Tango,,JBT,,8735c,,Ramon Buchardo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Que Haces Arolita,,Tango,,Odeón,,,,Ruiz Fernandez,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Recordandote,,Vals,,Odeón,,,,Gerardo Metallo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Rey de los Bordoneos,,Tango,,Odeón,,,533-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Sarita,,Tango,,Odeón,,,,Carlos Macchi,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Una Noche de Garufa,,Tango,,JBT,,8733c,,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Una Noche de Garufa,,Tango,,Odeón,,,530-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Viejo Gaucho,,Tango,,Odeón,,,537-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Viento en Popa,,Tango,,Odeón,,,531-A,Rosendo Mendizabal,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1914,Germaine,,Tango,,JBT,,8734c,,Ramon Buchardo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-05-15,La Regina del Fonografo,,Vals,,Víctor,,G 2013-1,69586-A,Lombardo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-05-15,Longchamps Fleuris,,Vals,,Víctor,,G 2014-2,69710-B,Emil Waldteufel,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-05-16,Amor y Primavera,,Vals,,Víctor,,G 2021-1,72238-A,Emil Waldteufel,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-05-16,Blanca Nieve,,Vals,,Víctor,,G 2020-1,7 2146-B,Juan Labissier,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,Curda Completa,,Tango,,JBT,,8745c,,Roberto Firpo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Bohemio,,Tango,,JBT,,8739c,,Angel Villoldo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Choclo,,Tango,,JBT,,8742c,,Angel Villoldo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Criolla Arolas,1913,El Perverso,,Tango,,JBT,,8741c,,Vicente Greco,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-23,Adiós!... Buenos Aires,,Tango,,Víctor,,G 1849-1,72607-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-23,Comme Il Faut,,Tango,,Víctor,,G 1846-1,72146-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-23,Lágrimas,,Tango,,Víctor,,G 1847-1,69709-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-24,Anatomia,,Tango,,Víctor,,G 1858-1,69709-B,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-24,Bien Tirao,,Tango,,Víctor,,G 1857-1,72237-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-24,El Jaguar,,Tango,,Víctor,,G 1856-1,69585-B,Atilio Lombardo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-24,La Guitarrita,,Tango,,Víctor,,G 1855-1,69585-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-24,La Trilla,,Tango,,Víctor,,G 1859-1,72237-B,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-26,De Vuelta y Media,,Tango,,Víctor,,G 1871-1,72238-B,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-26,El Chañar,,Tango,,Víctor,,G 1874-1,7 2147-B,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-26,Marron Glace,,Tango,,Víctor,,G 1873-1,69710-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-26,Rawson,,Tango,,Víctor,,G 1872-1,69587-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-26,Rawson,,Tango,,Víctor,,G 1872-2,INEDITA,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-30,Cosa Papa,,Tango,,Víctor,,G 1903-1,72608-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-30,El Gaucho Nestor,,Tango,,Víctor,,G 1902-1,72606-A,Eduardo Arolas,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-30,La Duquesa del Bal Tabarin,,Vals,,Víctor,,G 1906-2,72236-A,Lombardo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-30,La Duquesa del Bal Tabarin,,Vals,,Víctor,,G 1906-1,INEDITA,Lombardo,,,,,,,,,,,,
Eduardo Arolas,Orquesta Tipica Arolas,1917-04-30,Taquito,,Tango,,Víctor,,G 1904-1,69587-B,Eduardo Arolas,,,,,,,,,,,,
