Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,Adiós Muchachos,,Tango,Manuel Bianco,Odeón,78rpm,KI 1932,SO 8279,Julio César Sanders,César Vedani,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,Adoración,,Tango,Manuel Bianco,,78rpm,,,Eduardo Bianco,Eduardo Bianco,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,Barrio Reo,,Tango,"Manuel Bianco, Horacio Pettorossi",Odeón,78rpm,KI 1934,165405 A,Roberto Fugazot,Alfredo Navarrine,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,Barrio Viejo,,Tango,"Manuel Bianco, Horacio Pettorossi",,78rpm,,,Guillermo Barbieri,Eugenio Cárdenas,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,Juramento,,Tango,Manuel Bianco,,78rpm,,,"Eduardo Bianco, Sarbib","Eduardo Bianco, Sarbib",,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,L'ame de Ma Guitare,,Tango,Instrumental,Odeón,78rpm,KI 1939,165.402B,Horacio Pettorossi,,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,La Perrera,,Tango,"Eduardo Bianco, José Cohan",Odeón,78rpm,KI 1940,O 236685,Mario Melfi,Antonio Melfi,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,Pembere,,Maxixa,,Odeón,78rpm,KI 1938,165404 A,Souto,,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1928,Razón 5ª,,Tango,"Eduardo Bianco, Horacio Pettorossi",Odeón,78rpm,KI 1935,165.403 A,Eduardo Bianco,Eduardo Bianco,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Bandoneón,,Tango,Instrumental,,78rpm,,,"Sebastián Piana, Pedro Maffía",José Castillo,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Cariños,,Tango,Instrumental,,78rpm,,,Araujo,,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Corazón,,Tango,Manuel Bianco,Odeón,78rpm,MO 2579,SO 8300,Eduardo Bianco,Eduardo Bianco,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Despertar!,,Tango,Manuel Bianco,,78rpm,,,Eduardo Bianco,Eduardo Bianco,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,El Carretero,,Chacayalera,"Manuel Bianco, Horacio Pettorossi",Odeón,78rpm,MO 2593/2,SO 8300,Benjamin Tagle Lara,Benjamin Tagle Lara,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Entre Sueños,,Tango,Carlos Américo,,78rpm,,,"Anselmo Aieta, Juan Polito",Francisco García Jiménez,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Florecita,,Tango,Instrumental,,78rpm,,,G. Pafanti,,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Ilusión,,Tango,"Manuel Bianco, Horacio Pettorossi",Odeón,78rpm,MO 2596/2,165.747,Mario Melfi,Eduardo Bianco,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Invierno,,Tango,Manuel Bianco,Odeón,78rpm,2.583,165.749,Eduardo Bianco,Araujo,,,,,,,,,,,
Eduardo Bianco,Eduardo Bianco et son Fameux Orchestre Argentin,1929,Malevaje,,Tango,Carlos Américo,,78rpm,,,Juan de Dios Filiberto,Enrique Santos Discépolo,,,,,,,,,,,
