Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Enrique Delfino,Enrique Delfino,1917-05-10,El Aeroplano,,Vals,Instrumental,Víctor,Acoustic,G 1996-2,69813-B,Pedro Datta,,,,Enrique Delfino,,,,"Solo de Piano - ""Was To Come Back Sat. [May 12] For Two Make Overs -- And",,,,
Enrique Delfino,Enrique Delfino,1917-05-10,El Garron,El Garrón (de Alfredo y Juanita),Tango,Instrumental,Víctor,Acoustic,G 1994-1,69813-A,Celestino Pedro Ferrer,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1917-05-10,La Huella,,Tango,Instrumental,Víctor,Acoustic,G 1993-1,72240-A,Manuel Anibal Villanueva,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1917-05-10,Sans Souci,,Tango,Instrumental,Víctor,Acoustic,G 1995-1,72240-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1920-09-02,Amores Viejos,,Tango,Instrumental,Víctor,Acoustic,B 24453-2,72902-A,Enrique Delfino,Pascual Contursi,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1920-09-02,Delfy,,Tango,Instrumental,Víctor,Acoustic,B 24451-2,Inedita,,,,,Enrique Delfino,,,,,,,,
Enrique Delfino,Enrique Delfino,1920-09-02,Flor de Fango,,Tango,Instrumental,Víctor,Acoustic,B 24452-1,72831-B,Augusto Gentile,Pascual Contursi,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1920-09-02,Raulito,,Tango,Instrumental,Víctor,Acoustic,B 24454-1,72902-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1920-09-03,Delfy,,Tango,Instrumental,Víctor,Acoustic,B 24451-5,72831-A,Anselmo Alfredo Aieta,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1922,Argentine Rose,,Foxtrot,Instrumental,Odeón,Acoustic,841,6522-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano con Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino,1922,Caboglo Maguado,,Maxixa,Instrumental,Odeón,Acoustic,949,6524-A,E. Souto,,,,Enrique Delfino,,,,Solo de Piano con Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino,1922,Cap Polonio,,Tango,Instrumental,Odeón,Acoustic,765-1,6521-A,Adolfo Rosquellas,Juan Caruso,,,Enrique Delfino,,,,Solo de Piano - Grabado con Eco ¿Grand Splendid?,,,,
Enrique Delfino,Enrique Delfino,1922,El Mal Trago,,Tango,Instrumental,Odeón,Acoustic,1025,6525-A,Enrique Delfino,Carlos M. Pacheco,,,Enrique Delfino,,,,Solo de Piano con Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino,1922,Era un Pobre Muchachito,,Tango,Instrumental,Odeón,Acoustic,1026,6525-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano con Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino,1922,Grand Splendid,,Tango,Instrumental,Odeón,Acoustic,1074,6526-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1922,Jeu Et Amour,,Foxtrot,Instrumental,Odeón,Acoustic,946,6523-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano con Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino,1922,La Maleva,,Tango,Instrumental,Odeón,Acoustic,1073,6526-A,Antonio Buglione,Mario Pardo,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1922,Made In Buenos Aires,,Foxtrot,Instrumental,Odeón,Acoustic,947-1,6524-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano con Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino,1922,My Sahara Rose,,Foxtrot,Instrumental,Odeón,Acoustic,766-1,6521-B,Walter Donaldson,,,,Enrique Delfino,,,,Solo de Piano - Grabado con Eco ¿Grand Splendid?,,,,
Enrique Delfino,Enrique Delfino,1922,O Manuel e a Maria,,Maxixa,Instrumental,Odeón,Acoustic,948,6523-A,E. Souto,,,,Enrique Delfino,,,,Solo de Piano con Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino-Manlio Francia,1922,Porotita,,Tango,Instrumental,Odeón,Acoustic,842,6522-A,Enrique Delfino,A. Martinez Viergol,,,Enrique Delfino,,,,Duo de Piano y Violin: Manlio Francia,,,,
Enrique Delfino,Enrique Delfino,1923,Gil a Rayas,,Tango,Instrumental,Odeón,Acoustic,1101,6527-A,Juan Carlos Guyot,Rafael Herraiz,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1923,My Spanish Rose,,Shimmy,Instrumental,Odeón,Acoustic,1102,6527-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1924,Eleonore,,Shimmy,Instrumental,Odeón,Acoustic,1793-1,6528-B,A. Chambrier,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1924,Francesita,,Tango,Instrumental,Odeón,Acoustic,1792-1,6528-A,Enrique Delfino,Alberto Vaccarezza,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1924,"Salud, Tres Veces Salud!",,Tango,Instrumental,Odeón,Acoustic,2242,6529-B,Enrique Delfino,,,,Enrique Delfino,,,,Con Bandoneon (Posiblemente Minotto),,,,
Enrique Delfino,Enrique Delfino,1924,Una Romanza Interrumpida,,Comico,Enrique Delfino,Odeón,Acoustic,1805,6529-A,Enrique Delfino,,,,Enrique Delfino,,,,Recitado con Piano,,,,
Enrique Delfino,Enrique Delfino,1927-04-07,Araca Corazon!...,,Tango,Instrumental,Odeón,78rpm,579 e,6530-A,Enrique Delfino,Alberto Vaccarezza,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1927-04-07,Griseta,,Tango,Instrumental,Odeón,78rpm,578 e,6530-B,Enrique Delfino,Jose Gonzalez Castillo,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1927-05-27,Arrabalero,,Tango,Instrumental,Odeón,78rpm,814 e,6532-B,Osvaldo Fresedo,Eduardo Calvo,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1927-05-27,Federacion,,Tango,Instrumental,Odeón,78rpm,813 e,6531-A,F. Canaro-Luis Riccardi-Juan Caruso,,,,Enrique Delfino,,,,Solo de Piano,,,,
Enrique Delfino,Enrique Delfino,1927-05-27,Mama... Cuco!,,Tango,Instrumental,Odeón,78rpm,812-1e,6531-B,Enrique Delfino,,,,Enrique Delfino,,,,Solo de Piano,,,,
