Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Enrique Francini,Orquesta Francini-Pontier,1946-01-29,Margó,,Tango,Alberto Podestá,Víctor,78rpm,,,Armando Pontier,Homero Expósito,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-01-29,Sirva Otra Copa,,Tango,Alberto Podestá,Víctor,78rpm,,,Arturo Gallucci,José Rótulo,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-03-14,El Mismo Dolor,,Vals,Alberto Podestá,Víctor,78rpm,,,Enrique Francini,Carlos Bahr,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-03-14,Qué Me Van a Hablar de Amor,,Tango,Alberto Podestá,Víctor,78rpm,,,Héctor Stamponi,Homero Expósito,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-05-17,Remolino,,Tango,Raúl Berón,Víctor,78rpm,,,Alfredo De Angelis,José Rótulo,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-05-17,Trapitos,,Milonga,Alberto Podestá,Víctor,78rpm,,,José Canet,José Canet,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-09-04,Con Ella en el Mar,,Vals,Raúl Berón,Víctor,78rpm,,,Enrique Francini,Horacio Sanguinetti,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-09-04,El Milagro,,Tango,Alberto Podestá,Víctor,78rpm,,,Armando Pontier,Homero Expósito,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-10-21,Arrabal,,Tango,Instrumental,Víctor,78rpm,,,José Pascual,,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
Enrique Francini,Orquesta Francini-Pontier,1946-10-21,Cobrate y Dame el Vuelto,,Milonga,Raúl Berón Y Glosas De Enrique Rosales,Víctor,78rpm,,,Miguel Caló,Enrique Dizeo,Armando Pontier,46-48 Initial Group,Juan José Paz,Rafael Del Bagno,"Armando Pontier, Angel Domínguez, Nicolás Paracino, Juan Salomone","Enrique Francini, Aquiles Aguilar, Mario Lalli, José Sarmiento, Adriano Fanelli (Cello)","Piano, Bass, 4 Bandoneons, 4 Violins, Cello"
