Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Enrique Rodríguez,Orquesta Enrique Rodríguez,1937-11-03,Ilusión,,Vals,Roberto Flores,Odeón,,,,V. Acosta,V. Acosta,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1937-11-18,Clavelito en Flor,,Vals,Roberto Flores,Odeón,,9223,,Enrique Rodríguez,José Casais,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1937-11-18,Mi Muñequita,,Tango,Roberto Flores,Odeón,,9222,,Enrique Rodríguez,Alfredo Bigeschi,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1938-02-21,Qué Lejos Estoy,,Vals,Roberto Flores,Odeón,,9314,,Ángel Del Valle,Ángel Del Valle,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1938-03-23,Dejame Ser Así,,Tango,Roberto Flores,Odeón,,9344,,Enrique Rodríguez,Francisco Gorrindo,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1938-05-28,La Maja Aristocrática,,Vals,Roberto Flores,Odeón,,9431,,"Fermín Gema, Manuel Aniesa, Antonio Ruiz","Fermín Gema, Manuel Aniesa, Antonio Ruiz",,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1938-06-27,Siempre Fiel,,Vals,Instrumental,Odeón,,9471,,Émile Waldteufel,,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1938-08-18,Mi Verdad,,Tango,Roberto Flores,Odeón,,9591,,Enrique Rodríguez,Arsenio Mármol,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1938-12-27,Las Espigadoras,,Vals,Roberto Flores,Odeón,,9767,,"Guerrero, Romero, Fernández Shaw","Guerrero, Romero, Fernández Shaw",,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1938-12-27,Vendrás Alguna Vez,,Tango,Roberto Flores,Odeón,,9766,,Alfredo Malerba,Luis Amadori,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-02-01,Los Piconeros,,Vals,Roberto Flores,Odeón,,,,"Juan Mostazo, J. Molleda, Ramón Perelló, Enrique Rodríguez","Juan Mostazo, Ramón Perelló",,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-02-01,Te Quiero Ver Escopeta,,Tango,Roberto Flores,Odeón,,9792,,Enrique Rodríguez,Alfredo Bigeschi,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-02-24,Son Cosas del Bandoneón,Son Cosas de Bandoneón,Tango,Roberto Flores,Odeón,,9809,,Enrique Rodríguez,Enrique Cadícamo,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-06-05,Fru Fru,Frou Frou,Vals,Roberto Flores,Odeón,,9961,,Henri Chatau,"Homero Manzi, Héctor Monréal, Henri Blondeau",,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-06-05,Un Copetín,,Tango,Roberto Flores,Odeón,,9963,,Juan Maglio,José Fernández,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-07-25,Mosterio,,Tango,Roberto Flores,Odeón,,10038,,Alberto Gambino,Alí De Baraja,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-07-25,Salud Dinero y Amor,Salud Dinero y Amor,Vals,Roberto Flores,Odeón,,10039,,Rodolfo Sciammarella,Rodolfo Sciammarella,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-10-10,Con Permiso Señorita,,Tango,Roberto Flores,Odeón,,10120,,Enrique Rodríguez,Venancio Clauso,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-10-10,Tengo Mil Novias,,Vals,Roberto Flores,Odeón,,10121,,Enrique Rodríguez,Enrique Cadícamo,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1939-12-18,Si No Me Engaña el Corazón,,Tango,Roberto Flores,Odeón,,10223,,Mauricio Misé,Carlos Bahr,,37-39 Flores,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-03-15,No Te Quiero Mas,,Tango,Roberto Florez,Odeón,,10351,,Juan Baüer,,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-04-30,En la Buena y en la Mala,,Tango,Armando Moreno,Odeón,,10518,,Enrique Rodríguez,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-04-30,Los Años No Curan Penas,,Milonga,Armando Moreno,Odeón,,10434,,Enrique Rodríguez,Héctor Tallón,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-04-30,No Le Creas,,Tango,Armando Moreno,Odeón,,10435,,Enrique Rodríguez,Juan Bergerot,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-06-04,"Por Aquí, Por Alla",,Vals,Armando Moreno,Odeón,,10519,,Enrique Rodríguez,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-07-31,Danza Maligna,,Tango,Armando Moreno,Odeón,,10620,,Fernando Randle,Francisco Frollo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-08-13,Contigo Pan y Cebolla,,Tango,Armando Moreno,Odeón,,10635,,Enrique Rodríguez,Alfredo Bigeschi,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-08-13,Isabelita,,Vals,Armando Moreno,Odeón,,10636,,Rodolfo Sciammarella,Manuel Romero,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-08-20,Como Se Pianta la Vida,,Tango,Armando Moreno,Odeón,,10646,,Carlos Viván,,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-11-20,A Media Luz,,Tango,Armando Moreno,Odeón,,10859,,Edgardo Donato,Carlos Lenzi,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-12-18,A Mal Tiempo Buena Cara,,Tango,Armando Moreno,Odeón,,10927,,Enrique Rodríguez,Ivo Pelay,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-12-18,La Torcacita,,Tango,Instrumental,Odeón,,10928,,José Martínez,,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1940-12-18,No Me Lo Digas,,Tango,Armando Moreno,Odeón,,10930,,Luis Visca,Luis Rubinstein,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-03-20,Nyanzas y Malevos,Barrio de Guapos,Tango,Armando Moreno,Odeón,,11105,,Pintín Castellanos,Pintín Castellanos,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-03-20,Qué Tilín Que Tilón,,Vals,Armando Moreno,Odeón,,11106,,Enrique Rodríguez,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-05-12,Esto Es Puro Compás,,Tango,Armando Moreno,Odeón,,11174,,Ricardo Malerba,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-05-26,El Tabernero,,Tango,Armando Moreno,Odeón,,11212,,"Miguel Cafre, Fausto Frontera",Raúl Olivieri,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-06-09,La Gayola,La Cárcel,Tango,Armando Moreno,Odeón,,11239,,Rafael Tuegols,Armando Tagini,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-07-23,Florida,,Tango,Instrumental,Odeón,,11320,,Raimundo Petillo,Antonio Polito,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-07-23,Llorar Por una Mujer,,Tango,Armando Moreno,Odeón,,11319,,Enrique Rodríguez,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-08-07,Tic Tac,,Tango,Armando Moreno,Odeón,,11361,,Enrique Cadícamo,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-09-24,Con Tu Mirar,,Vals,Armando Moreno,Odeón,,11447,,Eusebio Giorno,Norberto Canosa,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-09-24,Jueves,,Tango,Instrumental,Odeón,,11446,,"Rafael Rossi, Udelino Toranzo",,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-10-24,Suerte Loca,,Tango,Armando Moreno,Odeón,,11528,,Anselmo Aieta,Francisco Jiménez,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-11-26,Chunga Que No Chunga Que Sí,Chunga Que Sí Chunga Que No,Milonga,Armando Moreno,Odeón,,11608,,Eusebio Giorno,Arsenio Mármol,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1941-12-19,El Morochito,,Tango,Instrumental,Odeón,,11657,,Vicente Greco,Gerónimo Gradito,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-01-20,El Huérfano,,Tango,Armando Moreno,Odeón,,11730,,Anselmo Aieta,Francisco Jiménez,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-02-13,Amigos de Ayer,,Tango,Armando Moreno,Odeón,,11853,,Enrique Rodríguez,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-02-13,Clavelito Chino,,Tango,Armando Moreno,Odeón,,11853,,M. Canales,,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-03-10,La Canción del Soltero,,Vals,Armando Moreno,Odeón,,11884,,Roberto Blanco,Julio Nelson,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-03-31,Un Tropezón,,Tango,Armando Moreno,Odeón,,11897,,Raúl De Los Hoyos,Luis Herrera,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-04-22,Carro Viejo,,Tango,Armando Moreno,Odeón,,11952,,Fernando Montoni,Máximo Orsi,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-05-13,Los Gitanitos,,Vals,Armando Moreno,Odeón,,11985,,José Jiménez,Francisco Velasco,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-05-13,Yo No Sé Por Qué Razón,,Tango,Armando Moreno,Odeón,,11984,,Carlos Pampillón,Luis Castiñeira,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-06-10,Quién Sos Vos,Decime Quién Sos Vos,Tango,Armando Moreno,Odeón,,12037,,"J. Grio, Mario Landi","J. Grio, Mario Landi",,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-07-30,Expresión Campera,,Tango,Instrumental,Odeón,,12137,,José Martínez,,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-09-11,Diarios Revistas Señor,,Tango,Armando Moreno,Odeón,,12209,,Enrique Rodríguez,Héctor Marcó,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-09-11,Tango Argentino,,Tango,Armando Moreno,Odeón,,12210,,Juan Maglio,Alfredo Bigeschi,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-10-22,El Encopao,,Tango,Armando Moreno,Odeón,,12297,,Osvaldo Pugliese,Enrique Dizeo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-11-19,Cómo Has Cambiado Pebeta,,Tango,Armando Moreno,Odeón,,12404,,Enrique Rodríguez,"Carlos Goicoechea, Rogelio Cordone",,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-12-03,Mirame de Frente,,Tango,Armando Moreno,Odeón,,12424,,Julián Ortiz,Carlos Fontana,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-12-03,Solita y Sola,,Vals,Armando Moreno,Odeón,,12423,,Roberto Blanco,Julio Nelson,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1942-12-03,Yo También Tuve un Cariño,,Tango,Armando Moreno,Odeón,,12425,,Enrique Rodríguez,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-02-08,Marinero,,Tango,Armando Moreno,Odeón,,12553,,Enrique Rodríguez,Enrique Cadícamo,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-02-18,Aquel Silbido,,Tango,Armando Moreno,Odeón,,12586,,"Jorge Elizalde, Mario Batistella","Jorge Elizalde, Mario Batistella",,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-02-18,El Tucu-Tun,,Milonga,Armando Moreno,Odeón,,12587,,Carlos Pampillón,Luis Castiñeira,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-04-16,Adiós Para Siempre,,Tango,Armando Moreno,Odeón,,12700,,José Rizzuti,Nolo López,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-04-16,La Rumbita Candombé,Le Negrita Candombe | Rumbita Candombe,Milonga,Armando Moreno,Odeón,,12699,,"Osvaldo Novarro, Raúl Fortunato",Mario Battistella,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-05-14,Mi Piba,Mi Piba Linda,Tango,Armando Moreno,Odeón,,12770,,Rodolfo Sciammarella,Manuel Romero,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-05-28,No Te Mires en el Río,,Vals,Armando Moreno,Odeón,,,,Manuel López-Quiroga,Miquel De León,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-06-10,Qué Lento Corre el Tren,,Tango,Armando Moreno,Odeón,,12838,,Alfredo De Angelis,Carmelo Volpe,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-07-02,Por Eso Canto Yo,,Tango,Armando Moreno,Odeón,,12884,,Juan Puey,Reinaldo Yiso,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-07-02,Que Lo Sepa el Mundo Entero,,Tango,Armando Moreno,Odeón,,12883,,Enrique Rodríguez,Rodolfo Sciammarella,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-08-05,Zumba Zumba,,Vals,Armando Moreno,Odeón,,12992,,"Enrique Rodríguez, Carlos Goicochea",Rogelio Cordone,,40-46 Moreno,,,,,,,,,
Enrique Rodríguez,Orquesta Enrique Rodríguez,1943-08-08,Horas,,Tango,Armando Moreno,Odeón,,13114,,Juan Martínez,María Vignolo,,40-46 Moreno,,,,,,,,,
