Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Florindo Sassone,Orquesta Florindo Sassone,1947-05-19,Canción de Cuna,,Tango,Jorge Casal,,,83437,,José Rizzuti,José Gómez,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1947-05-19,Volver,,Tango,Jorge Casal,,,83436,,Carlos Gardel,Alfredo Le Pera,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1947-08-27,Por Dónde Andarás,,Tango,Jorge Casal,,,83606,,Salvador Merico,Atilio Supparo,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1947-08-27,Puentecito de Mi Río,,Vals,Jorge Casal,,,83607,,"Antonio Tormo, Manuel Canales",Buenaventura Luna,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1947-11-13,Cien Guitarras,,Milonga,Jorge Casal,,,83753,,Arturo Gallucci,Raúl Hormaza,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1947-11-13,Siempre Te Nombra,,Tango,Jorge Casal,,,83752,,"Florindo Sassone, Javier Mazzea",José Rótulo,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1948-03-23,A la Luz del Candil,A la Luz de un Candíl,Tango,Jorge Casal,,,83853,,Carlos Flores,Julio Navarrine,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1948-03-23,Don Esteban,,Tango,Instrumental,,,83852,,Augusto Berto,Carlos Sarmiento,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1948-05-11,Quimera,,Tango,Ángel Díaz,,,83916,,"Juan Martínez, Luis Viapiana",Roberto Barboza,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-01-25,Rencor,,Tango,Jorge Casal,,,91180,,Charlo,Luis Amadori,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-01-25,Y Volvemos a Querernos,,Tango,Jorge Casal,,,91181,,Luciano Leocata,Abel Aznar,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-02-15,Hoy la Espero a la Salida,,Tango,Roberto Chanel,,,91227,,Roberto Chanel,Raúl Hormaza,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-02-15,Mi Noche Triste,,Tango,Jorge Casal,,,91226,,Samuel Castriota,Pascual Contursi,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-03-21,La Última Cita,,Tango,Jorge Casal,,,91238,,Agustín Bardi,Francisco Jiménez,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-03-21,Mano Cruel,,Tango,Roberto Chanel,,,91239,,Carmelo Mutarelli,Armando Tagini,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-07-06,Fogón de Huella,,Tango,Jorge Casal,,,91327,,Arturo Gallucci,Yaraví,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-07-06,Junada,,Tango,Roberto Chanel,,,91326,,Armando Pontier,Ángel Di Rosa,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-08-02,Madre Hay una Sola,,Tango,Jorge Casal,,,91371,,Agustín Bardi,José De La Vega,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-08-02,Te Juro Madre Mía,,Tango,Roberto Chanel,,,91372,,Juan Marini,José Sassone,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-10-04,El Divorcio,,Milonga,Roberto Chanel,,,91412,,Luis Addesso,Raúl Hormaza,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-10-04,No Te Engañes Corazón,,Tango,Jorge Casal,,,91413,,Rodolfo Sciammarella,Rodolfo Sciammarella,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-12-21,Ríe Payaso,,Tango,Roberto Chanel,,,91256,,Virgilio Carmona,Emilio Falero,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1949-12-21,Serenata Criolla,,Tango,Instrumental,,,91257,,Eduardo Parula,Eduardo Parula,,,Armando Cupo,,,,Piano,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950,No Te Perdono Más,,Tango,Carlos Malbrán,,,,21950,Rodolfo Sciammarella,Rodolfo Sciammarella,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-01-10,El Soldado,,Tango,Roberto Chanel,,,91539,,Roberto Chanel,Reinaldo Yiso,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-01-10,Noches de Atenas,,Vals,Jorge Casal,,,91538,,Horacio Pettorossi,Horacio Pettorossi,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-03-30,La Canción de Buenos Aires,,Tango,Carlos Malbrán,,,91612,,"Azucena Maizani, Orestes Cúfaro",Manuel Romero,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-03-30,Visión,,Tango,Roberto Chanel,,,91611,,Jaime De Los Hoyos,Nolo López,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-04-27,Flor de Fango,,Tango,Roberto Chanel,,,93657,,Augusto Gentile,Pascual Contursi,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-04-27,La Casita de Mis Viejos,La Casita de Mis Padres,Tango,Carlos Malbrán,,,93658,,Juan Cobián,Enrique Cadícamo,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-08-11,Sinforosa,,Milonga,Roberto Chanel,,,93816,,Roberto Chanel,Raúl Hormaza,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-08-11,Tabernero,El Tabernero,Tango,Raúl Lavalle,,,93817,,"Miguel Cafre, Fausto Frontera",Raúl Olivieri,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-11-29,Un Cuadro y una Canción,,Tango,Raúl Lavalle,,,93971,,"Arturo Gallucci, Florindo Sassone",José Rótulo,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1950-11-29,Y Mientes Todavía,,Tango,Raúl Lavalle,,,93972,,Luciano Leocata,Abel Aznar,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-05-30,El Relámpago,,Tango,Instrumental,,,94201,,Florindo Sassone,,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-05-30,Testamento de Arrabal,,Tango,Rodolfo Galé,,,94202,,Oscar Castagniaro,Raúl Hormaza,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-06-13,El Patio de la Morocha,,Tango,Rodolfo Galé,,,94233,,Mariano Mores,Cátulo Castillo,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-06-13,Maipo,,Tango,Instrumental,,,94234,,Eduardo Arolas,Gabriel Clausi,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-06-22,La Trilla,,Tango,Instrumental,,,94256,,Eduardo Arolas,Héctor Polito,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-06-22,Íntimas,,Tango,Rodolfo Galé,,,94255,,Alfonso Lacueva,Ricardo Brignolo,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-08-13,La Guitarrita,,Tango,Instrumental,,,94358,,Eduardo Arolas,Gabriel Clausi,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-08-13,Trago Amargo,,Tango,Rodolfo Galé,,,94359,,Rafael Iriarte,Julio Navarrine,,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-11-21,Adiós Muchachos,,Tango,Rodolfo Galé,,,94408,,Julio Sanders,"César Vedani, Carol Raven",,,,,,,,,,,
Florindo Sassone,Orquesta Florindo Sassone,1951-11-21,Don Naides,,Tango,Rodolfo Galé,,,94410,,Maruja Huergo,Venancio Clauso,,,,,,,,,,,
