Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Francisco Canaro,Orquesta Francisco Canaro,1916,Amor Puro,,Vals,Instrumental,Atlanta,,45,3022,Pedro Sofía,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Ando Pato,,Tango,Instrumental,Atlanta,,62,3032,Juan Maglio,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Blanca Nieve,,Vals,Instrumental,Atlanta,,37,3018,Juan Labissier,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Canaro,,Tango,Instrumental,Atlanta,,32,3016,José Martínez,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Canillita,,Tango,Instrumental,Atlanta,,,3035,Francisco Canaro,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Centenario,,Vals,Instrumental,Atlanta,,70,3014,Andrés Chazarreta,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Charamusca,,Tango,Instrumental,Atlanta,,30,3015,Francisco Canaro,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Corazón de Artista,,Vals,Instrumental,Atlanta,,,3021,Pascual De Gullo,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,De Mi Cosecha,,Tango,Instrumental,Atlanta,,83,3042,Alejandro Rolla,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,Didí,Di Di,Tango,Instrumental,Atlanta,,48,3024,Roberto Firpo,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Aeroplano,,Vals,Instrumental,Atlanta,,34,3017,Pedro Datta,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Alacrán,,Tango,Instrumental,Atlanta,,,3019,Francisco Canaro,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Amanecer,,Tango,Instrumental,Atlanta,,,3031,Roberto Firpo,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Apronte,,Tango,Instrumental,Atlanta,,,3028,Roberto Firpo,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Bisturí,,Tango,Instrumental,Atlanta,,,3034,Roberto Firpo,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Calabozo,,Tango,Instrumental,Atlanta,,,3020,Augusto Gentile,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Distinguido Ciudadano,,Tango,Instrumental,Atlanta,,73,3037,Peregrino Paulos,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Espiante,,Tango,Instrumental,Atlanta,,50,3027,Osvaldo Fresedo,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Favorito,,Tango,Instrumental,Atlanta,,63,3033,Francisco Canaro,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Flete,,Tango,Instrumental,Atlanta,,,3020,Vicente Greco,Pascual Contursi,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
Francisco Canaro,Orquesta Francisco Canaro,1916,El Opio,,Tango,Instrumental,Atlanta,,51,3026,Francisco Canaro,,,16-20 Accoustic,,,"Pedro Polito, UNKNOWN (Flute)","Francisco Canaro, UNKNOWN, Leopoldo Thompson (Guitar)","Bandoneon, 2 Violins, Flute, Guitar",,,,
