Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Matrix,Disc
Francisco Lomuto,Orquesta Francisco Lomuto,1925,Cantá Corazón,,Tango,Instrumental,Odeón,,Francisco Payá,,,22-25 Acoustic,Erique Lomuto,Manuel Dopaso (Drums),"Pedro Polito, Vicente Romeo, Carmelo Águila (Clarinet)","Luis Martini, Esteban Rovati","Piano, 2 Bandoneons, 2 Violins, Drums, Clarinet",3043,7629
Francisco Lomuto,Orquesta Francisco Lomuto,1925,La Cumparsita,Si Supieras,Tango,Instrumental,Odeón,,Gerardo Hernán Matos Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,22-25 Acoustic,Erique Lomuto,Manuel Dopaso (Drums),"Pedro Polito, Vicente Romeo, Carmelo Águila (Clarinet)","Luis Martini, Esteban Rovati","Piano, 2 Bandoneons, 2 Violins, Drums, Clarinet",3042,7629
Francisco Lomuto,Orquesta Francisco Lomuto,1925,Muchacho,,Tango,Instrumental,Odeón,,Edgardo Felipe Valerio Donato,Celedonio Esteban Flores,,22-25 Acoustic,Erique Lomuto,Manuel Dopaso (Drums),"Pedro Polito, Vicente Romeo, Carmelo Águila (Clarinet)","Luis Martini, Esteban Rovati","Piano, 2 Bandoneons, 2 Violins, Drums, Clarinet",3210,7635
Francisco Lomuto,Orquesta Francisco Lomuto,1926,El Brujo,,Tango,Instrumental,Odeón,,Juan Carlos Bazán,Enrique Carrasquilla Mallarino,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3436,7651
Francisco Lomuto,Orquesta Francisco Lomuto,1926,El Circo se Va,,Tango,Instrumental,Odeón,,Ovidio Catulo González Castillo,José González Castillo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3561,7652
Francisco Lomuto,Orquesta Francisco Lomuto,1926,Meterete,,Tango,Instrumental,Odeón,,N. Vecchio,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3628,7664
Francisco Lomuto,Orquesta Francisco Lomuto,1926,Pobre Mateo,,Tango,Instrumental,Odeón,,Francisco Nicolás Pracánico,Francisco Bohígas,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3831,7665
Francisco Lomuto,Orquesta Francisco Lomuto,1926,Rulitos,,Tango,Instrumental,Odeón,,Ricardo Luis Brignolo,José González Castillo,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3440,7657
Francisco Lomuto,Orquesta Francisco Lomuto Jazz Band,1926,Yo Te Bendigo,,Tango,Instrumental,Odeón,,Oscar Juan de Dios Filiberti,Juan Andrés Bruno,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",3438,7653
Francisco Lomuto,Orquesta Francisco Lomuto,3/23/1927,Mucha Clase,,Tango,Instrumental,Odeón,,Américo Bianchi,,,26-27 Pre Charlo,Erique Lomuto,Alfredo Sciarreta,"Daniel Alvarez, Ángel Danesi, Minotto Di Cicco, Carmelo Aguila (Clarinet)","Eduardo Armani, Adolfo Muzzi, Tomás Robatti (Cello)","Piano, Bass, 3 Bandoneons, 2 Violins, Clarinet, Cello",514,7703
