Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1947,Canción de Cuna,,Tango,Enrique Campos,,78rpm,,,José Rizzuti,José Gómez,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1947,Con la Otra,,Tango,Enrique Campos,,78rpm,,,Lito Bayardo,,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1948-12-14,Serenata de Candombe,,Milonga,Carlos Roldan,Odeón,78rpm,17164,30651,Imperio Bove,R. Gorio,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1948-12-14,Sur,,Tango,Floreal Ruiz,Odeón,78rpm,17165,30651,Aníbal Troilo,Homero Manzi,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1949-02-21,Mi Noche Triste,Lita,Tango,Floreal Ruiz,Odeón,78rpm,17226,30652,Samuel Castriota,Pascual Contursi,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1949-02-21,Seguí Mi Consejo,,Tango,Carlos Roldan,Odeón,78rpm,17227,30652,Salvador Merico,Eduardo Trongé,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1949-05-23,Agüelita Qué Hora Son,,Tango,Floreal Ruiz,Odeón,78rpm,17297,30653,Roberto Díaz,Cayetano Oreste,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1949-05-23,El Pollero,,Tango,Carlos Roldan,Odeón,78rpm,17296,30653,Héctor Marcó,,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1949-09-30,Mis Delirios,,Vals,Floreal Ruiz,Odeón,78rpm,17443,30654,Agustín Noda,Roque Corletto,,,,,,,
Francisco Rotundo,Francisco Rotundo y su Orquesta Típica,1949-09-30,Tengo Miedo,,Tango,Carlos Roldan,Odeón,78rpm,17442,30654,José Aguilar,Celedonio Flores,,,,,,,
