Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1957-05-31,Alma en Pena,,Tango,Andrés Peiró y Jorge Garré,Odeón,,,,Anselmo Aieta,Francisco Jiménez,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Luis Magliolo, Julio Esbrés, Adolfo Gómez","Elvino Vardaro, Aquiles Aguilar, Lazaro Bequer, Edmundo Baya, Jorge Gonzalez",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1957-05-31,Chiqué,,Tango,Instrumental,Odeón,,,,Ricardo Brignolo,Ricardo Brignolo,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Luis Magliolo, Julio Esbrés, Adolfo Gómez","Elvino Vardaro, Aquiles Aguilar, Lazaro Bequer, Edmundo Baya, Jorge Gonzalez",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1957-08-14,La Polquita,,Milonga,Instrumental,Odeón,,,,Fulvio Salamanca,,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1957-08-14,Mano Cruel,,Tango,Armando Guerrico y Jorge Garré,Odeón,,,,Carmelo Mutarelli,Armando Tagini,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1957-11-29,"Adiós, Corazón",,Tango,Armando Guerrico,Odeón,,,,Lalo Etchegoncelay,Héctor Sapelli,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1957-11-29,Nueve Puntos,,Tango,Instrumental,Odeón,,,,Francisco Canaro,,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958,Milonga Sentimental,,Milonga,Armando Guerrico y Mario Luna,,,,,Sebastián Piana,Homero Manzi,,,,,,,
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-04-10,Barra de Oro,,Tango,Jorge Garré,Odeón,,,,Eduardo Moreno,Eduardo Moreno,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-04-10,Yo Tengo un Pecado Nuevo,,Tango,Armando Guerrico,Odeón,,,,Mariano Mores,Alberto Martínez,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-06-06,Bomboncito,,Tango,Armando Guerrico,Odeón,,,,Antonio Cerioti,Luis Caruso,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-06-06,Qué Te Pasa Buenos Aires,,Tango,Jorge Garré,Odeón,,,,Eduardo Corti,Juan Correia,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-07-06,Mi Colegiala,,Vals,Armando Guerrico,Odeón,,,,Héctor Gentile,Ángel Di Rosa,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-07-06,Raza Criolla (El Taita),,Tango,Instrumental,Odeón,,,,Salvador Grupillo,,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-09-18,Todo Es Amor,,Tango,Armando Guerrico,Odeón,,,,Leo Lipesker,Alejandro Romay,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-11-21,Lo Que Fuiste,,Tango,Mario Luna,Odeón,,,,Rafael Tuegols,Francisco Jiménez,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1958-11-21,No Me Dijo Ni Adiós,,Tango,Armando Guerrico,Odeón,,,,Lalo Etchegoncelay,Héctor Sapelli,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-01-28,Es Mejor Olvidar,,Tango,Armando Guerrico,Odeón,,,,Héctor Stamponi,Eduardo Parula,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-01-28,Matraca,,Tango,Instrumental,Odeón,,,,Fulvio Salamanca,,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-04-16,Dame Mi Libertad,,Tango,Mario Luna,Odeón,,,,Manuel Sucher,Carlos Bahr,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-04-16,Vuelve Amor,,Tango,Armando Guerrico,Odeón,,,,Roberto Rufino,Reinaldo Yiso,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-07-17,Hasta Siempre Amor,,Tango,Armando Guerrico,Odeón,,,,Donato Racciatti,Federico Silva,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-07-17,La Rayuela,,Tango,Instrumental,Odeón,,,,Julio De Caro,,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-09-21,Idolo Eterno,,Tango,Armando Guerrico,Odeón,,,,Fulvio Salamanca,Manuel Barros,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-09-21,Pensalo Bien,,Tango,Luis Correa,Odeón,,,,Juan Visciglio,Nolo Alberto,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
Fulvio Salamanca,Fulvio Salamanca y su Orquesta,1959-11-06,Ansiedad,,Vals,Armando Guerrico,Odeón,,,,José Sarabia,José Sarabia,,,Fulvio Salamanca,Italo Bessa,"Eduardo Corti, Miguel Carrasco, Julio Esbrés, Osvaldo Rizzo","Elvino Vardaro, Alfonso Bernava, Julio Graria, José Carli, Eugenio Napoli",
