Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Gennaro Esposito,Orq Tipica de Gennaro Esposito,1912-02-28,A Mi Pibito,,Tango,,Víctor,,H 672-1,63733-B,P. Ramirez,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1912,A Ti,,Vals,,Atlanta,,65160,190,Gerardo Metallo,,,,,,,,,,,,
Gennaro Esposito,Cuarteto de Genaro Esposito,1913,Aclamacion,,Vals,,Era,,62047,,Emil Waldteufel,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1913,Adelita,,Tango,,Era,,62059,,Juan Maglio,,,,,,,,,,,,
Gennaro Esposito,Orquesta Tipica Gennaro,1912,Alsina,,Tango,,Columbia,,57171,T 631,Antonio Lagomarsino,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1913,Amarrete,,Tango,,Atlanta,,65592,808,Mauricio Mignot,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1914,Cana con Todos,,Tango,,Era,,62496,,Esteban González,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1913,Canta Claro,,Tango,,Atlanta,,65593,809,Mauricio Mignot,,,,,,,,,,,,
Gennaro Esposito,Orquesta Tipica Tano Genaro,1918,Catamarca,,Tango,,Telephon,,,3121,Eduardo Arolas,,,,,,,,,,,,
Gennaro Esposito,Orquesta Tipica Gennaro,1912,Che... Bueno y Como Te Fue,,Tango,,Columbia,,57170,T 631,Antonio Lagomarsino,,,,,,,,,,,,
Gennaro Esposito,Cuarteto de Genaro Esposito,1913,Cuarteto Genaro (Crack Larrea),,Tango,,Era,,62034,,Genaro Esposito,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1914,Cuidado con la Pintura,,Tango,,Era,,62501,,F. Tiraso,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1912,Curda Completa,,Tango,,Atlanta,,65148,186,Roberto Firpo,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1912,De Madrugada,,Tango,,Atlanta,,65152,182,Roberto Firpo,,,,,,,,,,,,
Gennaro Esposito,Cuarteto de Genaro Esposito,1913,De Pura Cepa,,Tango,,Era,,62063,,Roberto Firpo,,,,,,,,,,,,
Gennaro Esposito,Genaro Esposito,1912,Dolorosa,,Vals,,Atlanta,,65206,192,Emil Waldteufel,,,,,,,,,,,,
Gennaro Esposito,Orq Tipica de Gennaro Esposito,1912,Don Samuel,,Tango,,Víctor,,H 312-1,63724-A,Samuel Castriota,,,,,,,,,,,,
Gennaro Esposito,Cuarteto de Genaro Esposito,1913,El Apache Argentino,,Tango,,Era,,62030,,Manuel Aróztegui,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1914,El Cachafaz,,Tango,,Era,,62495,,Manuel Aróztegui,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1913,El Calabozo,,Tango,,Era,,62039,,Augusto Gentile,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1915,El Chamuyo,,Tango,,Atlanta,,1a,3000,Francisco Canaro,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1913,El Cordobes,,Tango,,Atlanta,,65591,807,Mauricio Mignot,,,,,,,,,,,,
Gennaro Esposito,Orq Tipica de Gennaro Esposito,1912-02-28,El Crack Larrea,,Tango,,Víctor,,H 671-1,63722-B,Genaro Esposito,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1915,El Desalojo,,Tango,,Atlanta,,,3000,Augusto Gentile,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1913,El Electrico,,Tango,,Era,,62031,,Vicente Greco,,,,,,,,,,,,
Gennaro Esposito,"Quinteto Criollo ""Tano Genaro""",1912,El Entrerriano,,Tango,,Atlanta,,65157,183,Rosendo Mendizábal,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1913,El Fulero,,Tango,,Era,,62060,,Ricardo González,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1913,El Gavilan,,Tango,,Era,,62032,,Vicente Greco,,,,,,,,,,,,
Gennaro Esposito,Orq Tipica de Gennaro Esposito,1912-01-19,El Irresistible,,Tango,,Víctor,,H 309-1,INEDITA,Lorenzo Logatti,,,,,,,,,,,,
Gennaro Esposito,Orquesta Tipica Tano Genaro,1918,El Loco Julio,,Tango,,Telephon,,,3120,Genaro Vazquez,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1913,El Manantial,,Tango,,Era,,62040,,Genaro Esposito,,,,,,,,,,,,
Gennaro Esposito,Cuarteto de Genaro Esposito,1913,El Palenque,,Tango,,Era,,62064,,Genaro Esposito,,,,,,,,,,,,
Gennaro Esposito,Cuarteto Genaro Esposito,1913,El Radical,,Tango,,Era,,62062,,Arnaldo Barsanti,,,,,,,,,,,,
Gennaro Esposito,Orq Tipica de Gennaro Esposito,1912-02-28,El Radical,,Tango,,Víctor,,H 675-1,65037-A,Arnaldo Barsanti,,,,,,,,,,,,
Gennaro Esposito,Orquesta Tipica Gennaro,1912,El Rezagado,,Tango,,Columbia,,57169-1,S 2016,Orfeo Del Giudice,,,,,,,,,,,,
