Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Matrix,Disc
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/4/1950,La Clavada,,Tango,Instrumental,RCA Víctor,78rpm,Ernesto Zambonini,,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",93676,601962-B
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,5/4/1950,Recuerdo,,Tango,Instrumental,RCA Víctor,78rpm,Osvaldo Pugliese,Eduardo Moreno,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",93675,601962-A
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,6/21/1950,Como Abrazado A Un Rencor,,Tango,Ángel Díaz,RCA Víctor,78rpm,Rafael Rossi,Antonio Podestá,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",93776,601997-B
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,6/21/1950,Mi Refugio,,Tango,Instrumental,RCA Víctor,78rpm,Juan Cobián,,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",93775,601997-A
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,8/11/1950,Mala Junta,,Tango,Instrumental,RCA Víctor,78rpm,"Julio De Caro, Pedro Laurenz",,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",93939,602060-A
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,8/11/1950,Motivo De Vals,,Vals,Ángel Díaz,RCA Víctor,78rpm,Horacio Salgán,Carlos Bahr,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",93940,602060-B
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,12/29/1950,Don Agustín Bardi,,Tango,Instrumental,RCA Víctor,78rpm,Horacio Salgán,,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",94033,680228-B
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,12/29/1950,Gallo Ciego,,Tango,Instrumental,RCA Víctor,78rpm,Agustín Bardi,,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",94032,680228-A
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/8/1951,Pobre Colombina,,Tango,Horacio Deval,RCA Víctor,78rpm,"Virgilio Carmona, Emilio Falero",Emilio Falero,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",94340,680147-A
Horacio Salgán,Horacio Salgán y su Gran Orquesta Típica,2/8/1951,Vieja Recova,,Tango,Ángel Díaz,RCA Víctor,78rpm,Rodolfo Sciammarella,Enrique Cadícamo,,50-57 Típica,Horacio Salgán,Rafael Ferro,"Ernesto Baffa, Américo Figola, Antonio Scelza, Mario Montagna, Ismael Paz (Bass Clarinet)","Víctor Felice, Ariol Aroldo Gessaghi, José Paz, David Aszenmil, Ramón Coronel, Francisco Sammartino (Viola), Ignacio Fuster (Cello)","Piano, Bass, 4 Bandoneons, 5 Violins, Bass Clarinet, Viola, Cello",94341,680147-B
