Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Hugo Díaz,Hugo Díaz,1972,Amurado,,Tango,Instrumental,Tonodisc,,"Pedro Maffía, Pedro Laurenz",José De Grandis,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,El Día Que Me Quieras,The Day You Love Me,Tango,Instrumental,Tonodisc,,Carlos Gardel,Alfredo Le Pera,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,El Llorón,,Milonga,Instrumental,Tonodisc,,Juan Maglio,Enrique Cadícamo,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Inspiración,Inspiración,Tango,Instrumental,Tonodisc,,Peregrino Paulos,Luis Rubistein,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,La Última Curda,,Tango,Instrumental,Tonodisc,,Aníbal Troilo,Cátulo Castillo,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Malena,,Tango,Instrumental,Tonodisc,,Lucio Demare,Homero Manzi,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Milonga Triste,,Milonga,Instrumental,Tonodisc,,Sebastián Piana,Homero Manzi,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Nostalgias,,Tango,Instrumental,Tonodisc,,Juan Cobián,Enrique Cadícamo,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Palomita Blanca,,Vals,Instrumental,Tonodisc,,Anselmo Aieta,Francisco Jiménez,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Recuerdo,,Tango,Instrumental,Tonodisc,,Osvaldo Pugliese,Eduardo Moreno,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Sur,,Tango,Instrumental,Tonodisc,,Aníbal Troilo,Homero Manzi,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1972,Uno,,Tango,Instrumental,Tonodisc,,Mariano Mores,Enrique Discépolo,,72 Vol I,,,,,
Hugo Díaz,Hugo Díaz,1973,Cafetín De Buenos Aires,,Tango,Instrumental,Tonodisc,,"Mariano Mores, Enrique Discépolo","Mariano Mores, Enrique Discépolo",,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,El Adiós,,Tango,Instrumental,Tonodisc,,Maruja Huergo,Virgilio Clemente,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,El Último Organito,,Tango,Instrumental,Tonodisc,,"Acho Manzi, Homero Manzi","Acho Manzi, Homero Manzi",,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,La Casita De Mis Viejos,La Casita De Mis Padres,Tango,Instrumental,Tonodisc,,Juan Cobián,Enrique Cadícamo,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,La Mariposa,gorjeos,Tango,Instrumental,Tonodisc,,Pedro Maffía,Celedonio Flores,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,Mi Noche Triste,,Tango,Instrumental,Tonodisc,,Samuel Castriota,Pascual Contursi,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,Pedacito De Cielo,,Vals,Instrumental,Tonodisc,,"Enrique Francini, Héctor Stamponi",Homero Expósito,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,Rondando Tu Esquina,,Tango,Instrumental,Tonodisc,,Charlo,Enrique Cadícamo,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,Silbando,,Tango,Instrumental,Tonodisc,,"Cátulo Castillo, Sebastián Piana",José Castillo,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,Sueño De Juventud,,Vals,Instrumental,Tonodisc,,Enrique Discépolo,Enrique Discépolo,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,Sus Ojos Se Cerraron,,Tango,Instrumental,Tonodisc,,Carlos Gardel,Alfredo Le Pera,,73 Vol II,,,,,
Hugo Díaz,Hugo Díaz,1973,Taquito Militar,,Milonga,Instrumental,Tonodisc,,Mariano Mores,,,73 Vol II,,,,,
