Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Héctor Varela,Orquesta Héctor Varela,1950-12-04,El Flete,,Tango,Instrumental,Pampa,,,,Vicente Greco,Gerónimo Gradito,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1950-12-04,El Rápido,,Tango,Instrumental,Pampa,,,,Roberto Firpo,,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1950-12-04,Tal Para Cual,,Tango,Armando Laborde,Pampa,,,,Héctor Varela,Carlos Waiss,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1950-12-04,Un Bailongo,,Milonga,Armando Laborde Y Rodolfo Lesica,Pampa,,,,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1950-12-15,Farolito Viejo,,Tango,Armando Laborde,Pampa,,,,Luis Teisseire,José Riú,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1950-12-15,La Trilla,,Tango,Instrumental,Pampa,,,,Eduardo Arolas,Héctor Polito,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-05-28,A la Gran Muñeca,,Tango,Instrumental,Pampa,,,,Jesús Ventura,Miguel Osés,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-05-28,Yuyo Brujo,,Tango,Armando Laborde,Pampa,,,,Benjamín García,Sos Taita,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-07-17,El Bulín de la Calle Ayacucho,,Tango,Rodolfo Lesica,Pampa,,,,"José Servidio, Luis Servidio",Celedonio Flores,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-07-17,Sábado Inglés,,Tango,Instrumental,Pampa,,,,Juan Maglio,Eugenio Cárdenas,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-09-24,Canaro en París,Canaro en París,Tango,Instrumental,Pampa,,,,"Alejandro Scarpino, Juan Caldarella",José Scarpino,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-09-24,Noches de Cabaret,,Tango,Armando Laborde,Pampa,,,,Alberto Miguel,Antonio Fiasche,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-10-26,Criolla Linda,,Tango,Instrumental,Pampa,,,,"Vicente Gorrese, Bernardo Germino",Luis Rubistein,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-10-26,Paciencia,,Tango,Rodolfo Lesica,Pampa,,,,Juan D'Arienzo,Francisco Gorrindo,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-11-15,Anoche a las Dos,,Tango,Armando Laborde,Pampa,,,,Raúl Hoyos,Roberto Cayol,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-11-15,El Africano,,Tango,Instrumental,Pampa,,,,Eduardo Pereyra,Francisco Lío,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-11-15,La Carreta,,Tango,Armando Laborde Y Rodolfo Lesica,Pampa,,,,"José Servidio, Luis Servidio",Francisco Jiménez,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1951-11-15,Suipacha,,Tango,Instrumental,Pampa,,,,Eduardo Arolas,Jesús Blanco,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-01-03,La Matraca,,Milonga,Instrumental,Pampa,,,,"Héctor Varela, Alberto Nery",,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-01-03,Patio Porteño,,Vals,Armando Laborde Y Rodolfo Lesica,Pampa,,,,"Alfonso Lacueva, Julio Nistal","Alfonso Lacueva, Julio Nistal",,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-05-07,El As de los Ases,,Tango,Rodolfo Lesica,Pampa,,,,Eduardo Pereyra,Celedonio Flores,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-05-07,Tierra Negra,,Tango,Instrumental,Pampa,,,,"Graciano De Leone, Juan Noli",Francisco Bastardi,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-05-23,Noches de Cabaret,,Tango,Rodolfo Lesica,Pampa,,,,Alberto Miguel,Antonio Fiasche,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-05-23,Yuyo Brujo,,Tango,Jorge Garré,Pampa,,,,Benjamín García,Sos Taita,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-06-09,A la Gran Muñeca,,Tango,Instrumental,Pampa,,,,Jesús Ventura,Miguel Osés,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-06-09,Canaro en París,Canaro en París,Tango,Instrumental,Pampa,,,,"Alejandro Scarpino, Juan Caldarella",José Scarpino,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-06-09,El Flete,,Tango,Instrumental,Pampa,,,,Vicente Greco,Gerónimo Gradito,,50-54 Pampa,,,,,
Héctor Varela,Orquesta Héctor Varela,1952-06-13,Don Orlando,,Tango,Instrumental,Pampa,,,,"Héctor Varela, Alberto Nery",,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-06-13,Llanto de Amor,,Vals,Instrumental,Pampa,,,,Francisco Peña,Juan Caruso,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-06-13,Tal Para Cual,,Tango,Rodolfo Lesica,Pampa,,,,Héctor Varela,Carlos Waiss,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-08-21,La Chacarera,,Tango,Instrumental,Pampa,,,,"José Servidio, Juan Maglio",Juan Caruso,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-08-21,Novia Provinciana,,Tango,Argentino Ledesma,Pampa,,,,"Casimiro Dávila, Juan Pomati",Horacio Sanguinetti,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-09-19,A Tres Bandas,,Tango,Instrumental,Pampa,,,,Bautista Bonacossa,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-09-19,Champagne Tango,,Tango,Instrumental,Pampa,,,,Manuel Aróztegui,,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-12-19,Que Sigan Charlando,,Tango,Rodolfo Lesica,Pampa,,,,Héctor Varela,Carlos Waiss,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
Héctor Varela,Orquesta Héctor Varela,1952-12-19,Yo También,,Tango,Argentino Ledesma,Pampa,,,,Luis Visca,Luis Rubistein,,50-54 Pampa,César Zagnoli,,"Héctor Varela, Antonio Marchese, Alberto San Miguel","Hugo Baralis, Mario Abramovich","Piano, 3 Bandoneons, 2 Violins"
