Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-02,Decadencia Criolla,,Vals,Ignacio Corsini,Víctor,Acoustic,H 480-1,63738-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-02,Noche Silenciosa,,Vals Campero,Ignacio Corsini,Víctor,Acoustic,H 481-1,63717-A / 69965-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,Acuérdate de Mi,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 502-1,65613-B / 69964-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,"De lo Lindo, lo Mejor",,Estilo,Ignacio Corsini,Víctor,Acoustic,H 489-1,65396,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,El Amor con el Dinero,,Canción,Ignacio Corsini,Víctor,Acoustic,H 491-1,63733-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,El Boyero en la Campaña,,Canción,Ignacio Corsini,Víctor,Acoustic,H 494-1,63899-A,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,En Mi Rancho,,Canción,Ignacio Corsini,Víctor,Acoustic,H 955-1,65616-B / 69971-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,La Criollita del Pago,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 493-1,65399 / 69964-B,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,Las Violetas,,Vals,Ignacio Corsini,Víctor,Acoustic,H 490-1,63712-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,Quejas Camperas,,Canción,Ignacio Corsini,Víctor,Acoustic,H 501-1,63726-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,Sobre la Tumba del Hijo,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 500-1,65490,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-03,Sueño Magnifico,,Comico,Ignacio Corsini,Víctor,Acoustic,H 492-1,63722-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,A Mi China,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 626-1,65664-B / 69972-B,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,A Mi Madre,,Canción,Ignacio Corsini,Víctor,Acoustic,H 624-1,65164-B,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,Bosquejos Gauchos,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 627-1,63899-B,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,Casta Paloma,,Habanera,Ignacio Corsini,Víctor,Acoustic,H 620-1,65614-B / 69971-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,Delirio,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 623-1,65054-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,Deseos,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 621-1,65663-A,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,El Paisano,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 622-1,63869-B / 69965-B,Ignacio Corsini,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1912-02-20,La Conscripción,,Estilo,Ignacio Corsini,Víctor,Acoustic,H 625-1,65053-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,A Mi Palomita,,Milonga,Ignacio Corsini,Odeón,Acoustic,640,208-B,Ignacio Corsini,Jose Maria Aguilar,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Al Pié de la Reja,,Vals,Ignacio Corsini,Odeón,Acoustic,641,207-B,Ignacio Corsini,Jose Maria Aguilar,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Amurado Me Dejaste,,Tango,Ignacio Corsini,Odeón,Acoustic,639,208-A,Roque Biafore,Roque Biafore,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,China Hereje,,Canción,Ignacio Corsini,Odeón,Acoustic,521,205-A,Juan Pedro Lopez,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,El Último Adiós,,Vals,Ignacio Corsini,Odeón,Acoustic,408,202-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Flor Marchita,,Milonga,Ignacio Corsini,Odeón,Acoustic,479,204-A,Ambrosio Rio,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,La Mañanita,,Milonga,Ignacio Corsini,Odeón,Acoustic,638,207-A,Ignacio Corsini,Jose Maria Aguilar,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,La Muerte de Milonguita,,Milonga,Ignacio Corsini,Odeón,Acoustic,478,203-A,F. Ronaca,Hector Bonatti,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Lamento,,Estilo,Ignacio Corsini,Odeón,Acoustic,481,204-B,Ambrosio Rio,Ignacio Corsini,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Mis Ilusiones Perdidas,,Estilo,Ignacio Corsini,Odeón,Acoustic,480,203-B,Ignacio Corsini,Ambrosio Rio,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Pobre Mi China,,Canción,Ignacio Corsini,Odeón,Acoustic,406,202-B,Luciano Rios,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Popular Tradición de Esta Tierra,,Vals,Ignacio Corsini,Odeón,Acoustic,405,201-A,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Por que Me Dejaste?,,Estilo,Ignacio Corsini,Odeón,Acoustic,522,205-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Recordando,,Estilo,Ignacio Corsini,Odeón,Acoustic,523-1,206-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Tortolita y Chingolo,,Estilo,Ignacio Corsini,Odeón,Acoustic,407,201-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1921,Un Lamento,,Tango,Ignacio Corsini,Odeón,Acoustic,520,206-A,Graciano de Leone,Pedro Numa Cordoba,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1922,China Hereje,,Canción,Ignacio Corsini,Odeón,Acoustic,1083,205-A,Juan Pedro Lopez,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1922,De Mil Amores,,Tango,Ignacio Corsini,Odeón,Acoustic,970-1,18402-A,Luis Teisseire y Juan de Dios Filiberto,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1922,Despedida,,Estilo,Ignacio Corsini,Odeón,Acoustic,793,18401-B,Ignacio Corsini,,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1922,El Beso de Muerte,,Tango,Ignacio Corsini,Odeón,Acoustic,979,18411-B / 213-A,Osman Perez Freire,Antonio Martinez Viergol,,,,,,,,,,,
Ignacio Corsini,Ignacio Corsini y sus Guitarras,1922,El Poder de Tus Ojos,,Estilo,Ignacio Corsini,Odeón,Acoustic,912,212-B,Ignacio Corsini,Miguel Correa,,,,,,,,,,,
