Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
José García,José García y sus Zorros Grises,1942-01-23,El Mentiroso,,Corrido,Alfredo Rojas,Odeón,,,,José García,"Luis Fernández, Ángel Cabral",,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-01-23,Fea,,Tango,Alfredo Rojas,Odeón,,,,Horacio Pettorossi,Alfredo Navarrine,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-03-17,El Retirao,,Tango,Instrumental,Odeón,,,,Carlos Posadas,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-03-17,Lagarterana,,Jota,Alfredo Rojas y Nilda Wilson,Odeón,,,,Jacinto Guerrero,"Juan Ignacio Luca de Tena, Enrique Reoyo",,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-04-17,Batallón de Solteros,,Corrido Marcha,Alfredo Rojas,Odeón,,,,,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-04-17,El Distinguido Ciudadano,,Tango,Instrumental,Odeón,,,,Peregrino Paulos,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-06-17,Préstame Tu Pañuelo,,Vals,Alfredo Rojas,Odeón,,,,Ángel Ortiz de Villajos Cano,"Ángel Ortiz de Villajos Cano, Alfonso Jofre",,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-06-17,Sólo Compasión,,Tango,Alfredo Rojas,Odeón,,,,Benjamín Holgado Barrio,Luis Castiñeira,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-07-27,Junto a Tu Corazón,,Tango,Alfredo Rojas,Odeón,,,,"Enrique Francini, Héctor Stamponi",José María Contursi,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-07-27,Verde Luna,,Rumba Bolero,Nilda Wilson,Odeón,,,,Vicente Gómez,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-09-17,En un Bosque de la China,,Rumba,Alfredo Rojas,Odeón,,,,"Roberto Ratto, Benjamín Yankelevich",Roberto Ratto,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-09-17,No Pudo Ser,,Tango,Alfredo Rojas,Odeón,,,,José García,Mario Battistella,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-10-27,"A lo Mejor, Quién Te Dice?",,Tango,Alfredo Rojas,Odeón,,,,Domingo Manuel Varela Conte,Celedonio Flores,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-10-27,Zorzal,,Milonga,Alfredo Rojas,Odeón,,,,Dorita Zárate,Dorita Zárate,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-11-04,"Adiós, Adiós, Corazón",,Tango,Alfredo Rojas,Odeón,,,,"Emilio Barbato, Félix Lipesker",Lito Bayardo,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1942-11-04,Felicita,,Milonga,Alfredo Rojas,Odeón,,,,,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-01-13,El 11,,Tango,Instrumental,Odeón,,,,Osvaldo Fresedo,Emilio Augusto Oscar Fresedo,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-01-13,Zorro Plateado,,Tango,Alfredo Rojas,Odeón,,,,Charlo,Enrique Cadícamo,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-02-20,Nocturno de Tango,,Tango,Alfredo Rojas,Odeón,,,,,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-02-20,Para Negros Solamente,,Milonga,Alfredo Rojas,Odeón,,,,José Servidio,Luis Caruso,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-05-15,María Triniá,,Vals,Alfredo Rojas,Odeón,,,,José García,Roberto Ratto,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-05-15,Tristeza Marina,,Tango,Alfredo Rojas,Odeón,,,,"José Dames, Roberto Flores",Horacio Sanguinetti,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-06-22,"Hula, la Misteriosa",,Milonga Candombe,Alfredo Rojas,Odeón,,,,Juan José Guichandut,Horacio Sanguinetti,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-06-22,No Creas,,Tango,Alfredo Rojas,Odeón,,,,Benjamín Holgado Barrio,Luis Castiñeira,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-08-13,Anselmo Acuña el Resero,,Tango,Alfredo Rojas,Odeón,,,,"Félix Laurenz, Pedro Casella",Luis Caruso,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-08-13,Candombe Rioplatense,,Milonga Candombe,Alfredo Rojas,Odeón,,,,Pintín Castellanos,Carmelo Santiago,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-11-12,Esta Noche de Luna,,Tango,Alfredo Rojas,Odeón,,,,"Graciano Gómez, José García",Héctor Marcó,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1943-11-12,Si Alguna Vez,,Vals,Alfredo Rojas,Odeón,,,,Antonio Sureda,Gerónimo Sureda,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-01-17,Cuna de Tango,,Tango,Alfredo Rojas,Odeón,,,,Francisco Barroso,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-01-17,Farolito de Papel,,Tango,Alfredo Rojas,Odeón,,,,"Teófilo Lespés, Zenon Mario Lespés",Francisco García Jiménez,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-04-07,Calla Bandoneón,,Tango,Alfredo Rojas,Odeón,,,,Carlos Ángel Lázzari,Oscar Rubens,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-04-07,De Corte Antiguo,Aguantalo Si Podés,Tango,Alfredo Rojas,Odeón,,,,Anselmo A. Aieta,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-06-01,Lloran las Campanas,,Tango,Alfredo Rojas,Odeón,,,,,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-06-01,Quién No Tuvo un Amor,,Tango,Alfredo Rojas,Odeón,,,,Vicente Demarco,Vicente Demarco,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-08-09,No Estamos Solos,,Tango,Alfredo Rojas,Odeón,,,,Hipólito Basilio,Carlos Bahr,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-08-09,Si Escucharas Mis Amores,,Tango,Alfredo Rojas,Odeón,,,,,,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
José García,José García y sus Zorros Grises,1944-10-02,Motivo Sentimental,,Tango,Alfredo Rojas,Odeón,,,,Emilio Brameri,Carlos Bahr,,,Carlos Figari,Rodolfo Morán,"Nicolás Castillo, Luis Masturini, Héctor González, Pablo García","Elías Slom, Rodolfo Filoso, Carlos Deambroggio, Ítalo Morán","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
