Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-10,Desde el Alma,,Vals,Instrumental,Sondor,,,,Rosita Melo,"Víctor Piuma Vélez, Homero Manzi",,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-10,El Amanecer,,Tango,Instrumental,Sondor,,,,Roberto Firpo,,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-10,El Choclo,,Tango,Instrumental,Sondor,,,,Ángel Villoldo,"Enrique Santos Discépolo, Juan Carlos Marambio Catán",,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-10,Olga,,Vals,Instrumental,Sondor,,,,Francisco Peña,Francisco Peña,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-14,Ataniche,,Tango,Instrumental,Sondor,,,,Ernesto Ponzio,,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-14,Cicatrices,,Tango,Alberto Casares,Sondor,,,,Adolfo Rafael Avilés,Enrique Maroni,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-14,Don Juan,,Tango,Instrumental,Sondor,,,,Ernesto Ponzio,Ricardo Podestá,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-14,La Puñalada,,Milonga,Instrumental,Sondor,,,,Pintín Castellanos,Celedonio Flores,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1948-08-14,Vieja Milonga,,Milonga,Instrumental,Sondor,,,,,,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1949,El Llorón,,Tango,Instrumental,Sondor,,,,Juan Félix Maglio,Enrique Cadícamo,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1949,Sábado Inglés,,Tango,Instrumental,Sondor,,,,Juan Félix Maglio,Eugenio Cárdenas,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
Juan Cambareri,Juan Cambareri y su Cuarteto Típico,1949-09,El Entrerriano,,Tango,Instrumental,Sondor,,,,Rosendo Mendizábal,Ernesto Temes,,,Juan Rizzo,Fernando Porcelli,Juan Cambareri,José Fernández,"Piano, Bass, Bandoneon, Violin",,,,
