Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Juan Carlos Cobián,Orquesta Cobián,1922,Mi Refugio,,Tango,Instrumental,Electra,Acoustic,,,Juan Cobián,,,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Orquesta Cobián,1922,Almita Herida,,Tango,Instrumental,Electra,Acoustic,,,Juan Cobián,,,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Orquesta Cobián,1922,Bohemia,,Tango,Instrumental,Electra,Acoustic,,,Juan Cobián,,,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Orquesta Cobián,1922,Carne y Uña,,Tango,Instrumental,Electra,Acoustic,,,Juan Cobián,,,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Orquesta Cobián,1922,Carne Cansada,,Tango,Instrumental,Electra,Acoustic,,2003,Augusto Gentile,,,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Orquesta Cobián,1922,Déjeme Que la Acompañe,,Tango,Instrumental,Electra,Acoustic,,2003,Augusto Gentile,Carlos Gallo,,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Orquesta Cobián,1922,L'adivina,,Tango,Instrumental,Electra,Acoustic,,,Juan Cobián,,,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Orquesta Cobián,1922,Los Dopados,,Tango,Instrumental,Electra,Acoustic,,,Juan Cobián,"Raúl Doblas, Alberto Weisbach",,22-23 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Luis Petrucelli, Carlos Marcucci","Remo Bolognini, Agesilao Ferrazzano, Eduardo Armani","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Juan Carlos Cobián,Juan Carlos Cobián,1925,Letanía,,Tango,,Okeh,Acoustic,9264-B,Cruz Record 1A,Juan Cobián,,,22-23 Acoustic,Juan Carlos Cobián,,,,Piano,,,,
Juan Carlos Cobián,Juan Carlos Cobián,1925,Ironía,,Tango,,Okeh,Acoustic,9265-B,Cruz Record 1B,Gerardo Rodríguez,,,22-23 Acoustic,Juan Carlos Cobián,,,,Piano,,,,
