Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Juan Maglio,Cuarteto Juan Maglio,1912,Adelita,,Tango,Instrumental,Columbia,,57205,Columbia TX767,Juan Maglio,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,American Cirque Exelsior,,Tango,Instrumental,Columbia,,57206,Columbia TX760,Juan Maglio,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,Armenonville,,Tango,Instrumental,Columbia,,56606,Columbia T520,Juan Maglio,José Fernández,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,El Alero,,Tango,Instrumental,Columbia,,57208,Columbia TX764,Juan Maglio,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,El Caburé,,Tango,Instrumental,Columbia,,56604,Columbia S2000,Arturo De Bassi,Roberto Cayol,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,El Cachafaz,,Tango,Instrumental,Columbia,,57195,Columbia TX760,Manuel Aróstegui,Ángel Villoldo,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,El Trece,El 13,Tango,Instrumental,Columbia,,,,Alberico Spátola,Ángel Villoldo,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,El Zurdo,,Tango,Instrumental,Columbia,,56616,Columbia T539,Juan Maglio,José Fernández,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,Emancipación,Emancipacion,Tango,Instrumental,Columbia,,56608,Columbia T522,Alfredo Bevilacqua,Antonio Polito,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,Independencia,,Tango,Instrumental,Columbia,,56607,Columbia T521,Alfredo Bevilacqua,Antonio Polito,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,La Catrera,,Tango,Instrumental,Columbia,,56605,Columbia T521,Arturo De Bassi,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Juan Maglio Solo,1912,La Sonámbula,,Tango,Instrumental,Columbia,,,,Pascual Cardarópoli,,,12-17 Acoustic,,,Juan Maglio,,Bandoneon
Juan Maglio,Cuarteto Juan Maglio,1912,Paraná,,Tango,Instrumental,Columbia,,59037,Columbia TX788,Manuel Aróstegui,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,Quasi Nada,El Combate / Cuasi Nada,Tango,Instrumental,Columbia,,,,Juan Maglio,Francisco Brancatti,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,Tacuari,,Tango,Instrumental,Columbia,,57210,Columbia TX764,Juan Maglio,,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
Juan Maglio,Cuarteto Juan Maglio,1912,Un Copetín,,Tango,Instrumental,Columbia,,56609,Columbia T522,Juan Maglio,José Fernández,,12-17 Acoustic,,,"Juan Maglio, Carlos Hernani Macchi (Flute)","José Bonano, Luciano Ríos (Guitar)","Bandoneon, Violin, Flute, Guitar"
