Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1944-08-18,Claveles Mendocinos,,Vals,Luis Mendoza,Víctor,78rpm,79822,60-0582,Alfredo Pelaia,Alfredo Pelaia,,,,,,,,,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1944-08-18,Oriente,,Tango,Luis Mendoza,Víctor,78rpm,79821,60-0582,Juan Sánchez Gorio,Horacio Sanguinetti,,,,,,,,,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1945-01-04,Milonga con Variación,Milonga con Variaciones,Tango,Luis Mendoza,Víctor,78rpm,80518,60-0618,Francisco Canaro,,,,,,,,,,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1945-01-04,No Me Importa Su Amor,,Tango,Luis Mendoza,Víctor,78rpm,80519,60-0618,José Dames,Enrique Cadícamo,,,,,,,,,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1946-03-20,La Canción de Mi Tristeza,,Tango,Luis Mendoza,Víctor,78rpm,82036,60-0904,Juan Sánchez Gorio,Horacio Sanguinetti,,,,,,,,,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1946-03-20,Qué Lindo Domingo,,Tango,Luis Mendoza,Víctor,78rpm,82037,60-0904,Verón Sauce,Julio Medrano,,,,,,,,,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1949,Santa Mía,,Tango,Osvaldo Bazán,,,,,Ángel Domínguez,José Rótulo,,,,,,,,,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1951-09,Comodoro Rivadavia,,Vals,"Luis Mendoza, Osvaldo Bazán",Orfeo,78rpm,0PT-8,6001,"Luis Mendoza, Juan Sánchez Gorio",Reinaldo Yiso,,,Jorge Dragone,Jorge Salinas,"Juan Sánchez Gorio, Angel Baya, Marcial Buscaglia, José Sanchez","Carlos Cutaglia, Enrique Ramos, Pedro Alase, Julio Alvarez","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1951-09,Rodríguez Peña,,Tango,Instrumental,Orfeo,78rpm,0PT-7,6001,Vicente Greco,Juan Miguel Velich,,,Jorge Dragone,Jorge Salinas,"Juan Sánchez Gorio, Angel Baya, Marcial Buscaglia, José Sanchez","Carlos Cutaglia, Enrique Ramos, Pedro Alase, Julio Alvarez","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Juan Sánchez Gorio,Orquesta Juan Sánchez Gorio,1952,Claveles Mendocinos,,Vals,Luis Mendoza,Orfeo,78rpm,60PT-203,6006,Alfredo Pelaia,Alfredo Pelaia,,,,,,,,,,,
