Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Buscándote,,Tango,Juan Villarreal,,Digital,,,Lalo Scalise,Lalo Scalise,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Caricias,,Tango,Juan Villarreal,,Digital,,,Juan Martí,Alfredo Bigeschi,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Tu Pálida Voz,,Vals,Juan Villarreal,,Digital,,,Charlo,Homero Manzi,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Nunca Tuvo Novio,,Tango,Juan Villarreal,,Digital,,,Agustín Bardi,Enrique Cadícamo,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Claudinette,,Tango,Juan Villarreal,,Digital,,,Enrique Delfino,Julián Centeya,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Bajo un Cielo de Estrellas,,Vals,Juan Villarreal,,Digital,,,Enrique Mario Francini; Héctor Stamponi,José María Contursi,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Farol,,Tango,Juan Villarreal,,Digital,,,Virgilio Expósito,Homero Expósito,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Marion,Marión,Tango,Juan Villarreal,,Digital,,,Luis Rubistein,Luis Rubistein,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Boulevard Voltaire,,Tango,Juan Villarreal,,Digital,,,,,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
Juan Villarreal,Dúo Villarreal-Crom,2012-09-01,Tristeza Marina,,Tango,Juan Villarreal,,Digital,,,José Dames,Horacio Sanguinetti,,2012 De Corte Romántico,,,,,Juan Villarreal (voz); Patricio Noé Crom (guitarra),,,,
