Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Julio Pollero,Julio Pollero y su OT,1927-09-07,El Tiburon,,Tango,Coreado,Victor,78rpm,BAVE 1417-2,79922-B,Julio Fava Pollero-Luis D'Abraccio-Enrique Ozedi,,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1927-09-07,Felicia,,Tango,Instrumental,Victor,78rpm,BAVE 1416-2,79922-A,Enrique Saborido,Carlos Mauricio Pacheco,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1927-12-05,El Santiagueño,,Tango,Instrumental,Victor,78rpm,BAVE 1581-2,79964-B,Hortense Simier,,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1927-12-05,Gringa,,Tango,Instrumental,Victor,78rpm,BAVE 1579-2,79963-B,Lauro E. Olivera Viera,Alberto Munilla,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1927-12-05,Mis Recuerdos,,Tango,Antonio Buglione,Victor,78rpm,BAVE 1580-2,79964-A,Jose y Luis Servidio,Alfredo Faustino Roldan,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1927-12-05,Tristeza Nocturna,,Tango,Antonio Buglione,Victor,78rpm,BAVE 1578-2,79963-A,Antonio Buglione,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,Aquel Turbio Cafetín,,Tango,Instrumental,Victor,78rpm,BAVE-44176-2,80898,Juan Emilio Nervo,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,De Estirpe Porteña,,Tango,Instrumental,Victor,78rpm,BAVE-44024-2,80822,Rosita Quiroga,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,En el Baile Te Vi,,Tango,Instrumental,Victor,78rpm,BAVE-44152-2,80886,Vicente Sassano,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,Escucha Bien,,Tango,Instrumental,Victor,78rpm,BAVE-44177-2,80898,Pedro Verges,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,La Canchera,,Tango,Instrumental,Victor,78rpm,BAVE-44054-2,80837,Agustin S. Caro,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,No Ande con Rodeos,,Tango,Instrumental,Victor,78rpm,BAVE-44025-2,80822,Adela Tripoli,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,Noche de San Juan,,Tango,Instrumental,Victor,78rpm,BAVE-44153-2,80886,"J. C. Ginzo, Roberto Dolard",,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,Pobre Mascarita,,Tango,Instrumental,Victor,78rpm,BAVE-44003-1,80811,"Salvador Granata, Orlando Romanelli",,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,Qué Vachaché,,Tango,Instrumental,Victor,78rpm,BAVE-44002-2,80811,Enrique Santos Discépolo,,,,,,,,,,,,
Julio Pollero,Orquesta Típica Julio Pollero,1928,Sonaste Viejo,,Tango,Instrumental,Victor,78rpm,BAVE-44055-2,80837,Antonino Adelino Cipolla,,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-02-01,Bandoneon,,Tango,Con Canto,Victor,78rpm,BAVE 1634-1,79991-A,Pedro Maffia-Sebastian Piana-Jose Gonzalez Castillo,,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-02-01,El Trovero,,Tango,Instrumental,Victor,78rpm,BAVE 1635-2,79991-B,Julio Fava Pollero,Benjamin Tagle Lara,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-02-01,La Papita,,Tango,Antonio Buglione,Victor,78rpm,BAVE 1632-2,79990-A,Nicolas Di Massi,Francisco Alfredo Filiberto Marino,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-02-01,Ya No Soy Mas Aquel,,Tango,Instrumental,Victor,78rpm,BAVE 1633-2,79990-B,Alberto Carbone,,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-03-15,Pobre Mascarita,,Tango,Instrumental,Victor,78rpm,44003-1,80811-B,Salvador Granata,Orlando Romanelli,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-03-15,Que Vachache?,,Tango,Instrumental,Victor,78rpm,44002-2,80811-A,Enrique Santos Discepolo,,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-03-28,De Estirpe Porteña,,Tango,Instrumental,Victor,78rpm,44024-2,80822-A,Rosita Quiroga,Celedonio Esteban Flores,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-03-28,No Ande con Rodeos,,Tango,Instrumental,Victor,78rpm,44025-2,80822-B,Adela Tripoli,,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-04-30,La Canchera,,Tango,Instrumental,Victor,78rpm,44054-2,80837-A,Agustin Santiago Caro,Geronimo Gradito,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-04-30,"Sonaste, Viejo!...",,Tango,Instrumental,Victor,78rpm,44055-2,80837-B,Antonio Adelino Cipolla,Francisco Antonio Bastardi,,,,,,,,,,,
Julio Pollero,Julio Pollero y su OT,1928-06-13,En el Baile Te Vi,,Tango,Instrumental,Victor,78rpm,44152-2,80886-A,Vicente Sassano,,,,,,,,,,,,
