Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1958,Tu Responso,Responso,Tango,Instrumental,,,,,Aníbal Troilo,,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1959-10-01,Canción Desesperada,,Tango,Susy Leiva,,,,,Enrique Santos Discépolo,Enrique Santos Discépolo,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1959-10-01,Cuartito Azul,,Tango,Susy Leiva,,,,,Mariano Mores,Mario Battistella,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1959-10-01,En Esta Tarde Gris,,Tango,Susy Leiva,,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1959-10-01,Sin Palabras,,Tango,Susy Leiva,,,,,Mariano Mores,Enrique Santos Discépolo,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-05-30,Dicha Pasada,,Tango,Julio Sosa,,,,,Guillermo Barbieri,Guillermo Barbieri,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-05-30,Rencor,,Tango,Julio Sosa,,,,,Charlo,Luis César Amadori,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-06-09,As de Cartón,,Tango,Julio Sosa,,,,,"Juan Manuel González, Luis Viapiana",Roberto Aubriot Barboza,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-06-12,En la Madrugada,,Tango,Julio Sosa,,,,,,,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-06-12,Mañana Iré Temprano,,Tango,Julio Sosa,,,,,Enrique Francini,Carlos Bahr,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-07-25,Dicen que Dicen,,Tango,Julio Sosa,,,,,Enrique Delfino,Alberto J. Ballesteros,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-07-25,Quién Hubiera Dicho!,,Tango,Julio Sosa,,,,,Rodolfo Sciammarella,Luis César Amadori,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-08-10,Contramarca,,Tango,Julio Sosa,,,,,Rafael Rossi,Francisco Brancatti,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-08-10,Recordándote,,Tango,Julio Sosa,,,,,Guillermo Barbieri,José Pedro de Grandis,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-08-18,Sus Ojos Se Cerraron,,Tango,Julio Sosa,,,,,Carlos Gardel,Alfredo Le Pera,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-08-24,"Dios Te Salve, M'hijo",,Tango,Julio Sosa,,,,,"Agustín Magaldi, Pedro Noda",Luis Acosta García,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1961-08-24,Mala Suerte,,Tango,Julio Sosa,,,,,Francisco Lomuto,Francisco Gorrindo,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-01-17,Levanta la Frente,,Tango,Julio Sosa,,,,,,,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-04-06,Secreto,,Tango,Julio Sosa,,,,,Enrique Santos Discépolo,Enrique Santos Discépolo,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-04-06,Tu Pálido Final,,Tango,Julio Sosa,,,,,,,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-04-11,Cachadora,,Tango,Julio Sosa,,,,,Francisco Lomuto,Francisco Lomuto,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-04-11,Mano a Mano,,Tango,Julio Sosa,,,,,"Carlos Gardel, José Razzano",Celedonio Flores,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-04-17,Tarde,,Tango,Julio Sosa,,,,,José Canet,José Canet,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-04-19,Amurado,,Tango,Julio Sosa,,,,,"Pedro Maffia, Pedro Laurenz",José Pedro de Grandis,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-04-19,Monserga,,Tango,Julio Sosa,,,,,Américo Viglione,Ernesto Cardenal,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-05-03,Canchero,,Tango,Julio Sosa,,,,,Arturo De Bassi,Celedonio Flores,,,,,,,,,,,
Leopoldo Federico,Leopoldo Federico y su Orquesta Típica,1962-05-03,Que Me Quiten lo Bailao,,Tango,Julio Sosa,,,,,Miguel Bucino,Miguel Bucino,,,,,,,,,,,
