Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Libertad Lamarque,Libertad Lamarque con Guitarras,1926,Chilenito,,Tonada,Libertad Lamarque,Víctor,78rpm,911-2,79711,Agustín Irusta,,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1926,Gaucho Sol,,Estilo,Libertad Lamarque,Víctor,78rpm,910-2,79711,Santiago H. Rocca,Atilio Supparo,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1926,Botellero,,Tango,Libertad Lamarque,Víctor,78rpm,991-2,79750,Antonio Sureda,Miguel Pomar Rivero,,,,,,,,,,,
Libertad Lamarque,Orquesta,1926,Mi Caballo Jerezano,,Pasodoble,Libertad Lamarque,Víctor,78rpm,992-1,79750,Alejandro Gutiérrez del Barrio,,,,,,,,,,,,
Libertad Lamarque,Orquesta,1926,Alice,,Tango,Libertad Lamarque,Víctor,78rpm,1044-2,79777,Aguilar,Losso,,,,,,,,,,,
Libertad Lamarque,Orquesta,1926,Mi Pibe,,Tango,Libertad Lamarque,Víctor,78rpm,1045-2,79777,Oreste Castronuovo,Atilio Supparo,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1926,Uruguaya,,Vals,Libertad Lamarque,Víctor,78rpm,1085-2,79797,Francisco Polonio,Juan Miguel Velich,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1927,Arañazos,,Tango,Libertad Lamarque,Víctor,78rpm,1163-2,79830,H. La Rocca,Juan M. Velich,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1927,La Cachorra,,Tango,Libertad Lamarque,Víctor,78rpm,1162-1,79830,Luis Mottolesse,Ismael Aguilar,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1927,Horas que Pasan,,Vals,Libertad Lamarque,Víctor,78rpm,1374-2,79902,Nicolás S. Blois,,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1927,Una Tarde,,Tango,Libertad Lamarque,Víctor,78rpm,1375-4,79902,"Agesilao Ferrazzano, Julio Pollero",Benjamín Tagle Lara,,,,,,,,,,,
Libertad Lamarque,Orquesta,1927,Gitanita,,Tango,Libertad Lamarque,Víctor,78rpm,1387-2,79909,José M. Cresta,E. Rebaque Thuillier,,,,,,,,,,,
Libertad Lamarque,Orquesta,1927,Pa' Qué Llorar,,Tango,Libertad Lamarque,Víctor,78rpm,1386-2,79909,Luis Bernstein,R. Neuberger,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1927,Veneno,,Tango,Libertad Lamarque,Víctor,78rpm,1411-2,79919,José Ceglie,Atilio Supparo,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1927,Virgencita de Arrabal,,Tango,Libertad Lamarque,Víctor,78rpm,1410-2,79919,Rodolfo Sciammarella,Eduardo Béccar,,,,,,,,,,,
Libertad Lamarque,Orquesta,1927,No Te Aflijas,,Tango,Libertad Lamarque,Víctor,78rpm,1433-2,79930,Raúl Ruíz Moreno,Gerónimo Gradito,,,,,,,,,,,
Libertad Lamarque,Orquesta,1927,Te Ví y Te Amé,,Vals,Libertad Lamarque,Víctor,78rpm,1432-2,79930,E. Cerutti,F. Lille,,,,,,,,,,,
Libertad Lamarque,Orquesta,1927,Mimosa,,Pasodoble,Libertad Lamarque,Víctor,78rpm,1506-2,79947,"Emilio Sarno, Alejandro Gutiérrez del Barrio",,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1927-01-27,Y el Puchito Se Apagó,,Tango,Libertad Lamarque,Víctor,78rpm,1084-2,79797,Luis Bernstein,Atilio Supparo,,,,,,,,,,,
Libertad Lamarque,Orquesta,1927-10-27,Ansina Son Ellas,,Vals,Libertad Lamarque,Víctor,78rpm,1507-2,79947,Francisco Polonio,Juan M. Velich,,,,,,,,,,,
Libertad Lamarque,Orquesta,1928,Hermanita,,Tango,Libertad Lamarque,Víctor,78rpm,44415-2,47017,Adrián Russo,Ivo Pelay,,,,,,,,,,,
Libertad Lamarque,Orquesta,1928,Unidos,,Vals,Libertad Lamarque,Víctor,78rpm,44414-2,47017,Ray Henderson,"Manuel del Olmo, B. G. De Sylva, Lew Brown",,,,,,,,,,,
Libertad Lamarque,Orquesta,1928,Chiribiribí,,Vals,Libertad Lamarque,Víctor,78rpm,44452-1,47036,Mabel Wayne,F. Forte,,,,,,,,,,,
Libertad Lamarque,Orquesta,1928,Milagrosa Virgencita,,Tango,Libertad Lamarque,Víctor,78rpm,44453-2,47036,Luis Martino,Andrés Gonzalez Pulido,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1928,Pavo Real,,Tango,Libertad Lamarque,Víctor,78rpm,1604-2,79976,Elio Rietti,Enrique P. Maroni,,,,,,,,,,,
Libertad Lamarque,Orquesta dir. Alfredo Malerba,1928,¿Por Qué Me Haces Sufrir?,,Vals,Libertad Lamarque,Víctor,78rpm,1605-2,79976,Hernando Scaparone,Gerónimo Gradito,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1928,Medio y Medio,,Tango,Libertad Lamarque,Víctor,78rpm,44014-2,80817,Máximo Castro Calatayud,Raúl de Castro,,,,,,,,,,,
Libertad Lamarque,Libertad Lamarque con Guitarras,1928,Si No Te Vuelvo a Ver,,Vals,Libertad Lamarque,Víctor,78rpm,44015-2,80817,César de Pardo,Benjamín Tagle Lara,,,,,,,,,,,
