Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Los Reyes del Tango,Los Reyes del Tango,1995,El Internado,,Tango,Instrumental,EPSA Music,CD,,17023,Francisco Canaro,,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,Felicia,,Tango,Instrumental,EPSA Music,CD,,17023,Enrique Saborido,,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,La Morocha,,Tango,Instrumental,EPSA Music,CD,,17023,Enrique Saborido,Ángel Villoldo,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,Loca,,Tango,Instrumental,EPSA Music,CD,,17023,Manuel Jovés,Antonio Martínez Viérgol,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,El Huracán,,Tango,Instrumental,EPSA Music,CD,,17023,Edgardo Donato,,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,La Puñalada,,Milonga,Instrumental,EPSA Music,CD,,17023,Pintín Castellanos,,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,El Rey del Compás,,Tango,Instrumental,EPSA Music,CD,,17023,,,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,La Cumparsita,,Tango,Instrumental,EPSA Music,CD,,17023,Gerardo Matos Rodríguez,Pascual Contursi; Enrique Maroni,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,A Media Luz,,Tango,Instrumental,EPSA Music,CD,,17023,Edgardo Donato,Carlos César Lenzi,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,1995,El Choclo,,Tango,Instrumental,EPSA Music,CD,,17023,Ángel Villoldo,,,1995 La Ventana,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,El Huracán,,Tango,Instrumental,EPSA Music,CD,,,Edgardo Donato,,,2005 A Don Juan,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,Loca,,Tango,Instrumental,EPSA Music,CD,,,Manuel Jovés,Antonio Martínez Viérgol,,2005 A Don Juan,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,Este Es el Rey,,Tango,Instrumental,EPSA Music,CD,,,Manuel Caballero,,,2005 A Don Juan,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,El Entrerriano,,Tango,Instrumental,EPSA Music,CD,,,Rosendo Mendizábal,,,2005 A Don Juan,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,Bien Porteña,,,Instrumental,EPSA Music,CD,,,,,,2005 A Don Juan,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,La Espuela,,,Instrumental,EPSA Music,CD,,,,,,2005 A Don Juan,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,Pof Pof,,,Instrumental,EPSA Music,CD,,,,,,2005 A Don Juan,,,,,,,,,
Los Reyes del Tango,Los Reyes del Tango,2005,Don Pacífico,,,Instrumental,EPSA Music,CD,,,,,,2005 A Don Juan,,,,,,,,,
