Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Lucio Demare,Lucio Demare y su Piano,1930,Mañanitas de Montmartre,,Tango,Instrumental,Odeón,78rpm,,,Lucio Demare,"Agustín Irusta, Roberto Fugazot",,Solo Piano,Lucio Demare,,,,Piano,,,,
Lucio Demare,Orquesta Lucio Demare,1954,Dónde,,Tango,Armando Garrido,Art Fono,Tape,,1001,"Lucio Demare, Roberto Fugazot, Agustín Irusta",Antonio Graciani,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"UNKNOWN, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Orquesta Lucio Demare,1954,Milonguero Viejo,Bailarín Porteño | Fresedo,Tango,Instrumental,Art Fono,Tape,,,Carlos Di Sarli,Enrique Sotelo,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Orquesta Lucio Demare,1956,Barrio de Tango,,Tango,Armando Garrido,Discos TK,78rpm,1282/56,S-5476-A,Aníbal Troilo,Homero Manzi,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Lucio Demare y su Orquesta Típica,1956,Dónde,,Tango,Armando Garrido,Art Fono,78rpm,,1001-B,"Lucio Demare, Roberto Fugazot, Agustín Irusta",Antonio Graciani,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Lucio Demare y su Orquesta Típica,1956,Milonguero Viejo,Bailarín Porteño | Fresedo,Tango,Instrumental,Art Fono,78rpm,,1001-A,Carlos Di Sarli,Enrique Sotelo,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Orquesta Lucio Demare,1956,Sentimiento Tanguero,,Milonga,Instrumental,Discos TK,78rpm,1283/56,S-5476-B,Lucio Demare,,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Orquesta Lucio Demare,1959,Andrajos,,Tango,Tania,Music Hall,Tape,MH-1104-1,MH-1104,Enrique Discépolo,Alberto Martínez,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Orquesta Lucio Demare,1959,Confesión,,Tango,Tania,Music Hall,Tape,MH-1104-2,MH-1104,Enrique Discépolo,"Enrique Discépolo, Luis Amadori",,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
Lucio Demare,Orquesta Lucio Demare,1959,La Calle Sin Sueño,,Tango,Tania,Music Hall,Tape,MH-1104-2,MH-1104,Lucio Demare,Enrique Cadícamo,,50-59 Other Labels,Lucio Demare,Valentín Andreotta,"Máximo Mori, Salvador Cascone, Antonio Daponte, Santiago Coppola","Carmelo Cavallaro, David Aszenmil, José Votti, Orestes Zungri, Milo Dojman","Piano, Bass, 4 Bandoneons, 5 Violins",,,,
