Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-07-02,La Viruta,,Tango,Instrumental,Victor,,,,Vicente Greco,Ernesto Temes,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-07-02,Yo Soy la Milonguera,,Tango,Instrumental,Victor,,,,Gerardo Matos Rodríguez,Vicente Martínez Cuitiño,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-08-09,Agua Florida,,Tango,Instrumental,Victor,,,,Ramón Collazo,Fernando Silva Valdés,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-08-09,Llevátelo Todo,,Tango,Instrumental,Victor,,,,,,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-09-17,De Prepotencia,,Tango,Instrumental,Victor,,,,Saverio Puleio,Pedro Ferreyra,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-09-17,Ranún,,Tango,Instrumental,Victor,,,,Luis Petrucelli,,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-10-31,Cachada,,Tango,Instrumental,Victor,,,,Agustín Bardi,José Pedro de Grandis,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-10-31,El Cencerro,,Tango,Instrumental,Victor,,,,José Martínez,Francisco Antonio Lio,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-11-15,Milonga,,Tango,Instrumental,Victor,,,,Adolfo Mondino,Adolfo Mondino,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-11-15,Mujer de Fuego,,Tango,Roberto Díaz,Victor,,,,,,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-12-13,Garufa,,Tango,Instrumental,Victor,,,,Juan Antonio Collazo,"Roberto Fontaina, Víctor Soliño",,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1928-12-13,Oíme Negro,,Tango,Roberto Díaz,Victor,,,,Rosita Quiroga,Rosita Quiroga,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1929-04-11,Alma de Chorro,,Tango,Instrumental,Victor,,,,Ernesto de la Cruz,Clemente Alberto Moreno,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1929-04-11,Tan Grande y Tan Zonzo,,Tango,Roberto Díaz,Victor,,,,Anselmo A. Aieta,Enrique Dizeo,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1929-04-23,No Te Achiques,,Tango,Roberto Díaz,Victor,,,,Adolfo Mondino,Roberto Fontaina,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1929-04-23,Qué Careta,,Tango,Roberto Díaz,Victor,,,,"Edgardo Donato, Ascanio Donato","Celedonio Flores, Roberto Fontaina",,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1929-06-19,Me la Diste Chanta,,Tango,Manlio Francia y Roberto Díaz,Victor,,,,"Luis Petrucelli, Carlos J. Alsina",Enrique Cadícamo,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
Luis Petrucelli,Luis Petrucelli y su Orquesta Típica,1929-06-19,Milagrosa Virgencita,,Tango,Instrumental,Victor,,,,Luis Martino,Andrés Gonzalez Pulido,,,Vicente Gorrese,Hugo Ricardo Baralis,"Luis Petrucelli, Enrique Pollet","Elvino Vardaro, Bernardo Germino, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins",,,,
