Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-02-11,Al Verla Pasar,,Tango,Amadeo Mandarino,Odeón,,,,Joaquín Mora,José María Contursi,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-02-11,Mano Brava,,Milonga,Amadeo Mandarino,Odeón,,,,Manuel Buzón,Enrique Cadícamo,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-03-31,Música de Organito,,Milonga,Amadeo Mandarino,Odeón,,,,Manuel Buzón,,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-03-31,Qué Has Hecho de Mi Cariño?,Royal Pigall,Tango,Amadeo Mandarino,Odeón,,,,Juan Félix Maglio,José González Castillo (Juan de León),,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-05-12,Alice,,Tango,Instrumental,Odeón,,,,Eduardo Arolas,Gabriel Clausi,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-05-12,Jazmín Simón,,Milonga,Amadeo Mandarino,Odeón,,,,Sebastián Piana,Cátulo Castillo,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-06-05,Fueye,,Tango,Amadeo Mandarino,Odeón,,,,Charlo,Homero Manzi,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-06-05,Miedo,,Vals,Amadeo Mandarino,Odeón,,,,Eladio Blanco,Iván Casadó,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-09-04,Al Cerrar los Ojos,,Tango,Osvaldo Moreno,Odeón,,,,Manuel Buzón,César Felipe Vedani,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-09-04,Pichón Enamorado,,Vals,Osvaldo Moreno,Odeón,,,,Silvio Di Pascal,Mario Battistella,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-11-17,Ficha de Oro,,Milonga,Osvaldo Moreno,Odeón,,,,Carmelo Di Napoli,Enrique Dizeo,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1942-11-17,Nunca Pensé,,Tango,Osvaldo Moreno,Odeón,,,,Carlos Marchisio,Carmelo Santiago,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1943-01-13,Compadre y Buen Mozo,,Tango,Osvaldo Moreno,Odeón,,,,Rafael Rossi,Nolo López,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1943-01-13,Mediodía,,Tango,Osvaldo Moreno,Odeón,,,,Manuel Buzón,Celedonio Flores,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1943-02-10,Canto al Tango,,Tango,Osvaldo Moreno,Odeón,,,,Federico Scorticati,,,,,,,,,,,,
Manuel Buzón,Manuel Buzón y su Orquesta Típica,1943-02-10,Mi Vida Fué una Milonga,,Milonga,Osvaldo Moreno,Odeón,,,,Benjamín García,Mario Soto,,,,,,,,,,,
