Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,Capitol,Le Capitole,Tango,Manuel Pizarro,Columbia,Acoustic,L53,D6172,"Pizarro, Manuel - Filipotto, Carlos G.",,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,Cenizas,Cendres,Tango,Manuel Pizarro,Columbia,Acoustic,L40,D6173,José María Rizzuti,Emilio Fresedo,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,El Estandarte,L'etendart,Tango,,Columbia,Acoustic,L39,D6171,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,Expiación,,Tango,,Columbia,Acoustic,L42?,,Eduardo Bianco,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,Linda Provincianita,La Jolie Provinciale,Tango,Manuel Pizarro,Columbia,Acoustic,L55,D6173,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,Razón 5A,,Tango,,Columbia,Acoustic,L41,D6171,Eduardo Bianco,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,Sollozos,,Tango,,Columbia,Acoustic,L54?,,Osvaldo N. Fresedo,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924,Una Noche en el Garrón,,Tango,,Columbia,Acoustic,L52,D6172,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924-01-22,Mano Santa,,Tango,,Gramophone,Acoustic,BT 351/1,2-230826,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924-01-22,Mírala Como Se Va,Ay Ay Ay Abril,Tango,,Gramophone,Acoustic,BT 352/2,2-230827,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924-02-12,Batacazo,,Tango,,Gramophone,Acoustic,BT 403/2,2-230846,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1924-02-12,Mariposa,,Tango,,Gramophone,Acoustic,BT 404/1,2-230847,Pedro M. Maffia,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925,Alma,,Tango,Manuel Pizarro,Columbia,Acoustic,L210,D2011,Juan Ghirlanda,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925,Hay Puchero a la Criolla,,Tango,,Columbia,Acoustic,L178,D2010,"Parès, Philippe - van Parys, Georges",,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925,La Jira,,Tango,,Columbia,Acoustic,L209,D2011,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925,La Mina del Ford,,Tango,Manuel Pizarro,Columbia,Acoustic,L211,D2010,Antonio Scatasso,"Contursi, Pascual - del Negro, Fidel",,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925,Mártir,Martyr,Tango,,Columbia,Acoustic,L140,D2003,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925,Suzita,,Tango,Manuel Pizarro,Columbia,Acoustic,L141,D2003,Manuel Pizarro,Manuel Pizarro,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925-02-05,"Ay Si, Ay No",,Tango,,Gramophone,Acoustic,BL 224/2,2-230908,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925-02-05,Mártir,Martyr,Tango,,Gramophone,Acoustic,BL 227/2,2-230907,Manuel Pizarro,,,,,,,,,,,,
Manuel Pizarro,Orchestre Argentin Manuel Pizarro,1925-02-05,Piccolo Navío,,Tango,,Gramophone,Acoustic,BL 225/2,2-230904,Luis Riccardi,,,,,,,,,,,,
